"","sex","isic","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2011,140676.648976497
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2012,357531.363997844
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2013,1001355.62584727
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2014,140690.873029862
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2015,330089.301822119
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2010,164523.932697837
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2011,199420.14917756
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2012,241082.474226804
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2013,202087.04375519
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2014,225000
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2015,300951.466942701
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2010,164920.733138127
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2011,205980.976736743
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2012,200902.06185567
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2013,225243.546125733
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2014,241352.48980678
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2015,303577.086774337
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2010,218391.769445647
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2011,170230.994049001
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2012,275230.899356189
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2013,274662.310074565
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2014,299045.719200607
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2015,242150.440731031
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2010,184654.314190623
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2011,153015.86233243
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2012,197312.234703475
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2013,209206.977162381
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2014,214046.379044717
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2015,240000
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2010,184461.221586594
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2011,200966.641394996
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2012,200902.06185567
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2013,225999.820814914
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2014,259982.94975017
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2015,250000
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2010,178633.848072615
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2011,194424.935952781
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2012,266697.487113402
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2010,179876.893014167
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2011,194062.303294037
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2012,196096.111315886
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2013,223069.925262289
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2014,256651.48954149
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2015,281137.065643774
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2010,141902.882266732
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2011,148000
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2012,176999.074305547
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2013,188873.617911473
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2014,196822.424573465
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2015,200473.54824928
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2010,77865.1038487684
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2011,77547.2242939362
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2012,105802.289127662
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2013,100144.293578404
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2014,119977.498593662
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2015,127625.857239265
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2010,172000
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2011,179694.7559711
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2012,181011.795060818
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2013,210000
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2014,260630.681399827
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2015,250028.223327202
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Chañaral","p32",2013,315427.02214189
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2010,59958.9643380557
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2011,97875.1813916759
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2012,80930.7247765702
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2013,107206.799822775
"68","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2014,149974.568185494
"69","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2015,200232.506194101
"70","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2010,145570.526653943
"71","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2011,143239.778983409
"72","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2012,120156.489730906
"73","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2013,150203.34387709
"74","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2014,188586.603836723
"75","Hombre","Agricultura, ganadería, caza y silvicultura","Choapa","p42",2015,238432.946539304
"76","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2010,179876.893014167
"77","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2011,199360.722008085
"78","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2012,193956.900660032
"79","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2013,219958.97824454
"80","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2014,239993.064585365
"81","Hombre","Agricultura, ganadería, caza y silvicultura","Colchagua","p63",2015,250001.381669966
"82","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2010,210524.907621999
"83","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2011,220587.311197998
"84","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2012,224171.881576066
"85","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2013,210633.793953508
"86","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2014,222123.952628086
"87","Hombre","Agricultura, ganadería, caza y silvicultura","Concepción","p81",2015,250022.471091914
"88","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2010,287865.013607791
"89","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2011,223793.535222871
"90","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2012,301621.004237105
"91","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2013,351130.864504657
"92","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2014,273801.783709884
"93","Hombre","Agricultura, ganadería, caza y silvicultura","Copiapó","p31",2015,393528.969981048
"94","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2010,174509.679001692
"95","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2011,194994.636200071
"96","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2012,197140.511621819
"97","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2013,635522.049564694
"98","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2014,254886.547858153
"99","Hombre","Agricultura, ganadería, caza y silvicultura","Cordillera","p152",2015,565326.247050279
"100","Hombre","Agricultura, ganadería, caza y silvicultura","Coyhaique","p111",2010,279089.345058214
"101","Hombre","Agricultura, ganadería, caza y silvicultura","Coyhaique","p111",2011,203582.590316175
"102","Hombre","Agricultura, ganadería, caza y silvicultura","Coyhaique","p111",2012,197895.177209294
