"","sex","isic","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2010,420019.040264055
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2011,124280.048209988
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2012,252735.407870115
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2013,674221.931082117
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2014,171725.4930084
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2015,309320.509968609
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2010,95038.916097441
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2011,100000
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2012,120258.930946281
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2013,118066.638572303
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2014,151563.3882888
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2015,150000
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2010,158115.071797496
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2011,201370.602186878
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2012,196365.890611837
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2013,222301.5947144
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2014,240351.310832021
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2015,301182.886877546
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2010,194500.815326119
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2011,205000
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2012,200707.367650438
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2013,240000
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2014,228058.258638223
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2015,300909.595532912
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2010,217845.632312654
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2011,190280.868419623
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2012,212365.71077951
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2013,220298.237686399
