"","sex","geography_name","geography_id","year","weighted_median"
"1","Hombre","Antofagasta","2",2010,410401.252691328
"2","Hombre","Antofagasta","2",2011,470000
"3","Hombre","Antofagasta","2",2012,502810.541835605
"4","Hombre","Antofagasta","2",2013,535436.255239908
"5","Hombre","Antofagasta","2",2014,525419.74606784
"6","Hombre","Antofagasta","2",2015,600000
"7","Hombre","Araucanía","9",2010,180176.159718144
"8","Hombre","Araucanía","9",2011,211014.973464746
"9","Hombre","Araucanía","9",2012,232592.685786237
"10","Hombre","Araucanía","9",2013,239559.010720718
"11","Hombre","Araucanía","9",2014,272814.09891984
"12","Hombre","Araucanía","9",2015,300081.183474654
"13","Hombre","Arica y Parinacota","15",2010,250000
"14","Hombre","Arica y Parinacota","15",2011,254614.97205518
"15","Hombre","Arica y Parinacota","15",2012,301353.092783505
"16","Hombre","Arica y Parinacota","15",2013,300406.687754181
"17","Hombre","Arica y Parinacota","15",2014,320000
"18","Hombre","Arica y Parinacota","15",2015,397830.611739844
"19","Hombre","Atacama","3",2010,309787.982413288
"20","Hombre","Atacama","3",2011,340000
"21","Hombre","Atacama","3",2012,381713.917525773
"22","Hombre","Atacama","3",2013,400542.250338908
"23","Hombre","Atacama","3",2014,401856.830591384
"24","Hombre","Atacama","3",2015,450000
"25","Hombre","Aysén","11",2010,306416.046752435
"26","Hombre","Aysén","11",2011,340000
"27","Hombre","Aysén","11",2012,361102.352493825
"28","Hombre","Aysén","11",2013,378311.489186956
"29","Hombre","Aysén","11",2014,380561.439130784
"30","Hombre","Aysén","11",2015,451833.574791744
"31","Hombre","Bíobío","8",2010,210418.647600074
"32","Hombre","Bíobío","8",2011,249200.902510106
"33","Hombre","Bíobío","8",2012,251405.270917803
"34","Hombre","Bíobío","8",2013,290393.131495708
"35","Hombre","Bíobío","8",2014,300000
"36","Hombre","Bíobío","8",2015,343289.877451161
"37","Hombre","Coquimbo","4",2010,247792.534584431
"38","Hombre","Coquimbo","4",2011,261256.633813495
"39","Hombre","Coquimbo","4",2012,321798.746774787
"40","Hombre","Coquimbo","4",2013,320976.454998743
"41","Hombre","Coquimbo","4",2014,350000
"42","Hombre","Coquimbo","4",2015,357314.299255588
"43","Hombre","Los Lagos","10",2010,215210.412996672
"44","Hombre","Los Lagos","10",2011,250000
"45","Hombre","Los Lagos","10",2012,256602.990064125
"46","Hombre","Los Lagos","10",2013,298867.110231973
"47","Hombre","Los Lagos","10",2014,303126.7765776
"48","Hombre","Los Lagos","10",2015,350094.714053763
"49","Hombre","Los Ríos","14",2010,199525.08008236
"50","Hombre","Los Ríos","14",2011,215592.771568334
