"","sex","work_day","geography_name","geography_id","year","weighted_median"
"1","Hombre","Completa","Algarrobo",1,2010,251276.200930988
"2","Hombre","Completa","Algarrobo",1,2011,518092.0015163
"3","Hombre","Completa","Algarrobo",1,2012,418338.370807223
"4","Hombre","Completa","Algarrobo",1,2013,465630.366018981
"5","Hombre","Completa","Algarrobo",1,2014,404169.0354368
"6","Hombre","Completa","Algarrobo",1,2015,766485.455903663
"7","Hombre","Completa","Alhué",2,2011,401933.282789992
"8","Hombre","Completa","Alhué",2,2012,543035.385182453
"9","Hombre","Completa","Alhué",2,2013,580786.262991417
"10","Hombre","Completa","Alhué",2,2014,757816.941444
"11","Hombre","Completa","Alhué",2,2015,687791.108294099
"12","Hombre","Completa","Alto del Carmen",4,2010,184528.189505971
"13","Hombre","Completa","Alto del Carmen",4,2011,205000
"14","Hombre","Completa","Alto del Carmen",4,2012,193000
"15","Hombre","Completa","Alto del Carmen",4,2013,212370.044816047
"16","Hombre","Completa","Alto del Carmen",4,2014,266797.883098807
"17","Hombre","Completa","Alto del Carmen",4,2015,296766.720093253
"18","Hombre","Completa","Alto Hospicio",5,2010,294995.343735094
"19","Hombre","Completa","Alto Hospicio",5,2011,300000
"20","Hombre","Completa","Alto Hospicio",5,2012,301686.325101363
"21","Hombre","Completa","Alto Hospicio",5,2013,398489.480309297
"22","Hombre","Completa","Alto Hospicio",5,2014,403867.903754403
"23","Hombre","Completa","Alto Hospicio",5,2015,400018.22630499
"24","Hombre","Completa","Ancud",6,2010,240239.425107843
"25","Hombre","Completa","Ancud",6,2011,219278.985901218
"26","Hombre","Completa","Ancud",6,2012,233978.540783518
"27","Hombre","Completa","Ancud",6,2013,300272.931760162
"28","Hombre","Completa","Ancud",6,2014,230342.636476252
"29","Hombre","Completa","Ancud",6,2015,323850.701785165
"30","Hombre","Completa","Andacollo",7,2010,245245.098780351
"31","Hombre","Completa","Andacollo",7,2011,299041.083012127
"32","Hombre","Completa","Andacollo",7,2012,464320.399858395
"33","Hombre","Completa","Andacollo",7,2013,408330.399182057
"34","Hombre","Completa","Andacollo",7,2014,399924.995312207
"35","Hombre","Completa","Andacollo",7,2015,326745.292512031
"36","Hombre","Completa","Angol",8,2010,202122.271595461
"37","Hombre","Completa","Angol",8,2011,237118.831021211
"38","Hombre","Completa","Angol",8,2012,301353.092783505
"39","Hombre","Completa","Angol",8,2013,297861.950881326
"40","Hombre","Completa","Angol",8,2014,325075.585138232
"41","Hombre","Completa","Angol",8,2015,300000
"42","Hombre","Completa","Antofagasta",9,2010,449692.232535418
"43","Hombre","Completa","Antofagasta",9,2011,452174.943138741
"44","Hombre","Completa","Antofagasta",9,2012,502255.154639175
"45","Hombre","Completa","Antofagasta",9,2013,501000.173442195
"46","Hombre","Completa","Antofagasta",9,2014,500000
"47","Hombre","Completa","Antofagasta",9,2015,600005.77301454
"48","Hombre","Completa","Antuco",10,2010,189870.053737176
"49","Hombre","Completa","Antuco",10,2011,150000
"50","Hombre","Completa","Antuco",10,2012,151523.680424505
"51","Hombre","Completa","Antuco",10,2013,333960.62729396
"52","Hombre","Completa","Antuco",10,2014,249921.415543017
"53","Hombre","Completa","Antuco",10,2015,308342.151675485
"54","Hombre","Completa","Arauco",11,2010,288075.820635845
"55","Hombre","Completa","Arauco",11,2011,257805.67143447
"56","Hombre","Completa","Arauco",11,2012,291307.989690722
"57","Hombre","Completa","Arauco",11,2013,289139.368519706
"58","Hombre","Completa","Arauco",11,2014,299943.746484155
"59","Hombre","Completa","Arauco",11,2015,327360.18574935
"60","Hombre","Completa","Arica",12,2010,270204.573583241
"61","Hombre","Completa","Arica",12,2011,280000
"62","Hombre","Completa","Arica",12,2012,318547.430522867
"63","Hombre","Completa","Arica",12,2013,340460.912788072
"64","Hombre","Completa","Arica",12,2014,350000
"65","Hombre","Completa","Arica",12,2015,400108.244632872
"66","Hombre","Completa","Aysén",13,2010,359544.056182754
"67","Hombre","Completa","Aysén",13,2011,398721.44401617
"68","Hombre","Completa","Aysén",13,2012,419812.326077764
"69","Hombre","Completa","Aysén",13,2013,498111.850386621
"70","Hombre","Completa","Aysén",13,2014,419921.245077818
"71","Hombre","Completa","Aysén",13,2015,500135.30579109
"72","Hombre","Completa","Buin",14,2010,250000
"73","Hombre","Completa","Buin",14,2011,257261.469702608
"74","Hombre","Completa","Buin",14,2012,280034.008393627
"75","Hombre","Completa","Buin",14,2013,379043.372538028
"76","Hombre","Completa","Buin",14,2014,350000
"77","Hombre","Completa","Buin",14,2015,373872.37608934
"78","Hombre","Completa","Bulnes",15,2010,170880.541608672
"79","Hombre","Completa","Bulnes",15,2011,190143.67074107
"80","Hombre","Completa","Bulnes",15,2012,222473.194760291
"81","Hombre","Completa","Bulnes",15,2013,210130.869104508
"82","Hombre","Completa","Bulnes",15,2014,240276.308076296
"83","Hombre","Completa","Bulnes",15,2015,300328.058972025
"84","Hombre","Completa","Cabildo",16,2010,235988.952044028
"85","Hombre","Completa","Cabildo",16,2011,360986.48152892
"86","Hombre","Completa","Cabildo",16,2012,402055.743985638
"87","Hombre","Completa","Cabildo",16,2013,305231.22950037
"88","Hombre","Completa","Cabildo",16,2014,379173.434064721
"89","Hombre","Completa","Cabildo",16,2015,390066.084915289
"90","Hombre","Completa","Cabrero",18,2010,219996.234444963
"91","Hombre","Completa","Cabrero",18,2011,274096.120875378
"92","Hombre","Completa","Cabrero",18,2012,227388.771668091
"93","Hombre","Completa","Cabrero",18,2013,276408.424197737
"94","Hombre","Completa","Cabrero",18,2014,314463.965616714
"95","Hombre","Completa","Cabrero",18,2015,348415.744752234
"96","Hombre","Completa","Calama",19,2010,500489.3325504
"97","Hombre","Completa","Calama",19,2011,598082.166024255
"98","Hombre","Completa","Calama",19,2012,650000
"99","Hombre","Completa","Calama",19,2013,820185.081622166
"100","Hombre","Completa","Calama",19,2014,846602.306196014
"101","Hombre","Completa","Calama",19,2015,750000
"102","Hombre","Completa","Calbuco",20,2010,231960.73644314
"103","Hombre","Completa","Calbuco",20,2011,311009.997727956
"104","Hombre","Completa","Calbuco",20,2012,304264.402969834
"105","Hombre","Completa","Calbuco",20,2013,337188.51402011
