"","sex","work_day","year","weighted_median"
"1","Hombre","Completa",2010,266000
"2","Hombre","Completa",2011,299041.083012127
"3","Hombre","Completa",2012,323000
"4","Hombre","Completa",2013,360000
"5","Hombre","Completa",2014,380000
"6","Hombre","Completa",2015,401291.31744062
"7","Hombre","Parcial",2010,110107.653161088
"8","Hombre","Parcial",2011,114377.007548593
"9","Hombre","Parcial",2012,120674.530040545
"10","Hombre","Parcial",2013,149433.555115986
"11","Hombre","Parcial",2014,151563.3882888
"12","Hombre","Parcial",2015,155576.287016128
"13","Mujer","Completa",2010,220000
"14","Mujer","Completa",2011,249200.902510106
"15","Mujer","Completa",2012,274000
"16","Mujer","Completa",2013,298867.110231973
"17","Mujer","Completa",2014,310000
"18","Mujer","Completa",2015,331344.621513946
"19","Mujer","Parcial",2010,75073.39988256
"20","Mujer","Parcial",2011,80000
"21","Mujer","Parcial",2012,80449.6866936968
"22","Mujer","Parcial",2013,99622.3700773242
"23","Mujer","Parcial",2014,112478.904931558
"24","Mujer","Parcial",2015,110448.207171315
