"","sex","work_day","geography_name","geography_id","year","weighted_median"
"1","Hombre","Completa","Antofagasta","p21",2010,419849.588297827
"2","Hombre","Completa","Antofagasta","p21",2011,467425.442680191
"3","Hombre","Completa","Antofagasta","p21",2012,502255.154639175
"4","Hombre","Completa","Antofagasta","p21",2013,500677.812923635
"5","Hombre","Completa","Antofagasta","p21",2014,500000
"6","Hombre","Completa","Antofagasta","p21",2015,600050.257511276
"7","Hombre","Completa","Arauco","p82",2010,221540.232778202
"8","Hombre","Completa","Arauco","p82",2011,212866.495882541
"9","Hombre","Completa","Arauco","p82",2012,245100.515463917
"10","Hombre","Completa","Arauco","p82",2013,252173.187390131
"11","Hombre","Completa","Arauco","p82",2014,269949.37183574
"12","Hombre","Completa","Arauco","p82",2015,300564.248662853
"13","Hombre","Completa","Arica","p151",2010,265543.520276468
"14","Hombre","Completa","Arica","p151",2011,280000
"15","Hombre","Completa","Arica","p151",2012,315422.520733998
"16","Hombre","Completa","Arica","p151",2013,340285.399693969
"17","Hombre","Completa","Arica","p151",2014,350000
"18","Hombre","Completa","Arica","p151",2015,400108.244632872
"19","Hombre","Completa","Aysén","p112",2010,352192.755925498
"20","Hombre","Completa","Aysén","p112",2011,378785.371815361
"21","Hombre","Completa","Aysén","p112",2012,419073.107085397
"22","Hombre","Completa","Aysén","p112",2013,450610.031631271
"23","Hombre","Completa","Aysén","p112",2014,445464.764720491
"24","Hombre","Completa","Aysén","p112",2015,500135.30579109
"25","Hombre","Completa","Bíobío","p83",2010,213000
"26","Hombre","Completa","Bíobío","p83",2011,240314.711302734
"27","Hombre","Completa","Bíobío","p83",2012,241082.474226804
"28","Hombre","Completa","Bíobío","p83",2013,290393.131495708
"29","Hombre","Completa","Bíobío","p83",2014,319939.996249766
"30","Hombre","Completa","Bíobío","p83",2015,342140.732955056
"31","Hombre","Completa","Cachapoal","p61",2010,271994.823586228
"32","Hombre","Completa","Cachapoal","p61",2011,261256.633813495
"33","Hombre","Completa","Cachapoal","p61",2012,281573.903427939
"34","Hombre","Completa","Cachapoal","p61",2013,310000
"35","Hombre","Completa","Cachapoal","p61",2014,324539.180851473
"36","Hombre","Completa","Cachapoal","p61",2015,359603.346150824
"37","Hombre","Completa","Capitán Prat","p113",2010,452908.362750679
"38","Hombre","Completa","Capitán Prat","p113",2011,457950.409915597
"39","Hombre","Completa","Capitán Prat","p113",2012,547018.508725542
"40","Hombre","Completa","Capitán Prat","p113",2013,350000
"41","Hombre","Completa","Capitán Prat","p113",2014,692500
"42","Hombre","Completa","Cardenal Caro","p62",2010,199573.726612259
"43","Hombre","Completa","Cardenal Caro","p62",2011,208576.655718605
"44","Hombre","Completa","Cardenal Caro","p62",2012,231037.371134021
"45","Hombre","Completa","Cardenal Caro","p62",2013,264213.157066823
"46","Hombre","Completa","Cardenal Caro","p62",2014,300000
"47","Hombre","Completa","Cardenal Caro","p62",2015,300081.183474654
"48","Hombre","Completa","Cauquenes","p72",2010,170685.330358531
"49","Hombre","Completa","Cauquenes","p72",2011,190834.169992337
"50","Hombre","Completa","Cauquenes","p72",2012,201124.216734242
"51","Hombre","Completa","Cauquenes","p72",2013,237699.051574736
"52","Hombre","Completa","Cauquenes","p72",2014,237450.893986861
"53","Hombre","Completa","Cauquenes","p72",2015,247926.935791811
"54","Hombre","Completa","Cautín","p91",2010,200147.419376382
"55","Hombre","Completa","Cautín","p91",2011,241323.685823492
"56","Hombre","Completa","Cautín","p91",2012,271305.241998618
"57","Hombre","Completa","Cautín","p91",2013,280378.937530908
"58","Hombre","Completa","Cautín","p91",2014,300000
"59","Hombre","Completa","Cautín","p91",2015,339211.355035137
"60","Hombre","Completa","Chacabuco","p133",2010,263240.937819724
"61","Hombre","Completa","Chacabuco","p133",2011,281353.297952994
"62","Hombre","Completa","Chacabuco","p133",2012,300000
"63","Hombre","Completa","Chacabuco","p133",2013,318791.584247437
"64","Hombre","Completa","Chacabuco","p133",2014,354378.845144274
"65","Hombre","Completa","Chacabuco","p133",2015,390883.040137705
"66","Hombre","Completa","Chañaral","p32",2010,330447.898114854
"67","Hombre","Completa","Chañaral","p32",2011,413674.018242602
"68","Hombre","Completa","Chañaral","p32",2012,496268.012459824
"69","Hombre","Completa","Chañaral","p32",2013,453866.670587092
"70","Hombre","Completa","Chañaral","p32",2014,465220.456109188
"71","Hombre","Completa","Chañaral","p32",2015,500527.320528771
"72","Hombre","Completa","Chiloé","p102",2010,239835.857352223
"73","Hombre","Completa","Chiloé","p102",2011,263909.694039677
"74","Hombre","Completa","Chiloé","p102",2012,282958.268036178
