"","sex","work_day","geography_name","geography_id","year","weighted_median"
"1","Hombre","Completa","Antofagasta","2",2010,450000
"2","Hombre","Completa","Antofagasta","2",2011,482319.93934799
"3","Hombre","Completa","Antofagasta","2",2012,541997.796127767
"4","Hombre","Completa","Antofagasta","2",2013,556401.707731006
"5","Hombre","Completa","Antofagasta","2",2014,552872.493759211
"6","Hombre","Completa","Antofagasta","2",2015,602444.766388992
"7","Hombre","Completa","Araucanía","9",2010,200000
"8","Hombre","Completa","Araucanía","9",2011,235468.209953814
"9","Hombre","Completa","Araucanía","9",2012,262764.636027274
"10","Hombre","Completa","Araucanía","9",2013,278942.636216508
"11","Hombre","Completa","Araucanía","9",2014,300000
"12","Hombre","Completa","Araucanía","9",2015,320086.595706298
"13","Hombre","Completa","Arica y Parinacota","15",2010,259865.580639148
"14","Hombre","Completa","Arica y Parinacota","15",2011,279105.010811319
"15","Hombre","Completa","Arica y Parinacota","15",2012,311742.535938075
"16","Hombre","Completa","Arica y Parinacota","15",2013,340000
"17","Hombre","Completa","Arica y Parinacota","15",2014,350000
"18","Hombre","Completa","Arica y Parinacota","15",2015,400108.244632872
"19","Hombre","Completa","Atacama","3",2010,319781.143136297
"20","Hombre","Completa","Atacama","3",2011,348881.263514149
"21","Hombre","Completa","Atacama","3",2012,395650.84037954
"22","Hombre","Completa","Atacama","3",2013,430582.919114326
"23","Hombre","Completa","Atacama","3",2014,444585.93898048
"24","Hombre","Completa","Atacama","3",2015,462883.515558315
"25","Hombre","Completa","Aysén","11",2010,347245.891983403
"26","Hombre","Completa","Aysén","11",2011,362738.049929037
"27","Hombre","Completa","Aysén","11",2012,391304.196750117
"28","Hombre","Completa","Aysén","11",2013,395632.655933011
"29","Hombre","Completa","Aysén","11",2014,399962.547577855
"30","Hombre","Completa","Aysén","11",2015,500135.30579109
"31","Hombre","Completa","Bíobío","8",2010,230225.092973184
"32","Hombre","Completa","Bíobío","8",2011,260328.863025521
"33","Hombre","Completa","Bíobío","8",2012,276456.356088577
"34","Hombre","Completa","Bíobío","8",2013,300000
"35","Hombre","Completa","Bíobío","8",2014,323637.682407001
"36","Hombre","Completa","Bíobío","8",2015,370100.126285407
"37","Hombre","Completa","Coquimbo","4",2010,250000
"38","Hombre","Completa","Coquimbo","4",2011,280000
"39","Hombre","Completa","Coquimbo","4",2012,350000
"40","Hombre","Completa","Coquimbo","4",2013,348678.295270635
"41","Hombre","Completa","Coquimbo","4",2014,394064.80955088
"42","Hombre","Completa","Coquimbo","4",2015,400000
"43","Hombre","Completa","Los Lagos","10",2010,239835.857352223
"44","Hombre","Completa","Los Lagos","10",2011,294760.12829861
"45","Hombre","Completa","Los Lagos","10",2012,300000
"46","Hombre","Completa","Los Lagos","10",2013,311275.742429699
"47","Hombre","Completa","Los Lagos","10",2014,325000
"48","Hombre","Completa","Los Lagos","10",2015,371507.605939878
"49","Hombre","Completa","Los Ríos","14",2010,214964.878123469
"50","Hombre","Completa","Los Ríos","14",2011,241717.127286298
"51","Hombre","Completa","Los Ríos","14",2012,289253.580417388
"52","Hombre","Completa","Los Ríos","14",2013,300399.997690698
"53","Hombre","Completa","Los Ríos","14",2014,319969.393277289
"54","Hombre","Completa","Los Ríos","14",2015,360825.643456725
"55","Hombre","Completa","Magallanes","12",2010,400000
"56","Hombre","Completa","Magallanes","12",2011,422507.384291515
"57","Hombre","Completa","Magallanes","12",2012,480942.531510119
"58","Hombre","Completa","Magallanes","12",2013,500000
"59","Hombre","Completa","Magallanes","12",2014,500000
"60","Hombre","Completa","Magallanes","12",2015,502037.30532416
"61","Hombre","Completa","Maule","7",2010,195539.874031576
"62","Hombre","Completa","Maule","7",2011,200966.641394996
"63","Hombre","Completa","Maule","7",2012,240000
"64","Hombre","Completa","Maule","7",2013,269459.060119768
"65","Hombre","Completa","Maule","7",2014,283180.819167234
"66","Hombre","Completa","Maule","7",2015,301222.383194496
"67","Hombre","Completa","Metropolitana","13",2010,300000
"68","Hombre","Completa","Metropolitana","13",2011,321546.626231994
"69","Hombre","Completa","Metropolitana","13",2012,372079.800958348
"70","Hombre","Completa","Metropolitana","13",2013,400542.250338908
"71","Hombre","Completa","Metropolitana","13",2014,400000
"72","Hombre","Completa","Metropolitana","13",2015,440119.069096159
"73","Hombre","Completa","O'Higgins","6",2010,249841.920702168
"74","Hombre","Completa","O'Higgins","6",2011,250000
"75","Hombre","Completa","O'Higgins","6",2012,268220.631990587
"76","Hombre","Completa","O'Higgins","6",2013,300000
"77","Hombre","Completa","O'Higgins","6",2014,304942.808925558
"78","Hombre","Completa","O'Higgins","6",2015,341385.367620429
"79","Hombre","Completa","Tarapacá","1",2010,339767.464582316
"80","Hombre","Completa","Tarapacá","1",2011,371753.149144993
"81","Hombre","Completa","Tarapacá","1",2012,401804.12371134
"82","Hombre","Completa","Tarapacá","1",2013,448300.665347959
"83","Hombre","Completa","Tarapacá","1",2014,499906.244140259
"84","Hombre","Completa","Tarapacá","1",2015,472193.227966039
"85","Hombre","Completa","Valparaíso","5",2010,250000
"86","Hombre","Completa","Valparaíso","5",2011,298671.123662219
"87","Hombre","Completa","Valparaíso","5",2012,301353.092783505
"88","Hombre","Completa","Valparaíso","5",2013,350474.469046545
"89","Hombre","Completa","Valparaíso","5",2014,399924.995312207
"90","Hombre","Completa","Valparaíso","5",2015,400000
"91","Hombre","Completa",NA,NA,2010,179876.893014167
"92","Hombre","Completa",NA,NA,2011,222397.097464637
"93","Hombre","Completa",NA,NA,2012,242762.842507926
"94","Hombre","Parcial","Antofagasta","2",2010,199944.306855226
"95","Hombre","Parcial","Antofagasta","2",2011,198111.955449574
"96","Hombre","Parcial","Antofagasta","2",2012,229076.903616353
"97","Hombre","Parcial","Antofagasta","2",2013,215637.23147784
"98","Hombre","Parcial","Antofagasta","2",2014,254842.262307536
"99","Hombre","Parcial","Antofagasta","2",2015,249862.34213408
"100","Hombre","Parcial","Araucanía","9",2010,71031.272235791
"101","Hombre","Parcial","Araucanía","9",2011,70338.3244882486
"102","Hombre","Parcial","Araucanía","9",2012,80187
"103","Hombre","Parcial","Araucanía","9",2013,100009.333391691
"104","Hombre","Parcial","Araucanía","9",2014,149971.873242078
"105","Hombre","Parcial","Araucanía","9",2015,100027.061158218
"106","Hombre","Parcial","Arica y Parinacota","15",2010,119352.652919567
"107","Hombre","Parcial","Arica y Parinacota","15",2011,119932.991745069
"108","Hombre","Parcial","Arica y Parinacota","15",2012,120000
"109","Hombre","Parcial","Arica y Parinacota","15",2013,129777.882677941
"110","Hombre","Parcial","Arica y Parinacota","15",2014,150000
"111","Hombre","Parcial","Arica y Parinacota","15",2015,200009.076558836
"112","Hombre","Parcial","Atacama","3",2010,133216.209841161
"113","Hombre","Parcial","Atacama","3",2011,120031.271864502
"114","Hombre","Parcial","Atacama","3",2012,120546.440353717
"115","Hombre","Parcial","Atacama","3",2013,194327.630166877
"116","Hombre","Parcial","Atacama","3",2014,121250.71063104
"117","Hombre","Parcial","Atacama","3",2015,130412.776302712
"118","Hombre","Parcial","Aysén","11",2010,200195.73302016
"119","Hombre","Parcial","Aysén","11",2011,249303.52031703
"120","Hombre","Parcial","Aysén","11",2012,251370.42618537
"121","Hombre","Parcial","Aysén","11",2013,248096.506376827
"122","Hombre","Parcial","Aysén","11",2014,277163.770567277
"123","Hombre","Parcial","Aysén","11",2015,282658.622931326
"124","Hombre","Parcial","Bíobío","8",2010,94005.1045331087
"125","Hombre","Parcial","Bíobío","8",2011,89939.4271221687
"126","Hombre","Parcial","Bíobío","8",2012,100451.030927835
"127","Hombre","Parcial","Bíobío","8",2013,119736.776757156
"128","Hombre","Parcial","Bíobío","8",2014,119977.498593662
"129","Hombre","Parcial","Bíobío","8",2015,100407.461064832
"130","Hombre","Parcial","Coquimbo","4",2010,119917.928676111
"131","Hombre","Parcial","Coquimbo","4",2011,104041.049895956
"132","Hombre","Parcial","Coquimbo","4",2012,150676.546391753
"133","Hombre","Parcial","Coquimbo","4",2013,120011.49310162
"134","Hombre","Parcial","Coquimbo","4",2014,188541.381176498
"135","Hombre","Parcial","Coquimbo","4",2015,170296.05996786
"136","Hombre","Parcial","Los Lagos","10",2010,84497.9007935838
"137","Hombre","Parcial","Los Lagos","10",2011,100000
"138","Hombre","Parcial","Los Lagos","10",2012,112869.035293901
"139","Hombre","Parcial","Los Lagos","10",2013,119931.7894158
"140","Hombre","Parcial","Los Lagos","10",2014,121250.71063104
"141","Hombre","Parcial","Los Lagos","10",2015,150611.191597248
"142","Hombre","Parcial","Los Ríos","14",2010,80076.7980021965
"143","Hombre","Parcial","Los Ríos","14",2011,81497.97372516
"144","Hombre","Parcial","Los Ríos","14",2012,110536.806526304
"145","Hombre","Parcial","Los Ríos","14",2013,100015.347870331
"146","Hombre","Parcial","Los Ríos","14",2014,105440.762869871
"147","Hombre","Parcial","Los Ríos","14",2015,140624.612815969
"148","Hombre","Parcial","Magallanes","12",2010,218937.042337773
"149","Hombre","Parcial","Magallanes","12",2011,178464.319628193
"150","Hombre","Parcial","Magallanes","12",2012,63610.5178307158
"151","Hombre","Parcial","Magallanes","12",2013,249729.039145204
"152","Hombre","Parcial","Magallanes","12",2014,200147.584057861
"153","Hombre","Parcial","Magallanes","12",2015,183200.119178032
"154","Hombre","Parcial","Maule","7",2010,102022.262512563
"155","Hombre","Parcial","Maule","7",2011,100478.489295951
"156","Hombre","Parcial","Maule","7",2012,80424.1160299511
"157","Hombre","Parcial","Maule","7",2013,100068.444153117
"158","Hombre","Parcial","Maule","7",2014,127534.486841176
"159","Hombre","Parcial","Maule","7",2015,119223.281760363
"160","Hombre","Parcial","Metropolitana","13",2010,149995.785175135
"161","Hombre","Parcial","Metropolitana","13",2011,129584.469305255
"162","Hombre","Parcial","Metropolitana","13",2012,190000
"163","Hombre","Parcial","Metropolitana","13",2013,180000
