"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","comuna","Algarrobo","1","Hombre",2010,251276.200930988,251276.200930988,"[152210, 350343]","[152210, 350343]"
"2","comuna","Algarrobo","1","Hombre",2011,413618.808567096,475085.14025777,"[285142, 557691]","[211015, 601611]"
"3","comuna","Algarrobo","1","Hombre",2012,530666.245853297,410293.402137854,"[385892, 728271]","[291630, 905059]"
"4","comuna","Algarrobo","1","Hombre",2013,398873.32429583,465630.366018981,"[285303, 505059]","[250339, 526963]"
"5","comuna","Algarrobo","1","Hombre",2014,497633.12488156,378908.470722,"[270572, 785509]","[293023, 505211]"
"6","comuna","Algarrobo","1","Hombre",2015,1274358.94490222,766485.455903663,"[306243, 2575451]","[251019, 3313446]"
"7","comuna","Alto del Carmen","4","Hombre",2010,250150.467068921,191297.475981847,"[196769, 308285]","[170147, 209847]"
"8","comuna","Alto del Carmen","4","Hombre",2011,240274.541211185,200966.641394996,"[184595, 299344]","[180000, 225886]"
"9","comuna","Alto del Carmen","4","Hombre",2012,190429.069509279,193000,"[161559, 228033]","[190000, 193000]"
"10","comuna","Alto del Carmen","4","Hombre",2013,241634.995091165,210284.681427927,"[193484, 326739]","[198758, 238670]"
"11","comuna","Alto del Carmen","4","Hombre",2014,255236.696852813,269559.91172431,"[206111, 322734]","[167989, 300000]"
"12","comuna","Alto del Carmen","4","Hombre",2015,333639.471279604,277295.643304677,"[252335, 447988]","[231891, 337195]"
"13","comuna","Alto Hospicio","5","Hombre",2010,342203.712478834,256017.566726725,"[293511, 391145]","[202771, 299888]"
"14","comuna","Alto Hospicio","5","Hombre",2011,368243.126824134,288671.91781432,"[313006, 420689]","[249201, 306661]"
"15","comuna","Alto Hospicio","5","Hombre",2012,356511.76070136,300000,"[318837, 395763]","[281263, 342961]"
"16","comuna","Alto Hospicio","5","Hombre",2013,500471.535931881,350000,"[395181, 628496]","[287201, 423190]"
"17","comuna","Alto Hospicio","5","Hombre",2014,459287.891387051,399924.995312207,"[401521, 522148]","[350000, 454309]"
"18","comuna","Alto Hospicio","5","Hombre",2015,473073.526122821,383718.326558706,"[417933, 610153]","[320087, 436767]"
"19","comuna","Ancud","6","Hombre",2010,287015.494680215,174408.536717098,"[175019, 433577]","[140017, 205000]"
"20","comuna","Ancud","6","Hombre",2011,205853.22513328,198861.09202062,"[165434, 256092]","[106231, 220000]"
"21","comuna","Ancud","6","Hombre",2012,245282.247232149,158709.34845074,"[162815, 317936]","[119107, 200000]"
"22","comuna","Ancud","6","Hombre",2013,219532.117456606,184202.486818808,"[182087, 262782]","[144274, 257253]"
"23","comuna","Ancud","6","Hombre",2014,407421.294854742,230110.067569904,"[282139, 560086]","[202085, 399961]"
"24","comuna","Ancud","6","Hombre",2015,415332.675811872,266557.024549693,"[319613, 544080]","[225917, 351510]"
"25","comuna","Andacollo","7","Hombre",2010,450667.823109287,245245.098780351,"[282069, 676717]","[199863, 603000]"
"26","comuna","Andacollo","7","Hombre",2011,348247.53089733,289971.969546432,"[243989, 421496]","[233750, 498402]"
"27","comuna","Andacollo","7","Hombre",2012,610405.996916854,417692.769602112,"[359784, 972686]","[255266, 552481]"
"28","comuna","Andacollo","7","Hombre",2013,414600.592881445,398125.525904382,"[305693, 609919]","[215777, 529991]"
"29","comuna","Andacollo","7","Hombre",2014,444254.367708784,397491.073353187,"[331081, 624161]","[301297, 449916]"
"30","comuna","Andacollo","7","Hombre",2015,464516.684394658,315070.581741165,"[293512, 644409]","[233268, 743467]"
"31","comuna","Angol","8","Hombre",2010,328675.045433704,199863.214460186,"[269391, 400624]","[173535, 219929]"
"32","comuna","Angol","8","Hombre",2011,452495.447114675,224280.302729561,"[362129, 587242]","[200000, 244556]"
"33","comuna","Angol","8","Hombre",2012,467031.056535714,284508.121779751,"[387243, 588993]","[250753, 318589]"
"34","comuna","Angol","8","Hombre",2013,362050.750552728,270046.499903468,"[323785, 397457]","[230000, 299243]"
"35","comuna","Angol","8","Hombre",2014,383104.153745036,304677.49471945,"[354881, 430632]","[268844, 358700]"
"36","comuna","Angol","8","Hombre",2015,383768.17819316,281076.343789805,"[342782, 429740]","[250000, 301222]"
"37","comuna","Antofagasta","9","Hombre",2010,556773.061846583,400391.46604032,"[496788, 610277]","[372168, 450354]"
"38","comuna","Antofagasta","9","Hombre",2011,578997.28830793,450373.993585852,"[515012, 655102]","[398721, 500000]"
"39","comuna","Antofagasta","9","Hombre",2012,658178.046760533,500000,"[601282, 715221]","[452030, 552801]"
"40","comuna","Antofagasta","9","Hombre",2013,679515.657725745,500677.812923635,"[615042, 746284]","[450290, 535000]"
"41","comuna","Antofagasta","9","Hombre",2014,693302.703300208,499906.244140259,"[605469, 767009]","[450000, 509822]"
"42","comuna","Antofagasta","9","Hombre",2015,801899.777215922,600000,"[726646, 884627]","[552989, 634763]"
"43","comuna","Antuco","10","Hombre",2010,209398.438593063,154893.991206643,"[99365, 339839]","[49133, 439699]"
"44","comuna","Antuco","10","Hombre",2011,162507.737683041,125000,"[109773, 219243]","[99680, 199361]"
