"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2010,350342.53278528,350342.53278528,"[350343, 350343]","[350343, 350343]"
"2","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2011,602899.924184988,602899.924184988,"[602900, 602900]","[602900, 602900]"
"3","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2012,573539.22472048,703934.758569847,"[291630, 725053]","[291630, 725053]"
"4","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2013,365494.803434254,365494.803434254,"[250339, 480651]","[250339, 480651]"
"5","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2014,367120.207188427,303126.7765776,"[293023, 505211]","[293023, 505211]"
"6","comuna","Algarrobo","1","Hombre","Asalariado Sector Privado",2015,594663.188156468,361466.859833395,"[251019, 1171504]","[251019, 1171504]"
"7","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2010,224600.807991958,186283.254855832,"[182412, 263692]","[170161, 208435]"
"8","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2011,222828.224794397,202470.201669546,"[172090, 279858]","[180000, 243255]"
"9","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2012,201486.498289668,193000,"[177739, 228434]","[192972, 195619]"
"10","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2013,232844.21780963,221116.852503181,"[205997, 266381]","[210000, 250000]"
"11","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2014,291841.771414841,295274.748598485,"[242897, 349638]","[226597, 327401]"
"12","comuna","Alto del Carmen","4","Hombre","Asalariado Sector Privado",2015,380385.272311063,300000,"[274355, 619586]","[245000, 369161]"
"13","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2010,406513.207422668,314168.463550321,"[336794, 477948]","[242499, 409720]"
"14","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2011,407455.897165326,302557.62363735,"[351140, 501115]","[280077, 351692]"
"15","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2012,396184.882788442,301686.325101363,"[331089, 449441]","[281574, 395984]"
"16","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2013,436776.572352315,399276.864878108,"[381607, 512621]","[323220, 473708]"
"17","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2014,480956.48394867,449915.619726233,"[422601, 545656]","[349943, 500000]"
"18","comuna","Alto Hospicio","5","Hombre","Asalariado Sector Privado",2015,462544.271529162,396298.60953314,"[404959, 568832]","[313313, 457505]"
"19","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2010,430689.89385406,210195.352199844,"[228647, 690016]","[185914, 280000]"
"20","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2011,242105.172644085,219805.791824479,"[189493, 283403]","[199331, 254472]"
"21","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2012,166970.446954509,172170.214630458,"[116001, 209642]","[77244, 247701]"
"22","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2013,272877.574104779,299060.224150993,"[203513, 340201]","[180000, 363803]"
"23","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2014,426796.772168086,244873.070018538,"[268794, 746674]","[212863, 400000]"
"24","comuna","Ancud","6","Hombre","Asalariado Sector Privado",2015,478209.772061544,330859.772584172,"[327523, 686760]","[249719, 414945]"
"25","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2010,472263.751129031,280274.026228224,"[270042, 688896]","[219850, 799453]"
"26","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2011,398369.737936583,412533.014701017,"[298068, 490545]","[249201, 518338]"
"27","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2012,562884.599823182,486137.109926301,"[415324, 733710]","[301353, 763428]"
"28","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2013,460966.227000324,449989.581579742,"[335252, 654180]","[265701, 688544]"
"29","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2014,512048.389170123,420247.355076589,"[360750, 756505]","[299944, 490253]"
"30","comuna","Andacollo","7","Hombre","Asalariado Sector Privado",2015,554228.472941923,450121.775211981,"[311159, 782281]","[240065, 1034587]"
"31","comuna","Angol","8","Hombre","Asalariado Sector Privado",2010,247949.426727111,187289.537257232,"[220356, 290673]","[171895, 216631]"
"32","comuna","Angol","8","Hombre","Asalariado Sector Privado",2011,386390.408447083,226574.882379933,"[322756, 472152]","[200000, 251208]"
"33","comuna","Angol","8","Hombre","Asalariado Sector Privado",2012,417936.752943348,273436.661572433,"[367493, 484288]","[242036, 335750]"
"34","comuna","Angol","8","Hombre","Asalariado Sector Privado",2013,376945.096035931,276019.423292912,"[321426, 427894]","[240379, 299209]"
"35","comuna","Angol","8","Hombre","Asalariado Sector Privado",2014,378801.671751357,303142.493763917,"[338234, 429144]","[280493, 351329]"
"36","comuna","Angol","8","Hombre","Asalariado Sector Privado",2015,375959.09135371,300000,"[329042, 444339]","[271829, 318000]"
"37","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2010,584590.314443628,419739.376398252,"[527210, 649977]","[399726, 499880]"
"38","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2011,585511.201744299,480000,"[531317, 667179]","[400000, 502417]"
"39","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2012,653937.933939592,501099.627697681,"[593150, 729123]","[472635, 552620]"
"40","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2013,688217.935697966,530898.394890017,"[612586, 793708]","[479719, 600000]"
"41","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2014,725764.592123141,500000,"[651008, 816569]","[499518, 554374]"
"42","comuna","Antofagasta","9","Hombre","Asalariado Sector Privado",2015,812101.232012503,600607.779507526,"[721850, 930548]","[550000, 691882]"
"43","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2010,393064.321771698,439699.071812408,"[279809, 459685]","[279809, 459685]"
"44","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2011,195058.521143943,150000,"[127278, 279317]","[99680, 252000]"
"45","comuna","Antuco","10","Hombre","Asalariado Sector Privado",2012,362060.077743425,273605.003759767,"[189865, 544900]","[83479, 706153]"
