"","sex","icse","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Asalariado sector privado","Algarrobo",1,2010,350343
"2","Hombre","Asalariado sector privado","Algarrobo",1,2011,602900
"3","Hombre","Asalariado sector privado","Alhué",2,2011,256232
"4","Hombre","Asalariado sector privado","Alto del Carmen",4,2010,170161
"5","Hombre","Asalariado sector privado","Alto del Carmen",4,2011,180000
"6","Hombre","Asalariado sector privado","Alto Hospicio",5,2010,242499
"7","Hombre","Asalariado sector privado","Alto Hospicio",5,2011,280077
"8","Hombre","Asalariado sector privado","Ancud",6,2010,185914
"9","Hombre","Asalariado sector privado","Ancud",6,2011,199331
"10","Hombre","Asalariado sector privado","Andacollo",7,2010,219850
"11","Hombre","Asalariado sector privado","Andacollo",7,2011,249201
"12","Hombre","Asalariado sector privado","Angol",8,2010,171895
"13","Hombre","Asalariado sector privado","Angol",8,2011,200000
"14","Hombre","Asalariado sector privado","Antofagasta",9,2010,399726
"15","Hombre","Asalariado sector privado","Antofagasta",9,2011,400000
"16","Hombre","Asalariado sector privado","Antuco",10,2010,279809
"17","Hombre","Asalariado sector privado","Antuco",10,2011,99680
"18","Hombre","Asalariado sector privado","Arauco",11,2010,230993
"19","Hombre","Asalariado sector privado","Arauco",11,2011,223689
"20","Hombre","Asalariado sector privado","Arica",12,2010,249910
"21","Hombre","Asalariado sector privado","Arica",12,2011,239581
"22","Hombre","Asalariado sector privado","Aysén",13,2010,232981
"23","Hombre","Asalariado sector privado","Aysén",13,2011,299475
"24","Hombre","Asalariado sector privado","Buin",14,2010,200000
"25","Hombre","Asalariado sector privado","Buin",14,2011,219776
"26","Hombre","Asalariado sector privado","Bulnes",15,2010,156946
"27","Hombre","Asalariado sector privado","Bulnes",15,2011,149172
"28","Hombre","Asalariado sector privado","Cabildo",16,2010,182843
"29","Hombre","Asalariado sector privado","Cabildo",16,2011,230783
"30","Hombre","Asalariado sector privado","Cabrero",18,2010,176332
"31","Hombre","Asalariado sector privado","Cabrero",18,2011,206574
"32","Hombre","Asalariado sector privado","Calama",19,2010,380000
"33","Hombre","Asalariado sector privado","Calama",19,2011,416946
"34","Hombre","Asalariado sector privado","Calbuco",20,2010,201420
"35","Hombre","Asalariado sector privado","Calbuco",20,2011,216306
