"","sex","isced","year","lb_weighted_median"
"1","Hombre","Doctorado",2010,851577
"2","Hombre","Doctorado",2011,1500000
"3","Hombre","Doctorado",2012,1105542
"4","Hombre","Doctorado",2013,800000
"5","Hombre","Doctorado",2014,1447366
"6","Hombre","Doctorado",2015,1500406
"7","Hombre","Educación preescolar",2010,100564
"8","Hombre","Educación preescolar",2011,125742
"9","Hombre","Educación Preescolar",2012,66172
"10","Hombre","Educación Preescolar",2013,95127
"11","Hombre","Educación Preescolar",2014,29994
"12","Hombre","Educación Preescolar",2015,158138
"13","Hombre","Educación primaria (nivel 1)",2010,163067
"14","Hombre","Educación primaria (nivel 1)",2011,180870
"15","Hombre","Educación Primaria (nivel 1)",2012,193870
"16","Hombre","Educación Primaria (nivel 1)",2013,209207
"17","Hombre","Educación Primaria (nivel 1)",2014,224958
"18","Hombre","Educación Primaria (nivel 1)",2015,241031
"19","Hombre","Educación primaria (nivel 2)",2010,180176
"20","Hombre","Educación primaria (nivel 2)",2011,200459
"21","Hombre","Educación Primaria (nivel 2)",2012,210947
"22","Hombre","Educación Primaria (nivel 2)",2013,245633
"23","Hombre","Educación Primaria (nivel 2)",2014,253743
"24","Hombre","Educación Primaria (nivel 2)",2015,272855
"25","Hombre","Educación secundaria",2010,242261
"26","Hombre","Educación secundaria",2011,258030
"27","Hombre","Educación Secundaria",2012,300000
"28","Hombre","Educación Secundaria",2013,315475
"29","Hombre","Educación Secundaria",2014,333439
"30","Hombre","Educación Secundaria",2015,351936
"31","Hombre","Educación Técnica (Educación Superior no Universitaria)",2010,332479
"32","Hombre","Educación Técnica (Educación Superior no Universitaria)",2011,389452
"33","Hombre","Educación Técnica (Educación Superior no Universitaria)",2012,400892
"34","Hombre","Educación Técnica (Educación Superior no Universitaria)",2013,437820
"35","Hombre","Educación Técnica (Educación Superior no Universitaria)",2014,452228
"36","Hombre","Educación Técnica (Educación Superior no Universitaria)",2015,485615
"37","Hombre","Educación universitaria",2010,600348
"38","Hombre","Educación universitaria",2011,598082
"39","Hombre","Educación Universitaria",2012,650000
"40","Hombre","Educación Universitaria",2013,696644
"41","Hombre","Educación Universitaria",2014,700000
"42","Hombre","Educación Universitaria",2015,750203
"43","Hombre","Nivel ignorado",2010,199863
"44","Hombre","Nivel ignorado",2011,199472
"45","Hombre","Nivel ignorado",2012,189761
"46","Hombre","Nivel ignorado",2013,231748
"47","Hombre","Nivel ignorado",2014,268659
