"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Completa","Algarrobo",1,2010,152210
"2","Hombre","Completa","Algarrobo",1,2011,221063
"3","Hombre","Completa","Algarrobo",1,2012,291630
"4","Hombre","Completa","Algarrobo",1,2013,250339
"5","Hombre","Completa","Algarrobo",1,2014,303127
"6","Hombre","Completa","Algarrobo",1,2015,251019
"7","Hombre","Completa","Alhué",2,2011,256232
"8","Hombre","Completa","Alhué",2,2012,341911
"9","Hombre","Completa","Alhué",2,2013,257323
"10","Hombre","Completa","Alhué",2,2014,628609
"11","Hombre","Completa","Alhué",2,2015,409700
"12","Hombre","Completa","Alto del Carmen",4,2010,158266
"13","Hombre","Completa","Alto del Carmen",4,2011,180000
"14","Hombre","Completa","Alto del Carmen",4,2012,190000
"15","Hombre","Completa","Alto del Carmen",4,2013,200271
"16","Hombre","Completa","Alto del Carmen",4,2014,194197
"17","Hombre","Completa","Alto del Carmen",4,2015,240000
"18","Hombre","Completa","Alto Hospicio",5,2010,248879
"19","Hombre","Completa","Alto Hospicio",5,2011,270721
"20","Hombre","Completa","Alto Hospicio",5,2012,281574
"21","Hombre","Completa","Alto Hospicio",5,2013,333410
"22","Hombre","Completa","Alto Hospicio",5,2014,352334
"23","Hombre","Completa","Alto Hospicio",5,2015,320087
"24","Hombre","Completa","Ancud",6,2010,192665
"25","Hombre","Completa","Ancud",6,2011,180206
"26","Hombre","Completa","Ancud",6,2012,150000
"27","Hombre","Completa","Ancud",6,2013,192781
"28","Hombre","Completa","Ancud",6,2014,194100
"29","Hombre","Completa","Ancud",6,2015,250880
"30","Hombre","Completa","Andacollo",7,2010,199863
"31","Hombre","Completa","Andacollo",7,2011,249201
"32","Hombre","Completa","Andacollo",7,2012,281946
"33","Hombre","Completa","Andacollo",7,2013,189283
"34","Hombre","Completa","Andacollo",7,2014,343407
"35","Hombre","Completa","Andacollo",7,2015,240065
"36","Hombre","Completa","Angol",8,2010,193667
"37","Hombre","Completa","Angol",8,2011,209329
"38","Hombre","Completa","Angol",8,2012,271576
"39","Hombre","Completa","Angol",8,2013,269465
"40","Hombre","Completa","Angol",8,2014,286517
"41","Hombre","Completa","Angol",8,2015,273317
"42","Hombre","Completa","Antofagasta",9,2010,400042
"43","Hombre","Completa","Antofagasta",9,2011,400000
"44","Hombre","Completa","Antofagasta",9,2012,478934
"45","Hombre","Completa","Antofagasta",9,2013,499009
"46","Hombre","Completa","Antofagasta",9,2014,466670
"47","Hombre","Completa","Antofagasta",9,2015,561904
"48","Hombre","Completa","Antuco",10,2010,99932
"49","Hombre","Completa","Antuco",10,2011,99680
"50","Hombre","Completa","Antuco",10,2012,81075
"51","Hombre","Completa","Antuco",10,2013,205943
"52","Hombre","Completa","Antuco",10,2014,199879
"53","Hombre","Completa","Antuco",10,2015,172936
"54","Hombre","Completa","Arauco",11,2010,237274
"55","Hombre","Completa","Arauco",11,2011,233331
"56","Hombre","Completa","Arauco",11,2012,245659
"57","Hombre","Completa","Arauco",11,2013,258651
"58","Hombre","Completa","Arauco",11,2014,254086
"59","Hombre","Completa","Arauco",11,2015,283633
"60","Hombre","Completa","Arica",12,2010,250000
"61","Hombre","Completa","Arica",12,2011,251208
"62","Hombre","Completa","Arica",12,2012,301353
"63","Hombre","Completa","Arica",12,2013,309109
"64","Hombre","Completa","Arica",12,2014,325901
"65","Hombre","Completa","Arica",12,2015,380789
"66","Hombre","Completa","Aysén",13,2010,300125
"67","Hombre","Completa","Aysén",13,2011,348881
"68","Hombre","Completa","Aysén",13,2012,401804
"69","Hombre","Completa","Aysén",13,2013,403878
"70","Hombre","Completa","Aysén",13,2014,354417
"71","Hombre","Completa","Aysén",13,2015,440219
"72","Hombre","Completa","Buin",14,2010,207095
"73","Hombre","Completa","Buin",14,2011,235569
"74","Hombre","Completa","Buin",14,2012,230000
"75","Hombre","Completa","Buin",14,2013,300000
"76","Hombre","Completa","Buin",14,2014,300000
"77","Hombre","Completa","Buin",14,2015,325067
"78","Hombre","Completa","Bulnes",15,2010,157918
"79","Hombre","Completa","Bulnes",15,2011,150483
"80","Hombre","Completa","Bulnes",15,2012,192557
"81","Hombre","Completa","Bulnes",15,2013,199948
"82","Hombre","Completa","Bulnes",15,2014,216821
"83","Hombre","Completa","Bulnes",15,2015,253278
"84","Hombre","Completa","Cabildo",16,2010,200169
"85","Hombre","Completa","Cabildo",16,2011,238226
"86","Hombre","Completa","Cabildo",16,2012,291171
"87","Hombre","Completa","Cabildo",16,2013,254459
"88","Hombre","Completa","Cabildo",16,2014,279947
"89","Hombre","Completa","Cabildo",16,2015,300000
"90","Hombre","Completa","Cabrero",18,2010,180876
"91","Hombre","Completa","Cabrero",18,2011,226103
"92","Hombre","Completa","Cabrero",18,2012,196731
"93","Hombre","Completa","Cabrero",18,2013,211546
"94","Hombre","Completa","Cabrero",18,2014,232127
"95","Hombre","Completa","Cabrero",18,2015,300081
"96","Hombre","Completa","Calama",19,2010,450000
"97","Hombre","Completa","Calama",19,2011,500309
"98","Hombre","Completa","Calama",19,2012,602706
"99","Hombre","Completa","Calama",19,2013,714767
"100","Hombre","Completa","Calama",19,2014,700861
"101","Hombre","Completa","Calama",19,2015,658077
"102","Hombre","Completa","Calbuco",20,2010,204860
"103","Hombre","Completa","Calbuco",20,2011,293808
"104","Hombre","Completa","Calbuco",20,2012,193261
"105","Hombre","Completa","Calbuco",20,2013,267910
"106","Hombre","Completa","Calbuco",20,2014,260831
"107","Hombre","Completa","Calbuco",20,2015,331853
"108","Hombre","Completa","Caldera",21,2010,243397
"109","Hombre","Completa","Caldera",21,2011,260000
"110","Hombre","Completa","Caldera",21,2012,251004
"111","Hombre","Completa","Caldera",21,2013,314729
"112","Hombre","Completa","Caldera",21,2014,342643
"113","Hombre","Completa","Caldera",21,2015,351365
"114","Hombre","Completa","Calera",22,2010,203476
"115","Hombre","Completa","Calera",22,2011,193191
"116","Hombre","Completa","Calera",22,2012,216954
"117","Hombre","Completa","Calera",22,2013,281318
"118","Hombre","Completa","Calera",22,2014,358669
"119","Hombre","Completa","Calera",22,2015,301222
"120","Hombre","Completa","Calera de Tango",23,2010,169666
"121","Hombre","Completa","Calera de Tango",23,2011,226087
"122","Hombre","Completa","Calera de Tango",23,2012,271518
"123","Hombre","Completa","Calera de Tango",23,2013,210285
"124","Hombre","Completa","Calera de Tango",23,2014,227345
"125","Hombre","Completa","Calera de Tango",23,2015,403121
"126","Hombre","Completa","Calle Larga",24,2010,171820
"127","Hombre","Completa","Calle Larga",24,2011,200967
"128","Hombre","Completa","Calle Larga",24,2012,229792
"129","Hombre","Completa","Calle Larga",24,2013,249245
"130","Hombre","Completa","Calle Larga",24,2014,252981
"131","Hombre","Completa","Calle Larga",24,2015,321304
"132","Hombre","Completa","Camarones",25,2010,117083
"133","Hombre","Completa","Camarones",25,2011,80387
"134","Hombre","Completa","Camarones",25,2012,65365
"135","Hombre","Completa","Camarones",25,2013,32044
"136","Hombre","Completa","Camiña",26,2011,32615
"137","Hombre","Completa","Camiña",26,2012,45170
"138","Hombre","Completa","Camiña",26,2013,76979
"139","Hombre","Completa","Camiña",26,2014,110000
"140","Hombre","Completa","Camiña",26,2015,41666
"141","Hombre","Completa","Canela",27,2010,249829
"142","Hombre","Completa","Canela",27,2011,206074
"143","Hombre","Completa","Canela",27,2012,216524
"144","Hombre","Completa","Canela",27,2013,300349
"145","Hombre","Completa","Canela",27,2014,252606
"146","Hombre","Completa","Canela",27,2015,206683
"147","Hombre","Completa","Cañete",28,2010,164777
"148","Hombre","Completa","Cañete",28,2011,160000
"149","Hombre","Completa","Cañete",28,2012,154370
"150","Hombre","Completa","Cañete",28,2013,184810
"151","Hombre","Completa","Cañete",28,2014,176844
"152","Hombre","Completa","Cañete",28,2015,200043
"153","Hombre","Completa","Carahue",29,2010,83480
"154","Hombre","Completa","Carahue",29,2011,60962
"155","Hombre","Completa","Carahue",29,2012,73292
"156","Hombre","Completa","Carahue",29,2013,78276
"157","Hombre","Completa","Carahue",29,2014,142970
"158","Hombre","Completa","Carahue",29,2015,99354
"159","Hombre","Completa","Cartagena",30,2010,145921
"160","Hombre","Completa","Cartagena",30,2011,178428
"161","Hombre","Completa","Cartagena",30,2012,200902
"162","Hombre","Completa","Cartagena",30,2013,199245
