"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Completa","Antofagasta","p21",2010,399726
"2","Hombre","Completa","Antofagasta","p21",2011,399710
"3","Hombre","Completa","Antofagasta","p21",2012,482165
"4","Hombre","Completa","Antofagasta","p21",2013,498112
"5","Hombre","Completa","Antofagasta","p21",2014,493124
"6","Hombre","Completa","Antofagasta","p21",2015,561084
"7","Hombre","Completa","Arauco","p82",2010,202988
"8","Hombre","Completa","Arauco","p82",2011,200000
"9","Hombre","Completa","Arauco","p82",2012,219189
"10","Hombre","Completa","Arauco","p82",2013,234545
"11","Hombre","Completa","Arauco","p82",2014,249953
"12","Hombre","Completa","Arauco","p82",2015,283296
"13","Hombre","Completa","Arica","p151",2010,250000
"14","Hombre","Completa","Arica","p151",2011,260810
"15","Hombre","Completa","Arica","p151",2012,301353
"16","Hombre","Completa","Arica","p151",2013,304228
"17","Hombre","Completa","Arica","p151",2014,325901
"18","Hombre","Completa","Arica","p151",2015,380789
"19","Hombre","Completa","Aysén","p112",2010,302277
"20","Hombre","Completa","Aysén","p112",2011,348390
"21","Hombre","Completa","Aysén","p112",2012,382240
"22","Hombre","Completa","Aysén","p112",2013,398489
"23","Hombre","Completa","Aysén","p112",2014,374180
"24","Hombre","Completa","Aysén","p112",2015,444110
"25","Hombre","Completa","Bíobío","p83",2010,202205
"26","Hombre","Completa","Bíobío","p83",2011,224526
"27","Hombre","Completa","Bíobío","p83",2012,220000
"28","Hombre","Completa","Bíobío","p83",2013,270000
"29","Hombre","Completa","Bíobío","p83",2014,280014
"30","Hombre","Completa","Bíobío","p83",2015,314191
"31","Hombre","Completa","Cachapoal","p61",2010,250000
"32","Hombre","Completa","Cachapoal","p61",2011,250032
"33","Hombre","Completa","Cachapoal","p61",2012,261173
"34","Hombre","Completa","Cachapoal","p61",2013,300000
"35","Hombre","Completa","Cachapoal","p61",2014,302053
"36","Hombre","Completa","Cachapoal","p61",2015,350000
"37","Hombre","Completa","Capitán Prat","p113",2010,259475
"38","Hombre","Completa","Capitán Prat","p113",2011,242076
"39","Hombre","Completa","Capitán Prat","p113",2012,350000
"40","Hombre","Completa","Capitán Prat","p113",2013,166125
"41","Hombre","Completa","Capitán Prat","p113",2014,225000
"42","Hombre","Completa","Cardenal Caro","p62",2010,180176
"43","Hombre","Completa","Cardenal Caro","p62",2011,200000
"44","Hombre","Completa","Cardenal Caro","p62",2012,215527
"45","Hombre","Completa","Cardenal Caro","p62",2013,250000
"46","Hombre","Completa","Cardenal Caro","p62",2014,279947
"47","Hombre","Completa","Cardenal Caro","p62",2015,280076
"48","Hombre","Completa","Cauquenes","p72",2010,150000
"49","Hombre","Completa","Cauquenes","p72",2011,180323
"50","Hombre","Completa","Cauquenes","p72",2012,200000
"51","Hombre","Completa","Cauquenes","p72",2013,210000
"52","Hombre","Completa","Cauquenes","p72",2014,222333
"53","Hombre","Completa","Cauquenes","p72",2015,240879
"54","Hombre","Completa","Cautín","p91",2010,190156
"55","Hombre","Completa","Cautín","p91",2011,211064
"56","Hombre","Completa","Cautín","p91",2012,244750
"57","Hombre","Completa","Cautín","p91",2013,256289
"58","Hombre","Completa","Cautín","p91",2014,275985
"59","Hombre","Completa","Cautín","p91",2015,301180
"60","Hombre","Completa","Chacabuco","p133",2010,246000
"61","Hombre","Completa","Chacabuco","p133",2011,258162
"62","Hombre","Completa","Chacabuco","p133",2012,280600
"63","Hombre","Completa","Chacabuco","p133",2013,295015
"64","Hombre","Completa","Chacabuco","p133",2014,323683
"65","Hombre","Completa","Chacabuco","p133",2015,353599
"66","Hombre","Completa","Chañaral","p32",2010,299795
"67","Hombre","Completa","Chañaral","p32",2011,361525
"68","Hombre","Completa","Chañaral","p32",2012,341408
"69","Hombre","Completa","Chañaral","p32",2013,357983
"70","Hombre","Completa","Chañaral","p32",2014,392152
"71","Hombre","Completa","Chañaral","p32",2015,403205
"72","Hombre","Completa","Chiloé","p102",2010,200190
"73","Hombre","Completa","Chiloé","p102",2011,243357
"74","Hombre","Completa","Chiloé","p102",2012,250000
"75","Hombre","Completa","Chiloé","p102",2013,298906
"76","Hombre","Completa","Chiloé","p102",2014,270877
"77","Hombre","Completa","Chiloé","p102",2015,300081
"78","Hombre","Completa","Choapa","p42",2010,209532
"79","Hombre","Completa","Choapa","p42",2011,221063
"80","Hombre","Completa","Choapa","p42",2012,281263
"81","Hombre","Completa","Choapa","p42",2013,298867
"82","Hombre","Completa","Choapa","p42",2014,300149
"83","Hombre","Completa","Choapa","p42",2015,340231
"84","Hombre","Completa","Colchagua","p63",2010,199863
"85","Hombre","Completa","Colchagua","p63",2011,214416
"86","Hombre","Completa","Colchagua","p63",2012,220748
"87","Hombre","Completa","Colchagua","p63",2013,250339
"88","Hombre","Completa","Colchagua","p63",2014,267246
"89","Hombre","Completa","Colchagua","p63",2015,277900
"90","Hombre","Completa","Concepción","p81",2010,250245
"91","Hombre","Completa","Concepción","p81",2011,280285
"92","Hombre","Completa","Concepción","p81",2012,285647
"93","Hombre","Completa","Concepción","p81",2013,315489
"94","Hombre","Completa","Concepción","p81",2014,329968
"95","Hombre","Completa","Concepción","p81",2015,380704
"96","Hombre","Completa","Copiapó","p31",2010,319896
"97","Hombre","Completa","Copiapó","p31",2011,351692
"98","Hombre","Completa","Copiapó","p31",2012,365000
"99","Hombre","Completa","Copiapó","p31",2013,453033
"100","Hombre","Completa","Copiapó","p31",2014,447994
"101","Hombre","Completa","Copiapó","p31",2015,500000
"102","Hombre","Completa","Cordillera","p152",2010,269903
"103","Hombre","Completa","Cordillera","p152",2011,279683
"104","Hombre","Completa","Cordillera","p152",2012,341959
"105","Hombre","Completa","Cordillera","p152",2013,322341
"106","Hombre","Completa","Cordillera","p152",2014,399925
"107","Hombre","Completa","Cordillera","p152",2015,454344
"108","Hombre","Completa","Coyhaique","p111",2010,279809
"109","Hombre","Completa","Coyhaique","p111",2011,299239
"110","Hombre","Completa","Coyhaique","p111",2012,300013
"111","Hombre","Completa","Coyhaique","p111",2013,320434
"112","Hombre","Completa","Coyhaique","p111",2014,350000
"113","Hombre","Completa","Coyhaique","p111",2015,450000
"114","Hombre","Completa","Curicó","p73",2010,199871
"115","Hombre","Completa","Curicó","p73",2011,199664
"116","Hombre","Completa","Curicó","p73",2012,232047
"117","Hombre","Completa","Curicó","p73",2013,257456
"118","Hombre","Completa","Curicó","p73",2014,269966
