"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Menos de 5",2010,295115.517484348,180176.159718144,"[274778, 323509]","[178892, 197644]"
"2","country","País","country","Hombre","Menos de 5",2011,312184.318372282,200000,"[298147, 329271]","[199361, 200000]"
"3","country","País","country","Hombre","Menos de 5",2012,334276.36269284,201124.216734242,"[320144, 349883]","[201124, 211070]"
"4","country","País","country","Hombre","Menos de 5",2013,357397.659269362,249055.92519331,"[343301, 373849]","[236060, 250000]"
"5","country","País","country","Hombre","Menos de 5",2014,374636.035366468,252605.647148,"[360057, 390292]","[250995, 267584]"
"6","country","País","country","Hombre","Menos de 5",2015,389810.170965313,281140.89098153,"[377736, 404690]","[262890, 300000]"
"7","country","País","country","Hombre","De 5 a 10 personas",2010,438053.216049938,220215.306322176,"[399718, 493222]","[212992, 239922]"
"8","country","País","country","Hombre","De 5 a 10 personas",2011,499649.458873957,254184.920560308,"[445056, 558695]","[241160, 271092]"
"9","country","País","country","Hombre","De 5 a 10 personas",2012,514217.843957936,289321.734530926,"[456997, 611064]","[265117, 301207]"
"10","country","País","country","Hombre","De 5 a 10 personas",2013,500894.605099845,300000,"[459369, 551924]","[298867, 311923]"
"11","country","País","country","Hombre","De 5 a 10 personas",2014,515790.794714632,309194.421001068,"[480477, 549739]","[299944, 330164]"
"12","country","País","country","Hombre","De 5 a 10 personas",2015,633502.525320474,350094.714053763,"[563974, 717524]","[329377, 365040]"
"13","country","País","country","Hombre","Entre 11 y 49",2010,381070.797950222,230225.092973184,"[359326, 412394]","[224321, 241008]"
"14","country","País","country","Hombre","Entre 11 y 49",2011,418204.262807153,251208.301743745,"[389294, 459346]","[249345, 259606]"
"15","country","País","country","Hombre","Entre 11 y 49",2012,453707.020290069,281573.903427939,"[426459, 483693]","[271360, 295250]"
"16","country","País","country","Hombre","Entre 11 y 49",2013,556065.158664567,308829.347239705,"[513508, 611102]","[300289, 327140]"
"17","country","País","country","Hombre","Entre 11 y 49",2014,508824.231721146,340000,"[475201, 555134]","[319989, 349969]"
"18","country","País","country","Hombre","Entre 11 y 49",2015,534119.923859206,359714.808102484,"[503409, 564967]","[350095, 379782]"
"19","country","País","country","Hombre","Entre 50 y 199",2010,444530.715950317,270000,"[416881, 477012]","[250245, 288940]"
"20","country","País","country","Hombre","Entre 50 y 199",2011,460141.316260901,299041.083012127,"[434153, 495457]","[294108, 301450]"
"21","country","País","country","Hombre","Entre 50 y 199",2012,503763.980036516,311742.535938075,"[473001, 549555]","[301353, 332894]"
"22","country","País","country","Hombre","Entre 50 y 199",2013,539637.318254337,378565.006293832,"[512960, 570471]","[355000, 396525]"
"23","country","País","country","Hombre","Entre 50 y 199",2014,532717.631767893,380000,"[501158, 565442]","[365931, 398589]"
"24","country","País","country","Hombre","Entre 50 y 199",2015,652334.805088724,403138.90628798,"[615473, 700791]","[400051, 427835]"
"25","country","País","country","Hombre","200 y más personas",2010,560294.885533161,360000,"[542090, 579942]","[350000, 370888]"
"26","country","País","country","Hombre","200 y más personas",2011,623482.152326531,400000,"[601624, 646410]","[398721, 401933]"
"27","country","País","country","Hombre","200 y más personas",2012,680627.618021436,452029.639175258,"[661217, 704027]","[438541, 470058]"
"28","country","País","country","Hombre","200 y más personas",2013,706327.416668965,488149.613378889,"[685107, 741488]","[467715, 498112]"
"29","country","País","country","Hombre","200 y más personas",2014,735971.293752406,500000,"[712034, 761375]","[489806, 505111]"
"30","country","País","country","Hombre","200 y más personas",2015,778820.980565099,521954.614098391,"[757632, 807102]","[502037, 547696]"
"31","country","País","country","Hombre",NA,2010,190436.689374177,171882.36443576,"[161690, 217571]","[152354, 213974]"
"32","country","País","country","Hombre",NA,2011,191423.57823132,180000,"[173692, 213604]","[166710, 194132]"
"33","country","País","country","Hombre",NA,2012,181358.773058265,194792.271409962,"[157731, 205918]","[151242, 212584]"
"34","country","País","country","Hombre",NA,2013,219143.329679274,209802.150283669,"[182575, 287723]","[185325, 257849]"
"35","country","País","country","Hombre",NA,2014,242944.862734194,243685.757418218,"[215979, 287930]","[220096, 281648]"
"36","country","País","country","Hombre",NA,2015,307643.748106754,281140.89098153,"[253304, 367991]","[240997, 347096]"
"37","country","País","country","Mujer","Menos de 5",2010,182072.342368953,100097.86651008,"[170443, 194078]","[99932, 115258]"
"38","country","País","country","Mujer","Menos de 5",2011,194312.147355741,110406.180347167,"[175121, 217470]","[100000, 120000]"
"39","country","País","country","Mujer","Menos de 5",2012,204059.379175415,120541.237113402,"[190710, 225842]","[110000, 130550]"
"40","country","País","country","Mujer","Menos de 5",2013,204269.137742871,123319.777429916,"[193893, 215969]","[120000, 138772]"
"41","country","País","country","Mujer","Menos de 5",2014,237924.966186355,150696.311471769,"[227410, 253160]","[149972, 165912]"
"42","country","País","country","Mujer","Menos de 5",2015,233378.275553805,150040.591737327,"[222781, 245716]","[142954, 150970]"
"43","country","País","country","Mujer","De 5 a 10 personas",2010,322959.761940376,200000,"[284637, 374352]","[184825, 209079]"
"44","country","País","country","Mujer","De 5 a 10 personas",2011,325026.088412469,213024.639878696,"[283877, 371476]","[200967, 226717]"
"45","country","País","country","Mujer","De 5 a 10 personas",2012,342432.351545254,229000,"[307101, 396429]","[212501, 251128]"
"46","country","País","country","Mujer","De 5 a 10 personas",2013,355867.345562733,249055.92519331,"[322490, 398952]","[235644, 252595]"
"47","country","País","country","Mujer","De 5 a 10 personas",2014,422238.916496393,259959.895574631,"[374860, 503457]","[250000, 299956]"
"48","country","País","country","Mujer","De 5 a 10 personas",2015,415014.820643172,285732.482468553,"[374550, 450830]","[267647, 300081]"
"49","country","País","country","Mujer","Entre 11 y 49",2010,333004.415626334,200195.73302016,"[307492, 375702]","[199863, 212179]"
"50","country","País","country","Mujer","Entre 11 y 49",2011,324596.224547625,225029.562085558,"[302257, 342440]","[213624, 243989]"
"51","country","País","country","Mujer","Entre 11 y 49",2012,372873.73233999,251405.270917803,"[337399, 439646]","[249159, 275284]"
"52","country","País","country","Mujer","Entre 11 y 49",2013,403764.16617891,278942.636216508,"[377283, 431779]","[263147, 298867]"
"53","country","País","country","Mujer","Entre 11 y 49",2014,430000.486075471,301514.398991555,"[399987, 468835]","[299944, 310000]"
"54","country","País","country","Mujer","Entre 11 y 49",2015,429369.851613432,301222.383194496,"[404539, 451401]","[300000, 325869]"
"55","country","País","country","Mujer","Entre 50 y 199",2010,342662.101857794,239845.528698537,"[321568, 372174]","[219921, 250000]"
"56","country","País","country","Mujer","Entre 50 y 199",2011,397280.70275432,287861.23959354,"[370993, 432498]","[264814, 300000]"
"57","country","País","country","Mujer","Entre 50 y 199",2012,435635.472631651,300000,"[402224, 526891]","[275725, 301985]"
"58","country","País","country","Mujer","Entre 50 y 199",2013,428854.258638587,315000,"[402293, 449741]","[300000, 340423]"
"59","country","País","country","Mujer","Entre 50 y 199",2014,446764.119271507,330000,"[424163, 489541]","[311957, 351915]"
"60","country","País","country","Mujer","Entre 50 y 199",2015,502132.627552616,370100.126285407,"[479526, 540060]","[350095, 398151]"
"61","country","País","country","Mujer","200 y más personas",2010,399110.434214213,275269.13290272,"[386172, 414767]","[260121, 290000]"
"62","country","País","country","Mujer","200 y más personas",2011,432141.28448714,301449.962092494,"[419519, 451287]","[300000, 318977]"
"63","country","País","country","Mujer","200 y más personas",2012,488499.950154969,331488.402061856,"[470948, 515651]","[316116, 350000]"
"64","country","País","country","Mujer","200 y más personas",2013,514855.984643534,357424.87844555,"[497720, 532614]","[350000, 378565]"
"65","country","País","country","Mujer","200 y más personas",2014,533207.864968403,363752.13189312,"[509513, 558988]","[352820, 378648]"
"66","country","País","country","Mujer","200 y más personas",2015,572944.501756381,400108.244632872,"[552467, 593547]","[397194, 401815]"
"67","country","País","country","Mujer",NA,2010,140784.690308264,130050.124256365,"[134654, 148037]","[120117, 139904]"
"68","country","País","country","Mujer",NA,2011,150277.248552965,149520.541506064,"[144031, 156992]","[128227, 150725]"
"69","country","País","country","Mujer",NA,2012,162456.195754869,160000,"[155276, 170779]","[150501, 176161]"
"70","country","País","country","Mujer",NA,2013,188050.595830111,179320.266139184,"[180443, 195402]","[169715, 182873]"
"71","country","País","country","Mujer",NA,2014,194110.090884337,181876.06594656,"[186375, 200605]","[180000, 199962]"
"72","country","País","country","Mujer",NA,2015,219889.995241848,210855.668236147,"[212103, 231809]","[200054, 224364]"
