"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre",2010,422376.387692554,250000,"[408890, 435028]","[249829, 250245]"
"2","country","País","country","Hombre",2011,461923.663954147,281353.297952994,"[450342, 476210]","[279105, 290000]"
"3","country","País","country","Hombre",2012,506187.897451408,301686.325101363,"[492029, 517652]","[301353, 301686]"
"4","country","País","country","Hombre",2013,538210.059282699,348678.295270635,"[522909, 551261]","[333631, 350000]"
"5","country","País","country","Hombre",2014,549198.935950337,353647.9060072,"[535838, 562573]","[350000, 359932]"
"6","country","País","country","Hombre",2015,594060.950140874,399012.177887222,"[577837, 607556]","[381963, 400000]"
"7","country","País","country","Mujer",2010,287665.499698858,199863.214460186,"[278512, 296946]","[189932, 199863]"
"8","country","País","country","Mujer",2011,307867.776469733,201354.329228166,"[298627, 318403]","[200967, 210145]"
"9","country","País","country","Mujer",2012,347634.549735799,235315.333579063,"[336332, 363833]","[230000, 241268]"
"10","country","País","country","Mujer",2013,364117.375515,250000,"[354460, 373225]","[249056, 250339]"
"11","country","País","country","Mujer",2014,392046.072786691,279947.496718545,"[381397, 403377]","[269949, 282583]"
"12","country","País","country","Mujer",2015,411736.999394094,300000,"[402490, 421414]","[294460, 300081]"
