"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre",2010,546773.043514568,400391.46604032,"[488203, 601767]","[376917, 450000]"
"2","provincia","Antofagasta","p21","Hombre",2011,577413.749939325,452174.943138741,"[516801, 629832]","[398721, 490000]"
"3","provincia","Antofagasta","p21","Hombre",2012,646024.676909768,500000,"[584566, 709785]","[472120, 523249]"
"4","provincia","Antofagasta","p21","Hombre",2013,662962.186008738,500677.812923635,"[600520, 735022]","[480081, 529078]"
"5","provincia","Antofagasta","p21","Hombre",2014,681098.003029027,500000,"[617639, 738789]","[449950, 527199]"
"6","provincia","Antofagasta","p21","Hombre",2015,785922.378236271,600000,"[694131, 876943]","[510291, 639390]"
"7","provincia","Arauco","p82","Hombre",2010,267183.141741385,200084.074932483,"[241673, 293129]","[180176, 219850]"
"8","provincia","Arauco","p82","Hombre",2011,257051.10561565,200000,"[232391, 285606]","[181665, 212245]"
"9","provincia","Arauco","p82","Hombre",2012,309302.197263355,236465.106771364,"[272956, 342063]","[201124, 251405]"
"10","provincia","Arauco","p82","Hombre",2013,306468.291107373,240130.837829748,"[271326, 340323]","[210276, 259018]"
"11","provincia","Arauco","p82","Hombre",2014,323551.433578844,250516.206446378,"[293528, 357644]","[227345, 290446]"
"12","provincia","Arauco","p82","Hombre",2015,333237.614195029,298424.090087052,"[311235, 365145]","[271211, 318839]"
"13","provincia","Arica","p151","Hombre",2010,355210.008698666,250236.013567277,"[332123, 391361]","[239437, 277101]"
"14","provincia","Arica","p151","Hombre",2011,369353.318800748,260000,"[338134, 407149]","[246539, 284879]"
"15","provincia","Arica","p151","Hombre",2012,476330.399064892,301353.092783505,"[426473, 537843]","[280542, 312718]"
"16","provincia","Arica","p151","Hombre",2013,399215.933628194,300406.687754181,"[375289, 433796]","[300000, 340321]"
"17","provincia","Arica","p151","Hombre",2014,427456.587330667,327109.976882429,"[398233, 459926]","[303127, 351575]"
"18","provincia","Arica","p151","Hombre",2015,485925.89642523,400000,"[456816, 521254]","[356665, 400737]"
"19","provincia","Aysén","p112","Hombre",2010,549212.479957512,339767.464582316,"[437824, 692405]","[272637, 378138]"
"20","provincia","Aysén","p112","Hombre",2011,526768.35279448,348881.263514149,"[452294, 578833]","[318822, 390000]"
"21","provincia","Aysén","p112","Hombre",2012,585617.858581872,402232.875825825,"[515115, 679235]","[359384, 452230]"
"22","provincia","Aysén","p112","Hombre",2013,606825.802541797,426296.165809698,"[513419, 691655]","[348678, 498112]"
"23","provincia","Aysén","p112","Hombre",2014,621758.254663638,415001.820798345,"[537898, 721132]","[354047, 505211]"
"24","provincia","Aysén","p112","Hombre",2015,689423.625434611,455989.204427427,"[558754, 821584]","[400623, 522442]"
"25","provincia","Bíobío","p83","Hombre",2010,319675.646611726,200195.73302016,"[274357, 371968]","[190136, 219840]"
"26","provincia","Bíobío","p83","Hombre",2011,323326.188657172,229635.149530634,"[292595, 357700]","[202786, 250000]"
"27","provincia","Bíobío","p83","Hombre",2012,340826.299921889,237903.810225499,"[309043, 377755]","[217346, 261173]"
"28","provincia","Bíobío","p83","Hombre",2013,386378.01086592,274210.575672449,"[344913, 436761]","[247295, 298867]"
"29","provincia","Bíobío","p83","Hombre",2014,387716.147120754,302150.394684511,"[346077, 424629]","[262822, 329224]"
"30","provincia","Bíobío","p83","Hombre",2015,462459.878781613,318669.382233012,"[411823, 514566]","[300039, 344002]"
"31","provincia","Cachapoal","p61","Hombre",2010,391362.281421009,253134.148271368,"[362498, 419724]","[249910, 280166]"
"32","provincia","Cachapoal","p61","Hombre",2011,369097.788203926,251208.301743745,"[329924, 437784]","[249201, 270246]"
"33","provincia","Cachapoal","p61","Hombre",2012,404236.834234118,280000,"[367068, 452052]","[251403, 299323]"
"34","provincia","Cachapoal","p61","Hombre",2013,431128.997413065,300466.151300163,"[397999, 479872]","[299405, 332739]"
"35","provincia","Cachapoal","p61","Hombre",2014,451739.449229946,315719.634760817,"[406708, 493647]","[300661, 350000]"
"36","provincia","Cachapoal","p61","Hombre",2015,508740.582609853,350094.714053763,"[471229, 549268]","[343172, 385041]"
"37","provincia","Capitán Prat","p113","Hombre",2010,681944.779293467,468479.098803323,"[428530, 1042133]","[250133, 723604]"
"38","provincia","Capitán Prat","p113","Hombre",2011,671044.95891402,437341.842313997,"[403269, 988986]","[241564, 671286]"
"39","provincia","Capitán Prat","p113","Hombre",2012,518182.345152127,547018.508725542,"[388257, 663638]","[350000, 673470]"
"40","provincia","Capitán Prat","p113","Hombre",2013,503125,350000,"[233797, 833906]","[166125, 515000]"
