"","sex","company_size","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Menos de 5","Algarrobo",1,2010,152210
"2","Hombre","Menos de 5","Algarrobo",1,2011,601611
"3","Hombre","Menos de 5","Algarrobo",1,2012,703935
"4","Hombre","Menos de 5","Algarrobo",1,2013,500678
"5","Hombre","Menos de 5","Algarrobo",1,2014,505211
"6","Hombre","Menos de 5","Alhué",2,2011,10026
"7","Hombre","Menos de 5","Alhué",2,2012,200468
"8","Hombre","Menos de 5","Alhué",2,2013,472640
"9","Hombre","Menos de 5","Alto del Carmen",4,2010,191284
"10","Hombre","Menos de 5","Alto del Carmen",4,2011,240000
"11","Hombre","Menos de 5","Alto del Carmen",4,2012,201124
"12","Hombre","Menos de 5","Alto del Carmen",4,2013,200271
"13","Hombre","Menos de 5","Alto del Carmen",4,2014,271332
"14","Hombre","Menos de 5","Alto del Carmen",4,2015,290508
"15","Hombre","Menos de 5","Alto Hospicio",5,2010,215357
"16","Hombre","Menos de 5","Alto Hospicio",5,2011,217862
"17","Hombre","Menos de 5","Alto Hospicio",5,2012,257840
"18","Hombre","Menos de 5","Alto Hospicio",5,2013,298867
"19","Hombre","Menos de 5","Alto Hospicio",5,2014,505211
"20","Hombre","Menos de 5","Alto Hospicio",5,2015,400108
"21","Hombre","Menos de 5","Ancud",6,2010,170260
"22","Hombre","Menos de 5","Ancud",6,2011,205518
"23","Hombre","Menos de 5","Ancud",6,2012,200000
"24","Hombre","Menos de 5","Ancud",6,2013,154037
"25","Hombre","Menos de 5","Ancud",6,2014,230000
"26","Hombre","Menos de 5","Ancud",6,2015,227862
"27","Hombre","Menos de 5","Andacollo",7,2010,1498974
"28","Hombre","Menos de 5","Andacollo",7,2011,697763
"29","Hombre","Menos de 5","Andacollo",7,2012,552481
"30","Hombre","Menos de 5","Andacollo",7,2013,279228
"31","Hombre","Menos de 5","Andacollo",7,2014,399925
"32","Hombre","Menos de 5","Andacollo",7,2015,252563
"33","Hombre","Menos de 5","Angol",8,2010,177006
"34","Hombre","Menos de 5","Angol",8,2011,194807
"35","Hombre","Menos de 5","Angol",8,2012,241430
"36","Hombre","Menos de 5","Angol",8,2013,243017
"37","Hombre","Menos de 5","Angol",8,2014,236822
"38","Hombre","Menos de 5","Angol",8,2015,161689
"39","Hombre","Menos de 5","Antofagasta",9,2010,409869
"40","Hombre","Menos de 5","Antofagasta",9,2011,343597
"41","Hombre","Menos de 5","Antofagasta",9,2012,459988
"42","Hombre","Menos de 5","Antofagasta",9,2013,499103
"43","Hombre","Menos de 5","Antofagasta",9,2014,404169
"44","Hombre","Menos de 5","Antofagasta",9,2015,581000
"45","Hombre","Menos de 5","Antuco",10,2010,189870
"46","Hombre","Menos de 5","Antuco",10,2011,190156
"47","Hombre","Menos de 5","Antuco",10,2012,230209
"48","Hombre","Menos de 5","Antuco",10,2013,200000
"49","Hombre","Menos de 5","Antuco",10,2014,257484
"50","Hombre","Menos de 5","Antuco",10,2015,171022
"51","Hombre","Menos de 5","Arauco",11,2010,120109
"52","Hombre","Menos de 5","Arauco",11,2011,199934
"53","Hombre","Menos de 5","Arauco",11,2012,291308
"54","Hombre","Menos de 5","Arauco",11,2013,210000
"55","Hombre","Menos de 5","Arauco",11,2014,190000
"56","Hombre","Menos de 5","Arauco",11,2015,450000
"57","Hombre","Menos de 5","Arica",12,2010,199964
"58","Hombre","Menos de 5","Arica",12,2011,198556
"59","Hombre","Menos de 5","Arica",12,2012,240672
"60","Hombre","Menos de 5","Arica",12,2013,298867
"61","Hombre","Menos de 5","Arica",12,2014,298123
