"","sex","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Algarrobo",1,2010,350343
"2","Hombre","Algarrobo",1,2011,601611
"3","Hombre","Algarrobo",1,2012,905059
"4","Hombre","Algarrobo",1,2013,526963
"5","Hombre","Algarrobo",1,2014,505211
"6","Hombre","Algarrobo",1,2015,3313446
"7","Hombre","Alhué",2,2011,452175
"8","Hombre","Alhué",2,2012,696895
"9","Hombre","Alhué",2,2013,650881
"10","Hombre","Alhué",2,2014,836630
"11","Hombre","Alhué",2,2015,921740
"12","Hombre","Alto del Carmen",4,2010,209847
"13","Hombre","Alto del Carmen",4,2011,225886
"14","Hombre","Alto del Carmen",4,2012,193000
"15","Hombre","Alto del Carmen",4,2013,238670
"16","Hombre","Alto del Carmen",4,2014,300000
"17","Hombre","Alto del Carmen",4,2015,337195
"18","Hombre","Alto Hospicio",5,2010,299888
"19","Hombre","Alto Hospicio",5,2011,306661
"20","Hombre","Alto Hospicio",5,2012,342961
"21","Hombre","Alto Hospicio",5,2013,423190
"22","Hombre","Alto Hospicio",5,2014,454309
"23","Hombre","Alto Hospicio",5,2015,436767
"24","Hombre","Ancud",6,2010,205000
"25","Hombre","Ancud",6,2011,220000
"26","Hombre","Ancud",6,2012,200000
"27","Hombre","Ancud",6,2013,257253
"28","Hombre","Ancud",6,2014,399961
"29","Hombre","Ancud",6,2015,351510
"30","Hombre","Andacollo",7,2010,603000
"31","Hombre","Andacollo",7,2011,498402
"32","Hombre","Andacollo",7,2012,552481
"33","Hombre","Andacollo",7,2013,529991
"34","Hombre","Andacollo",7,2014,449916
"35","Hombre","Andacollo",7,2015,743467
"36","Hombre","Angol",8,2010,219929
"37","Hombre","Angol",8,2011,244556
"38","Hombre","Angol",8,2012,318589
"39","Hombre","Angol",8,2013,299243
"40","Hombre","Angol",8,2014,358700
"41","Hombre","Angol",8,2015,301222
"42","Hombre","Antofagasta",9,2010,450354
"43","Hombre","Antofagasta",9,2011,500000
"44","Hombre","Antofagasta",9,2012,552801
"45","Hombre","Antofagasta",9,2013,535000
"46","Hombre","Antofagasta",9,2014,509822
"47","Hombre","Antofagasta",9,2015,634763
"48","Hombre","Antuco",10,2010,439699
"49","Hombre","Antuco",10,2011,199361
"50","Hombre","Antuco",10,2012,301353
"51","Hombre","Antuco",10,2013,448301
"52","Hombre","Antuco",10,2014,349934
"53","Hombre","Antuco",10,2015,596144
"54","Hombre","Arauco",11,2010,306000
"55","Hombre","Arauco",11,2011,268108
"56","Hombre","Arauco",11,2012,305228
"57","Hombre","Arauco",11,2013,300024
"58","Hombre","Arauco",11,2014,335937
"59","Hombre","Arauco",11,2015,406386
"60","Hombre","Arica",12,2010,279909
"61","Hombre","Arica",12,2011,297291
"62","Hombre","Arica",12,2012,320700
"63","Hombre","Arica",12,2013,340461
"64","Hombre","Arica",12,2014,351575
"65","Hombre","Arica",12,2015,400737
"66","Hombre","Aysén",13,2010,385883
"67","Hombre","Aysén",13,2011,414850
"68","Hombre","Aysén",13,2012,480061
"69","Hombre","Aysén",13,2013,550000
"70","Hombre","Aysén",13,2014,499906
"71","Hombre","Aysén",13,2015,571108
"72","Hombre","Buin",14,2010,297261
"73","Hombre","Buin",14,2011,348881
"74","Hombre","Buin",14,2012,385750
"75","Hombre","Buin",14,2013,412848
"76","Hombre","Buin",14,2014,405340
"77","Hombre","Buin",14,2015,400000
"78","Hombre","Bulnes",15,2010,188280
"79","Hombre","Bulnes",15,2011,202917
"80","Hombre","Bulnes",15,2012,248590
"81","Hombre","Bulnes",15,2013,257989
"82","Hombre","Bulnes",15,2014,264446
"83","Hombre","Bulnes",15,2015,330687
"84","Hombre","Cabildo",16,2010,300000
"85","Hombre","Cabildo",16,2011,443578
"86","Hombre","Cabildo",16,2012,619083
"87","Hombre","Cabildo",16,2013,392034
"88","Hombre","Cabildo",16,2014,599887
"89","Hombre","Cabildo",16,2015,516899
"90","Hombre","Cabrero",18,2010,357956
"91","Hombre","Cabrero",18,2011,389276
"92","Hombre","Cabrero",18,2012,313279
"93","Hombre","Cabrero",18,2013,388527
"94","Hombre","Cabrero",18,2014,399925
"95","Hombre","Cabrero",18,2015,396433
"96","Hombre","Calama",19,2010,568462
"97","Hombre","Calama",19,2011,690886
"98","Hombre","Calama",19,2012,700012
