"","sex","icse","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Asalariado sector privado","Antofagasta",2,2010,450231
"2","Hombre","Asalariado sector privado","Antofagasta",2,2011,500000
"3","Hombre","Asalariado sector privado","Araucanía",9,2010,218703
"4","Hombre","Asalariado sector privado","Araucanía",9,2011,250000
"5","Hombre","Asalariado sector privado","Arica y Parinacota",15,2010,296442
"6","Hombre","Asalariado sector privado","Arica y Parinacota",15,2011,269137
"7","Hombre","Asalariado sector privado","Atacama",3,2010,347006
"8","Hombre","Asalariado sector privado","Atacama",3,2011,400422
"9","Hombre","Asalariado sector privado","Aysén",11,2010,279809
"10","Hombre","Asalariado sector privado","Aysén",11,2011,348881
"11","Hombre","Asalariado sector privado","Bíobío",8,2010,226919
"12","Hombre","Asalariado sector privado","Bíobío",8,2011,258039
"13","Hombre","Asalariado sector privado","Coquimbo",4,2010,277787
"14","Hombre","Asalariado sector privado","Coquimbo",4,2011,299041
"15","Hombre","Asalariado sector privado","Los Lagos",10,2010,238000
"16","Hombre","Asalariado sector privado","Los Lagos",10,2011,271305
"17","Hombre","Asalariado sector privado","Los Ríos",14,2010,200196
"18","Hombre","Asalariado sector privado","Los Ríos",14,2011,244226
"19","Hombre","Asalariado sector privado","Magallanes",12,2010,338497
"20","Hombre","Asalariado sector privado","Magallanes",12,2011,356716
"21","Hombre","Asalariado sector privado","Maule",7,2010,192000
"22","Hombre","Asalariado sector privado","Maule",7,2011,199696
"23","Hombre","Asalariado sector privado","Metropolitana",13,2010,288852
"24","Hombre","Asalariado sector privado","Metropolitana",13,2011,309572
"25","Hombre","Asalariado sector privado","O'Higgins",6,2010,249829
"26","Hombre","Asalariado sector privado","O'Higgins",6,2011,249201
"27","Hombre","Asalariado sector privado","Tarapacá",1,2010,350343
"28","Hombre","Asalariado sector privado","Tarapacá",1,2011,400000
"29","Hombre","Asalariado sector privado","Valparaíso",5,2010,250000
"30","Hombre","Asalariado sector privado","Valparaíso",5,2011,276192
"31","Hombre","Asalariado sector privado",NA,NA,2010,228091
"32","Hombre","Asalariado sector privado",NA,NA,2011,345012
"33","Hombre","Asalariado Sector Privado","Antofagasta",2,2012,552801
"34","Hombre","Asalariado Sector Privado","Antofagasta",2,2013,600000
"35","Hombre","Asalariado Sector Privado","Antofagasta",2,2014,580212
"36","Hombre","Asalariado Sector Privado","Antofagasta",2,2015,652648
"37","Hombre","Asalariado Sector Privado","Araucanía",9,2012,279953
"38","Hombre","Asalariado Sector Privado","Araucanía",9,2013,284992
"39","Hombre","Asalariado Sector Privado","Araucanía",9,2014,305886
"40","Hombre","Asalariado Sector Privado","Araucanía",9,2015,350000
"41","Hombre","Asalariado Sector Privado","Arica y Parinacota",15,2012,321799
"42","Hombre","Asalariado Sector Privado","Arica y Parinacota",15,2013,350000
"43","Hombre","Asalariado Sector Privado","Arica y Parinacota",15,2014,378908
"44","Hombre","Asalariado Sector Privado","Arica y Parinacota",15,2015,404274
"45","Hombre","Asalariado Sector Privado","Atacama",3,2012,408835
"46","Hombre","Asalariado Sector Privado","Atacama",3,2013,493849
"47","Hombre","Asalariado Sector Privado","Atacama",3,2014,500000
"48","Hombre","Asalariado Sector Privado","Atacama",3,2015,550078
"49","Hombre","Asalariado Sector Privado","Aysén",11,2012,350000
"50","Hombre","Asalariado Sector Privado","Aysén",11,2013,367947
"51","Hombre","Asalariado Sector Privado","Aysén",11,2014,399925
"52","Hombre","Asalariado Sector Privado","Aysén",11,2015,443275
"53","Hombre","Asalariado Sector Privado","Bíobío",8,2012,264004
"54","Hombre","Asalariado Sector Privado","Bíobío",8,2013,300000
"55","Hombre","Asalariado Sector Privado","Bíobío",8,2014,314526
"56","Hombre","Asalariado Sector Privado","Bíobío",8,2015,351360
"57","Hombre","Asalariado Sector Privado","Coquimbo",4,2012,356185
"58","Hombre","Asalariado Sector Privado","Coquimbo",4,2013,375535
"59","Hombre","Asalariado Sector Privado","Coquimbo",4,2014,399925
"60","Hombre","Asalariado Sector Privado","Coquimbo",4,2015,400002
"61","Hombre","Asalariado Sector Privado","Los Lagos",10,2012,282018
"62","Hombre","Asalariado Sector Privado","Los Lagos",10,2013,309363
"63","Hombre","Asalariado Sector Privado","Los Lagos",10,2014,333245
"64","Hombre","Asalariado Sector Privado","Los Lagos",10,2015,391589
"65","Hombre","Asalariado Sector Privado","Los Ríos",14,2012,295396
"66","Hombre","Asalariado Sector Privado","Los Ríos",14,2013,310609
"67","Hombre","Asalariado Sector Privado","Los Ríos",14,2014,314868
"68","Hombre","Asalariado Sector Privado","Los Ríos",14,2015,362353
"69","Hombre","Asalariado Sector Privado","Magallanes",12,2012,400000
"70","Hombre","Asalariado Sector Privado","Magallanes",12,2013,476540
"71","Hombre","Asalariado Sector Privado","Magallanes",12,2014,450000
"72","Hombre","Asalariado Sector Privado","Magallanes",12,2015,500000
"73","Hombre","Asalariado Sector Privado","Maule",7,2012,238106
"74","Hombre","Asalariado Sector Privado","Maule",7,2013,274463
"75","Hombre","Asalariado Sector Privado","Maule",7,2014,272814
"76","Hombre","Asalariado Sector Privado","Maule",7,2015,301222
"77","Hombre","Asalariado Sector Privado","Metropolitana",13,2012,357512
"78","Hombre","Asalariado Sector Privado","Metropolitana",13,2013,400000
"79","Hombre","Asalariado Sector Privado","Metropolitana",13,2014,402100
"80","Hombre","Asalariado Sector Privado","Metropolitana",13,2015,435901
"81","Hombre","Asalariado Sector Privado","O'Higgins",6,2012,263947
"82","Hombre","Asalariado Sector Privado","O'Higgins",6,2013,298867
"83","Hombre","Asalariado Sector Privado","O'Higgins",6,2014,309735
"84","Hombre","Asalariado Sector Privado","O'Higgins",6,2015,347525
"85","Hombre","Asalariado Sector Privado","Tarapacá",1,2012,482445
"86","Hombre","Asalariado Sector Privado","Tarapacá",1,2013,481022
"87","Hombre","Asalariado Sector Privado","Tarapacá",1,2014,505211
"88","Hombre","Asalariado Sector Privado","Tarapacá",1,2015,500084
"89","Hombre","Asalariado Sector Privado","Valparaíso",5,2012,300000
"90","Hombre","Asalariado Sector Privado","Valparaíso",5,2013,342035
"91","Hombre","Asalariado Sector Privado","Valparaíso",5,2014,365344
"92","Hombre","Asalariado Sector Privado","Valparaíso",5,2015,394390
"93","Hombre","Asalariado Sector Privado",NA,NA,2012,294057
"94","Hombre","Asalariado sector público","Antofagasta",2,2010,988951
"95","Hombre","Asalariado sector público","Antofagasta",2,2011,1227526
"96","Hombre","Asalariado sector público","Araucanía",9,2010,580568
"97","Hombre","Asalariado sector público","Araucanía",9,2011,697763
"98","Hombre","Asalariado sector público","Arica y Parinacota",15,2010,495456
"99","Hombre","Asalariado sector público","Arica y Parinacota",15,2011,477531
"100","Hombre","Asalariado sector público","Atacama",3,2010,563853
"101","Hombre","Asalariado sector público","Atacama",3,2011,507897
"102","Hombre","Asalariado sector público","Aysén",11,2010,800101
"103","Hombre","Asalariado sector público","Aysén",11,2011,1100000
"104","Hombre","Asalariado sector público","Bíobío",8,2010,419755
"105","Hombre","Asalariado sector público","Bíobío",8,2011,474928
"106","Hombre","Asalariado sector público","Coquimbo",4,2010,608192
"107","Hombre","Asalariado sector público","Coquimbo",4,2011,543349
"108","Hombre","Asalariado sector público","Los Lagos",10,2010,536170
"109","Hombre","Asalariado sector público","Los Lagos",10,2011,599089
"110","Hombre","Asalariado sector público","Los Ríos",14,2010,488305
"111","Hombre","Asalariado sector público","Los Ríos",14,2011,598082
"112","Hombre","Asalariado sector público","Magallanes",12,2010,1099248
"113","Hombre","Asalariado sector público","Magallanes",12,2011,999875
"114","Hombre","Asalariado sector público","Maule",7,2010,499658
"115","Hombre","Asalariado sector público","Maule",7,2011,502417
"116","Hombre","Asalariado sector público","Metropolitana",13,2010,516124
"117","Hombre","Asalariado sector público","Metropolitana",13,2011,504617
"118","Hombre","Asalariado sector público","O'Higgins",6,2010,700000
"119","Hombre","Asalariado sector público","O'Higgins",6,2011,628381
"120","Hombre","Asalariado sector público","Tarapacá",1,2010,588123
"121","Hombre","Asalariado sector público","Tarapacá",1,2011,700000
"122","Hombre","Asalariado sector público","Valparaíso",5,2010,520267
"123","Hombre","Asalariado sector público","Valparaíso",5,2011,599308
"124","Hombre","Asalariado sector público",NA,NA,2010,508255
"125","Hombre","Asalariado sector público",NA,NA,2011,407717
"126","Hombre","Asalariado Sector Público","Antofagasta",2,2012,1204194
"127","Hombre","Asalariado Sector Público","Antofagasta",2,2013,1288184
"128","Hombre","Asalariado Sector Público","Antofagasta",2,2014,1103752
"129","Hombre","Asalariado Sector Público","Antofagasta",2,2015,1228115
"130","Hombre","Asalariado Sector Público","Araucanía",9,2012,703157
"131","Hombre","Asalariado Sector Público","Araucanía",9,2013,600000
"132","Hombre","Asalariado Sector Público","Araucanía",9,2014,831284
"133","Hombre","Asalariado Sector Público","Araucanía",9,2015,843440
"134","Hombre","Asalariado Sector Público","Arica y Parinacota",15,2012,605698
"135","Hombre","Asalariado Sector Público","Arica y Parinacota",15,2013,631321
"136","Hombre","Asalariado Sector Público","Arica y Parinacota",15,2014,648552
"137","Hombre","Asalariado Sector Público","Arica y Parinacota",15,2015,699137
"138","Hombre","Asalariado Sector Público","Atacama",3,2012,590414
"139","Hombre","Asalariado Sector Público","Atacama",3,2013,863285
"140","Hombre","Asalariado Sector Público","Atacama",3,2014,889172
"141","Hombre","Asalariado Sector Público","Atacama",3,2015,852150
"142","Hombre","Asalariado Sector Público","Aysén",11,2012,804497
"143","Hombre","Asalariado Sector Público","Aysén",11,2013,1200217
"144","Hombre","Asalariado Sector Público","Aysén",11,2014,912075
"145","Hombre","Asalariado Sector Público","Aysén",11,2015,1102574
"146","Hombre","Asalariado Sector Público","Bíobío",8,2012,583850
"147","Hombre","Asalariado Sector Público","Bíobío",8,2013,498112
"148","Hombre","Asalariado Sector Público","Bíobío",8,2014,600000
"149","Hombre","Asalariado Sector Público","Bíobío",8,2015,663355
"150","Hombre","Asalariado Sector Público","Coquimbo",4,2012,643362
"151","Hombre","Asalariado Sector Público","Coquimbo",4,2013,677432
"152","Hombre","Asalariado Sector Público","Coquimbo",4,2014,754258
"153","Hombre","Asalariado Sector Público","Coquimbo",4,2015,750000
"154","Hombre","Asalariado Sector Público","Los Lagos",10,2012,708906
"155","Hombre","Asalariado Sector Público","Los Lagos",10,2013,700949
"156","Hombre","Asalariado Sector Público","Los Lagos",10,2014,823629
"157","Hombre","Asalariado Sector Público","Los Lagos",10,2015,873126
"158","Hombre","Asalariado Sector Público","Los Ríos",14,2012,700000
"159","Hombre","Asalariado Sector Público","Los Ríos",14,2013,745425
"160","Hombre","Asalariado Sector Público","Los Ríos",14,2014,800000
"161","Hombre","Asalariado Sector Público","Los Ríos",14,2015,694226
"162","Hombre","Asalariado Sector Público","Magallanes",12,2012,918811
"163","Hombre","Asalariado Sector Público","Magallanes",12,2013,1029102
"164","Hombre","Asalariado Sector Público","Magallanes",12,2014,1302485
"165","Hombre","Asalariado Sector Público","Magallanes",12,2015,1514234
"166","Hombre","Asalariado Sector Público","Maule",7,2012,435917
"167","Hombre","Asalariado Sector Público","Maule",7,2013,537581
"168","Hombre","Asalariado Sector Público","Maule",7,2014,523399
"169","Hombre","Asalariado Sector Público","Maule",7,2015,617179
"170","Hombre","Asalariado Sector Público","Metropolitana",13,2012,559741
"171","Hombre","Asalariado Sector Público","Metropolitana",13,2013,657833
"172","Hombre","Asalariado Sector Público","Metropolitana",13,2014,699869
"173","Hombre","Asalariado Sector Público","Metropolitana",13,2015,855068
"174","Hombre","Asalariado Sector Público","O'Higgins",6,2012,771417
"175","Hombre","Asalariado Sector Público","O'Higgins",6,2013,735294
"176","Hombre","Asalariado Sector Público","O'Higgins",6,2014,500000
"177","Hombre","Asalariado Sector Público","O'Higgins",6,2015,751048
"178","Hombre","Asalariado Sector Público","Tarapacá",1,2012,785192
"179","Hombre","Asalariado Sector Público","Tarapacá",1,2013,899771
"180","Hombre","Asalariado Sector Público","Tarapacá",1,2014,680000
"181","Hombre","Asalariado Sector Público","Tarapacá",1,2015,802033
"182","Hombre","Asalariado Sector Público","Valparaíso",5,2012,814342
"183","Hombre","Asalariado Sector Público","Valparaíso",5,2013,799061
"184","Hombre","Asalariado Sector Público","Valparaíso",5,2014,808338
"185","Hombre","Asalariado Sector Público","Valparaíso",5,2015,800000
"186","Hombre","Asalariado Sector Público",NA,NA,2012,1106183
"187","Hombre","Cuenta propia","Antofagasta",2,2010,350343
"188","Hombre","Cuenta propia","Antofagasta",2,2011,354379
"189","Hombre","Cuenta propia","Araucanía",9,2010,95337
"190","Hombre","Cuenta propia","Araucanía",9,2011,133895
"191","Hombre","Cuenta propia","Arica y Parinacota",15,2010,199863
"192","Hombre","Cuenta propia","Arica y Parinacota",15,2011,195351
"193","Hombre","Cuenta propia","Atacama",3,2010,250003
"194","Hombre","Cuenta propia","Atacama",3,2011,250000
"195","Hombre","Cuenta propia","Aysén",11,2010,279809
"196","Hombre","Cuenta propia","Aysén",11,2011,299041
"197","Hombre","Cuenta propia","Bíobío",8,2010,147999
"198","Hombre","Cuenta propia","Bíobío",8,2011,149521
"199","Hombre","Cuenta propia","Coquimbo",4,2010,200000
"200","Hombre","Cuenta propia","Coquimbo",4,2011,244830
"201","Hombre","Cuenta propia","Los Lagos",10,2010,137107
"202","Hombre","Cuenta propia","Los Lagos",10,2011,181050
"203","Hombre","Cuenta propia","Los Ríos",14,2010,152136
"204","Hombre","Cuenta propia","Los Ríos",14,2011,150725
"205","Hombre","Cuenta propia","Magallanes",12,2010,375638
"206","Hombre","Cuenta propia","Magallanes",12,2011,387832
"207","Hombre","Cuenta propia","Maule",7,2010,150000
"208","Hombre","Cuenta propia","Maule",7,2011,175198
"209","Hombre","Cuenta propia","Metropolitana",13,2010,209885
"210","Hombre","Cuenta propia","Metropolitana",13,2011,249201
"211","Hombre","Cuenta propia","O'Higgins",6,2010,200196
