"","sex","isic","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Algarrobo",1,2012,251405
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Alhué",2,2011,10026
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2010,197534
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2011,219738
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2012,193000
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2013,240000
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2014,282192
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2015,360015
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2010,180839
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2012,181012
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2014,180000
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2010,106758
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2011,150597
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2012,804497
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2013,290218
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2014,316128
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2015,295179
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2010,190186
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2011,181900
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2012,235315
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2013,300407
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2014,282918
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2015,281141
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2010,199887
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2011,228575
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2012,238005
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2013,276160
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2014,358764
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2015,250000
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2011,140677
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2012,402248
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2014,1475781
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2015,330089
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2010,189870
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2011,105993
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2012,125000
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2013,202625
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2014,244013
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2015,150041
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2010,308341
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2011,324977
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2012,358409
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2013,290000
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2014,406106
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2015,420114
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2010,198839
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2011,251208
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2012,220542
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2013,263483
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2014,262710
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2015,311263
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2010,250411
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2011,269137
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2012,524196
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2013,350474
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2014,351427
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2015,250068
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2010,200019
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2011,433969
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2012,387335
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2013,293308
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2014,389064
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2015,323837
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2010,198105
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2011,206874
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2012,255654
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2013,269169
"68","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2014,262845
"69","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2015,257043
"70","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2010,232390
"71","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2011,211015
"72","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2012,251338
"73","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2013,210285
"74","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2014,359932
"75","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2015,337091
"76","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2010,575606
"77","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2011,418658
"78","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2012,522345
"79","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2013,318096
"80","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2014,242400
"81","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2015,351072
"82","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2011,105000
"83","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2012,220000
"84","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2013,220000
"85","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2014,454690
"86","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2015,622526
"87","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2010,342715
"88","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2011,190558
"89","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2012,387634
"90","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2013,150244
"91","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2014,201505
"92","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2015,196440
"93","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2010,249135
"94","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2011,158791
"95","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2012,501485
"96","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2013,1953924
"97","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2014,529461
"98","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2015,1506561
"99","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2010,180176
"100","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2011,266281
"101","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2012,331855
"102","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2013,801085
"103","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2014,767921
"104","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2015,938810
"105","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2010,227365
"106","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2011,351610
"107","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2012,445033
"108","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2013,209207
"109","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2014,260306
"110","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2015,366957
"111","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2010,231836
"112","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2011,118993
"113","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2012,100249
"114","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2013,300407
"115","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2011,81971
"116","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2012,160899
"117","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2013,130176
"118","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2014,210000
"119","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2015,125464
"120","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2010,189870
"121","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2011,151690
"122","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2012,200792
"123","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2013,211526
"124","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2014,366400
"125","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2015,180000
"126","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2010,200613
"127","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2011,208642
"128","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2012,201688
"129","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2013,180235
"130","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2014,181876
"131","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2015,259841
"132","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2010,129911
"133","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2011,78716
"134","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2012,100380
"135","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2013,118640
"136","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2014,142260
"137","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2015,187423
"138","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2010,189572
"139","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2013,379760
"140","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2014,319940
"141","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2011,249201
"142","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2012,190857
"143","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2014,419578
"144","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2015,602445
"145","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2010,70069
"146","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2011,163781
"147","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2012,145414
"148","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2013,180244
"149","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2014,176816
"150","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2015,227418
"151","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2010,220215
"152","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2011,274739
"153","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2012,220992
"154","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2013,313261
"155","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2014,280000
"156","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2015,368982
"157","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2010,171882
"158","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2011,199361
"159","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2012,213734
"160","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2013,209757
"161","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2014,224958
"162","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2015,242714
"163","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2013,250000
"164","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2014,80834
"165","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2015,400108
"166","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2010,119918
"167","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2011,199361
"168","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2012,251405
"169","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2014,121251
"170","Hombre","Agricultura, ganadería, caza y silvicultura","Chañaral",39,2013,315427
"171","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2010,140715
"172","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2011,146575
"173","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2012,199675
"174","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2013,245276
"175","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2014,232397
"176","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2015,301222
