"","sex","isco","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2010,152209.869076695
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2012,251405.270917803
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2014,101042.2588592
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2010,243639.257945112
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2011,215893.684555353
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2012,128045.543984985
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2013,198505.047569946
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2014,145158.803468325
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2015,120865.106334018
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2010,134333.030312313
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2011,294051.37188866
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2012,206152.322152598
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2013,253905.669189813
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2014,441049.316781425
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2015,500000
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2010,122794.666850229
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2011,114080.524483032
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2012,234630.970959113
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2013,184763.073930644
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2014,439066.261487307
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2015,308226.314478713
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2010,147731.076279381
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2011,71403.4476876421
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2012,113964.854343285
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2014,106000.869969812
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2015,87333.5552429069
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2010,379765.824845017
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2011,833272.253954227
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2012,279630.220934449
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2013,225343.791704823
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2014,257920.902502801
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol",8,2015,190981.311994554
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",9,2012,305289.051753682
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",9,2013,192809.073332292
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",9,2014,179990.356407613
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",9,2015,351257.11110241
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2010,94019.1536883243
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2011,118889.615430897
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2012,70700.0749760308
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2013,121750
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2014,178888.751355485
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco",10,2015,106695.531902099
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco",11,2010,137676.704110457
