"","sex","work_day","comuna_name","comuna_datachile_id","year","FUN"
"1","Hombre","Completa","Aisén",NA,2010,645642.600620467
"2","Hombre","Completa","Aisén",NA,2011,596542.894897874
"3","Hombre","Completa","Aisén",NA,2012,639959.18522526
"4","Hombre","Completa","Algarrobo",1,2010,251276.200930988
"5","Hombre","Completa","Algarrobo",1,2011,454046.021661432
"6","Hombre","Completa","Algarrobo",1,2012,561695.243068352
"7","Hombre","Completa","Algarrobo",1,2013,398873.32429583
"8","Hombre","Completa","Algarrobo",1,2014,554288.962884754
"9","Hombre","Completa","Algarrobo",1,2015,1274358.94490222
"10","Hombre","Completa","Alhué",2,2011,393336.37646365
"11","Hombre","Completa","Alhué",2,2012,534940.170369162
"12","Hombre","Completa","Alhué",2,2013,557254.405784006
"13","Hombre","Completa","Alhué",2,2014,743418.419556564
"14","Hombre","Completa","Alhué",2,2015,702182.844380058
"15","Hombre","Completa","Alto del Carmen",4,2010,240502.934192732
"16","Hombre","Completa","Alto del Carmen",4,2011,256334.05921657
"17","Hombre","Completa","Alto del Carmen",4,2012,197264.98565892
"18","Hombre","Completa","Alto del Carmen",4,2013,248585.83636512
"19","Hombre","Completa","Alto del Carmen",4,2014,254806.877419268
"20","Hombre","Completa","Alto del Carmen",4,2015,343915.324172327
"21","Hombre","Completa","Alto Hospicio",5,2010,381795.770587861
"22","Hombre","Completa","Alto Hospicio",5,2011,392559.970963387
"23","Hombre","Completa","Alto Hospicio",5,2012,379024.77717656
"24","Hombre","Completa","Alto Hospicio",5,2013,545944.811469335
"25","Hombre","Completa","Alto Hospicio",5,2014,474992.292177711
"26","Hombre","Completa","Alto Hospicio",5,2015,489358.387947162
"27","Hombre","Completa","Ancud",6,2010,410671.163062336
"28","Hombre","Completa","Ancud",6,2011,263774.015977587
"29","Hombre","Completa","Ancud",6,2012,327157.485530496
"30","Hombre","Completa","Ancud",6,2013,312264.098983965
"31","Hombre","Completa","Ancud",6,2014,424448.211532602
"32","Hombre","Completa","Ancud",6,2015,510293.45934116
"33","Hombre","Completa","Andacollo",7,2010,450667.823109287
"34","Hombre","Completa","Andacollo",7,2011,360463.109196443
"35","Hombre","Completa","Andacollo",7,2012,646649.716932947
"36","Hombre","Completa","Andacollo",7,2013,421936.140102716
"37","Hombre","Completa","Andacollo",7,2014,483916.017090726
"38","Hombre","Completa","Andacollo",7,2015,476461.930019003
"39","Hombre","Completa","Angol",8,2010,353030.858334376
"40","Hombre","Completa","Angol",8,2011,503727.716312569
"41","Hombre","Completa","Angol",8,2012,508300.661095275
"42","Hombre","Completa","Angol",8,2013,392511.659679526
