"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Completa","Antofagasta","p21",2010,575980.724507862
"2","Hombre","Completa","Antofagasta","p21",2011,590383.736153248
"3","Hombre","Completa","Antofagasta","p21",2012,664624.067440206
"4","Hombre","Completa","Antofagasta","p21",2013,683091.966432685
"5","Hombre","Completa","Antofagasta","p21",2014,708081.984045055
"6","Hombre","Completa","Antofagasta","p21",2015,803695.517623932
"7","Hombre","Completa","Arauco","p82",2010,294594.479615795
"8","Hombre","Completa","Arauco","p82",2011,279179.804277911
"9","Hombre","Completa","Arauco","p82",2012,320170.955913937
"10","Hombre","Completa","Arauco","p82",2013,329882.007888684
"11","Hombre","Completa","Arauco","p82",2014,341879.652609276
"12","Hombre","Completa","Arauco","p82",2015,348451.239922392
"13","Hombre","Completa","Arica","p151",2010,367732.667054063
"14","Hombre","Completa","Arica","p151",2011,389997.557043183
"15","Hombre","Completa","Arica","p151",2012,508627.810474872
"16","Hombre","Completa","Arica","p151",2013,424591.765166758
"17","Hombre","Completa","Arica","p151",2014,452011.573533962
"18","Hombre","Completa","Arica","p151",2015,510581.568782083
"19","Hombre","Completa","Aysén","p112",2010,605061.334266027
"20","Hombre","Completa","Aysén","p112",2011,571163.258850699
"21","Hombre","Completa","Aysén","p112",2012,624437.666862165
"22","Hombre","Completa","Aysén","p112",2013,627683.947748576
"23","Hombre","Completa","Aysén","p112",2014,643116.213175372
"24","Hombre","Completa","Aysén","p112",2015,763414.174063465
"25","Hombre","Completa","Bíobío","p83",2010,348098.923440861
"26","Hombre","Completa","Bíobío","p83",2011,337402.921103906
"27","Hombre","Completa","Bíobío","p83",2012,349244.746902085
"28","Hombre","Completa","Bíobío","p83",2013,382382.280469265
"29","Hombre","Completa","Bíobío","p83",2014,412131.709099703
"30","Hombre","Completa","Bíobío","p83",2015,499255.089756774
"31","Hombre","Completa","Cachapoal","p61",2010,405242.41793339
"32","Hombre","Completa","Cachapoal","p61",2011,378406.059579195
"33","Hombre","Completa","Cachapoal","p61",2012,424034.935213808
"34","Hombre","Completa","Cachapoal","p61",2013,438626.894795716
"35","Hombre","Completa","Cachapoal","p61",2014,464856.733906533
"36","Hombre","Completa","Cachapoal","p61",2015,524213.03420431
"37","Hombre","Completa","Capitán Prat","p113",2010,656496.262974757
"38","Hombre","Completa","Capitán Prat","p113",2011,711657.698028061
"39","Hombre","Completa","Capitán Prat","p113",2012,518182.345152127
"40","Hombre","Completa","Capitán Prat","p113",2013,503125
"41","Hombre","Completa","Capitán Prat","p113",2014,722166.666666667
"42","Hombre","Completa","Cardenal Caro","p62",2010,244957.519772347
"43","Hombre","Completa","Cardenal Caro","p62",2011,293733.256913212
"44","Hombre","Completa","Cardenal Caro","p62",2012,370421.753681464
"45","Hombre","Completa","Cardenal Caro","p62",2013,461881.496689103
"46","Hombre","Completa","Cardenal Caro","p62",2014,407060.802678012
"47","Hombre","Completa","Cardenal Caro","p62",2015,390759.367195219
"48","Hombre","Completa","Cauquenes","p72",2010,205314.13052455
"49","Hombre","Completa","Cauquenes","p72",2011,243784.996497587
"50","Hombre","Completa","Cauquenes","p72",2012,260274.712903734
"51","Hombre","Completa","Cauquenes","p72",2013,305730.529222073
"52","Hombre","Completa","Cauquenes","p72",2014,318701.129109414
"53","Hombre","Completa","Cauquenes","p72",2015,322530.509529146
"54","Hombre","Completa","Cautín","p91",2010,332338.726678841
"55","Hombre","Completa","Cautín","p91",2011,345651.562069222
"56","Hombre","Completa","Cautín","p91",2012,382895.972241449
"57","Hombre","Completa","Cautín","p91",2013,398961.989935957
"58","Hombre","Completa","Cautín","p91",2014,435951.236802915
"59","Hombre","Completa","Cautín","p91",2015,468065.201363651
"60","Hombre","Completa","Chacabuco","p133",2010,456025.5447671
"61","Hombre","Completa","Chacabuco","p133",2011,654519.097084467
"62","Hombre","Completa","Chacabuco","p133",2012,857128.711285052
"63","Hombre","Completa","Chacabuco","p133",2013,693020.260976233
"64","Hombre","Completa","Chacabuco","p133",2014,704483.990026579
"65","Hombre","Completa","Chacabuco","p133",2015,699446.443394341
"66","Hombre","Completa","Chañaral","p32",2010,425862.785847143
"67","Hombre","Completa","Chañaral","p32",2011,514573.631301793
"68","Hombre","Completa","Chañaral","p32",2012,545170.018419612
"69","Hombre","Completa","Chañaral","p32",2013,673860.73370075
"70","Hombre","Completa","Chañaral","p32",2014,540149.937522971
"71","Hombre","Completa","Chañaral","p32",2015,603184.079376305
"72","Hombre","Completa","Chiloé","p102",2010,352584.605136262
"73","Hombre","Completa","Chiloé","p102",2011,353671.068532457
"74","Hombre","Completa","Chiloé","p102",2012,439241.543204059
"75","Hombre","Completa","Chiloé","p102",2013,431470.692949924
"76","Hombre","Completa","Chiloé","p102",2014,475392.442951249
"77","Hombre","Completa","Chiloé","p102",2015,463780.26258498
"78","Hombre","Completa","Choapa","p42",2010,399568.815427125
