"","sex","company_size","geography_name","geography_id","year","weighted_median"
"1","Hombre","Menos de 5","Antofagasta",2,2010,306876.604682735
"2","Hombre","Menos de 5","Antofagasta",2,2011,299041.083012127
"3","Hombre","Menos de 5","Antofagasta",2,2012,317071.496492969
"4","Hombre","Menos de 5","Antofagasta",2,2013,400000
"5","Hombre","Menos de 5","Antofagasta",2,2014,341512.659941283
"6","Hombre","Menos de 5","Antofagasta",2,2015,410456.179575163
"7","Hombre","Menos de 5","Araucanía",9,2010,100097.86651008
"8","Hombre","Menos de 5","Araucanía",9,2011,150000
"9","Hombre","Menos de 5","Araucanía",9,2012,120334.530506264
"10","Hombre","Menos de 5","Araucanía",9,2013,150292.991859805
"11","Hombre","Menos de 5","Araucanía",9,2014,190503.222461739
"12","Hombre","Menos de 5","Araucanía",9,2015,182110.80792591
"13","Hombre","Menos de 5","Arica y Parinacota",15,2010,175067.915948915
"14","Hombre","Menos de 5","Arica y Parinacota",15,2011,180000
"15","Hombre","Menos de 5","Arica y Parinacota",15,2012,200000
"16","Hombre","Menos de 5","Arica y Parinacota",15,2013,250000
"17","Hombre","Menos de 5","Arica y Parinacota",15,2014,252605.647148
"18","Hombre","Menos de 5","Arica y Parinacota",15,2015,300081.183474654
"19","Hombre","Menos de 5","Atacama",3,2010,200069.552911772
"20","Hombre","Menos de 5","Atacama",3,2011,206676.604837727
"21","Hombre","Menos de 5","Atacama",3,2012,250402.787639029
"22","Hombre","Menos de 5","Atacama",3,2013,249055.92519331
"23","Hombre","Menos de 5","Atacama",3,2014,250098.23053997
"24","Hombre","Menos de 5","Atacama",3,2015,293039.969639712
"25","Hombre","Menos de 5","Aysén",11,2010,249829.018075232
"26","Hombre","Menos de 5","Aysén",11,2011,257047.837318566
"27","Hombre","Menos de 5","Aysén",11,2012,251405.270917803
"28","Hombre","Menos de 5","Aysén",11,2013,253284.555168889
"29","Hombre","Menos de 5","Aysén",11,2014,289494.030548057
"30","Hombre","Menos de 5","Aysén",11,2015,337156.317350724
"31","Hombre","Menos de 5","Bíobío",8,2010,150146.79976512
"32","Hombre","Menos de 5","Bíobío",8,2011,160000
"33","Hombre","Menos de 5","Bíobío",8,2012,191632.556548367
"34","Hombre","Menos de 5","Bíobío",8,2013,199244.740154648
"35","Hombre","Menos de 5","Bíobío",8,2014,200000
"36","Hombre","Menos de 5","Bíobío",8,2015,211643.610156356
"37","Hombre","Menos de 5","Coquimbo",4,2010,179876.893014167
"38","Hombre","Menos de 5","Coquimbo",4,2011,205000
"39","Hombre","Menos de 5","Coquimbo",4,2012,216411.083565866
"40","Hombre","Menos de 5","Coquimbo",4,2013,229131.451177846
"41","Hombre","Menos de 5","Coquimbo",4,2014,255340.035089176
"42","Hombre","Menos de 5","Coquimbo",4,2015,251572.546538498
"43","Hombre","Menos de 5","Los Lagos",10,2010,160156.586416128
"44","Hombre","Menos de 5","Los Lagos",10,2011,192000
"45","Hombre","Menos de 5","Los Lagos",10,2012,193000
"46","Hombre","Menos de 5","Los Lagos",10,2013,200000
"47","Hombre","Menos de 5","Los Lagos",10,2014,213268.405694464
"48","Hombre","Menos de 5","Los Lagos",10,2015,250000
"49","Hombre","Menos de 5","Los Ríos",14,2010,150081.670413458
"50","Hombre","Menos de 5","Los Ríos",14,2011,150724.981046247
"51","Hombre","Menos de 5","Los Ríos",14,2012,180811.855670103
"52","Hombre","Menos de 5","Los Ríos",14,2013,180244.012652509
"53","Hombre","Menos de 5","Los Ríos",14,2014,202084.5177184
"54","Hombre","Menos de 5","Los Ríos",14,2015,200814.922129664
"55","Hombre","Menos de 5","Magallanes",12,2010,252309.67166572
"56","Hombre","Menos de 5","Magallanes",12,2011,299041.083012127
"57","Hombre","Menos de 5","Magallanes",12,2012,350000
"58","Hombre","Menos de 5","Magallanes",12,2013,319897.237774061
"59","Hombre","Menos de 5","Magallanes",12,2014,321946.346324562
"60","Hombre","Menos de 5","Magallanes",12,2015,350000
"61","Hombre","Menos de 5","Maule",7,2010,150146.79976512
"62","Hombre","Menos de 5","Maule",7,2011,171450.220926953
"63","Hombre","Menos de 5","Maule",7,2012,190000
"64","Hombre","Menos de 5","Maule",7,2013,205059.332948941
"65","Hombre","Menos de 5","Maule",7,2014,231574.103489267
"66","Hombre","Menos de 5","Maule",7,2015,240931.905808631
"67","Hombre","Menos de 5","Metropolitana",13,2010,200195.73302016
"68","Hombre","Menos de 5","Metropolitana",13,2011,220000
"69","Hombre","Menos de 5","Metropolitana",13,2012,261286.675255832
"70","Hombre","Menos de 5","Metropolitana",13,2013,300000
"71","Hombre","Menos de 5","Metropolitana",13,2014,300000
"72","Hombre","Menos de 5","Metropolitana",13,2015,301222.383194496
"73","Hombre","Menos de 5","O'Higgins",6,2010,190065.522254568
