"","sex","icse","geography_name","geography_id","year","weighted_median"
"1","Hombre","Asalariado sector privado","Algarrobo",1,2010,350342.53278528
"2","Hombre","Asalariado sector privado","Algarrobo",1,2011,602899.924184988
"3","Hombre","Asalariado sector privado","Alhué",2,2011,401933.282789992
"4","Hombre","Asalariado sector privado","Alto del Carmen",4,2010,186283.254855832
"5","Hombre","Asalariado sector privado","Alto del Carmen",4,2011,202470.201669546
"6","Hombre","Asalariado sector privado","Alto Hospicio",5,2010,314168.463550321
"7","Hombre","Asalariado sector privado","Alto Hospicio",5,2011,302557.62363735
"8","Hombre","Asalariado sector privado","Ancud",6,2010,210195.352199844
"9","Hombre","Asalariado sector privado","Ancud",6,2011,219805.791824479
"10","Hombre","Asalariado sector privado","Andacollo",7,2010,280274.026228224
"11","Hombre","Asalariado sector privado","Andacollo",7,2011,412533.014701017
"12","Hombre","Asalariado sector privado","Angol",8,2010,187289.537257232
"13","Hombre","Asalariado sector privado","Angol",8,2011,226574.882379933
"14","Hombre","Asalariado sector privado","Antofagasta",9,2010,419739.376398252
"15","Hombre","Asalariado sector privado","Antofagasta",9,2011,480000
"16","Hombre","Asalariado sector privado","Antuco",10,2010,439699.071812408
"17","Hombre","Asalariado sector privado","Antuco",10,2011,150000
"18","Hombre","Asalariado sector privado","Arauco",11,2010,283533.404414845
"19","Hombre","Asalariado sector privado","Arauco",11,2011,249929.075870203
"20","Hombre","Asalariado sector privado","Arica",12,2010,260000
"21","Hombre","Asalariado sector privado","Arica",12,2011,251208.301743745
"22","Hombre","Asalariado sector privado","Aysén",13,2010,260595.210106943
"23","Hombre","Asalariado sector privado","Aysén",13,2011,338913.227413744
"24","Hombre","Asalariado sector privado","Buin",14,2010,249853.613194106
"25","Hombre","Asalariado sector privado","Buin",14,2011,249949.427735067
"26","Hombre","Asalariado sector privado","Bulnes",15,2010,170669.979999218
"27","Hombre","Asalariado sector privado","Bulnes",15,2011,170664.402961869
"28","Hombre","Asalariado sector privado","Cabildo",16,2010,200195.73302016
"29","Hombre","Asalariado sector privado","Cabildo",16,2011,381449.308855747
"30","Hombre","Asalariado sector privado","Cabrero",18,2010,221172.718666549
"31","Hombre","Asalariado sector privado","Cabrero",18,2011,246700.520940358
"32","Hombre","Asalariado sector privado","Calama",19,2010,449692.232535418
"33","Hombre","Asalariado sector privado","Calama",19,2011,480000
"34","Hombre","Asalariado sector privado","Calbuco",20,2010,227056.318062197
"35","Hombre","Asalariado sector privado","Calbuco",20,2011,303640.296450433
"36","Hombre","Asalariado sector privado","Caldera",21,2010,320079.614089427
"37","Hombre","Asalariado sector privado","Caldera",21,2011,319096.712124223
"38","Hombre","Asalariado sector privado","Calera",22,2010,300269.064957341
"39","Hombre","Asalariado sector privado","Calera",22,2011,210916.039213709
"40","Hombre","Asalariado sector privado","Calera de Tango",23,2010,215210.412996672
"41","Hombre","Asalariado sector privado","Calera de Tango",23,2011,246184.13570887
"42","Hombre","Asalariado sector privado","Calle Larga",24,2010,210516.734016559
"43","Hombre","Asalariado sector privado","Calle Larga",24,2011,204548.052476039
"44","Hombre","Asalariado sector privado","Camarones",25,2010,281795.10191513
"45","Hombre","Asalariado sector privado","Camarones",25,2011,199079.545454545
"46","Hombre","Asalariado sector privado","Camiña",26,2011,602899.924184988
"47","Hombre","Asalariado sector privado","Canela",27,2010,353176.787023551
"48","Hombre","Asalariado sector privado","Canela",27,2011,366671.932459757
"49","Hombre","Asalariado sector privado","Cañete",28,2010,195379.000632866
"50","Hombre","Asalariado sector privado","Cañete",28,2011,200000
"51","Hombre","Asalariado sector privado","Carahue",29,2010,134893.289910127
"52","Hombre","Asalariado sector privado","Carahue",29,2011,155693.311786871
"53","Hombre","Asalariado sector privado","Cartagena",30,2010,218941.052425736
"54","Hombre","Asalariado sector privado","Cartagena",30,2011,448561.624518191
"55","Hombre","Asalariado sector privado","Casablanca",31,2010,290800.97703957
"56","Hombre","Asalariado sector privado","Casablanca",31,2011,249200.902510106
"57","Hombre","Asalariado sector privado","Castro",32,2010,200000
"58","Hombre","Asalariado sector privado","Castro",32,2011,256453.290274377
"59","Hombre","Asalariado sector privado","Catemu",33,2010,210908.023302625
"60","Hombre","Asalariado sector privado","Catemu",33,2011,251208.301743745
"61","Hombre","Asalariado sector privado","Cauquenes",34,2010,171882.36443576
"62","Hombre","Asalariado sector privado","Cauquenes",34,2011,181425.539224843
"63","Hombre","Asalariado sector privado","Cerrillos",35,2010,213885.513539568
"64","Hombre","Asalariado sector privado","Cerrillos",35,2011,328820.732308258
"65","Hombre","Asalariado sector privado","Cerro Navia",36,2010,213533.632115396
"66","Hombre","Asalariado sector privado","Cerro Navia",36,2011,270932.700571742
"67","Hombre","Asalariado sector privado","Chañaral",39,2010,299794.821690278
"68","Hombre","Asalariado sector privado","Chañaral",39,2011,391708.014108516
"69","Hombre","Asalariado sector privado","Chanco",38,2010,141902.882266732
"70","Hombre","Asalariado sector privado","Chanco",38,2011,198469.35420962
"71","Hombre","Asalariado sector privado","Chépica",40,2010,200195.73302016
"72","Hombre","Asalariado sector privado","Chépica",40,2011,188215.572316767
"73","Hombre","Asalariado sector privado","Chiguayante",41,2010,290448.759277441
"74","Hombre","Asalariado sector privado","Chiguayante",41,2011,250000
"75","Hombre","Asalariado sector privado","Chile Chico",42,2010,240707.77397635
"76","Hombre","Asalariado sector privado","Chile Chico",42,2011,401933.282789992
"77","Hombre","Asalariado sector privado","Chillán",43,2010,214091.597668041
"78","Hombre","Asalariado sector privado","Chillán",43,2011,257968.053190217
"79","Hombre","Asalariado sector privado","Chillán Viejo",44,2010,234939.87876142
"80","Hombre","Asalariado sector privado","Chillán Viejo",44,2011,209274.625819573
"81","Hombre","Asalariado sector privado","Chimbarongo",45,2010,199252.496421785
"82","Hombre","Asalariado sector privado","Chimbarongo",45,2011,210010.009176046
"83","Hombre","Asalariado sector privado","Chonchi",47,2010,171074.059827162
"84","Hombre","Asalariado sector privado","Chonchi",47,2011,195096.252376837
"85","Hombre","Asalariado sector privado","Cisnes",48,2010,312055.598772378
"86","Hombre","Asalariado sector privado","Cisnes",48,2011,309598.168765733
"87","Hombre","Asalariado sector privado","Cochrane",51,2010,253379.659900794
