"","sex","isic","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Algarrobo",1,2012,251405.270917803
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Alhué",2,2011,10026
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2010,170037.672425198
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2011,200966.641394996
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2012,193000
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2013,210269.671695662
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2014,229890.251409482
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2015,248548.408071263
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2010,68989.9826719788
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2012,181011.795060818
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2014,180000
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2010,60058.719906048
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2011,77080.5455866881
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2012,81218.1995266599
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2013,133795.92555096
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2014,202084.5177184
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2015,248914.722715924
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2010,150146.79976512
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2011,77874.5735405609
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2012,150843.162550682
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2013,278376.863985541
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2014,181876.06594656
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2015,162618.215158034
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2010,159729.874933177
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2011,200079.596320998
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2012,202632.243010796
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2013,222022.968077327
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2014,259298.802776873
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2015,225945.785197464
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2011,140676.648976497
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2012,357531.363997844
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2014,119679.082023328
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2015,330089.301822119
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2010,74532.4902784563
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2011,99680.3610040425
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2012,83223.9932239932
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2013,86433.0129405514
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2014,142820.523578388
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2015,110029.76727404
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2010,237600
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2011,243078.95032008
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2012,285911.624183526
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2013,177198.866523302
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2014,291922.654911795
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2015,328588.895904746
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2010,172184.162491842
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2011,210511.653219785
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2012,201074.281712154
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2013,230311.793944872
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2014,241352.48980678
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2015,303577.086774337
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2010,178694.160919801
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2011,163169.777044185
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2012,280999.336572359
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2013,282264.32901734
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2014,274300.288443658
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2015,171227.184715783
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2010,182466.815097054
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2011,200833.456937293
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2012,229493.983003604
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2013,230868.778364176
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2014,281982.221318009
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2015,240119.472263589
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2010,166283.997028304
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2011,170733.782518938
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2012,197409.327342431
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2013,200101.751071179
"68","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2014,225371.683960952
"69","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2015,241049.459297595
"70","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2010,206268.197512321
"71","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2011,198956.974981046
"72","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2012,194400.271981171
"73","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2013,190974.739454534
"74","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2014,249953.122070129
"75","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2015,316085.513259969
"76","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2010,222847.484123107
"77","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2011,227028.898638156
"78","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2012,240513.223549973
"79","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2013,219298.251331185
"80","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2014,204728.147155227
"81","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2015,247997.883141982
"82","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2011,105000
"83","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2012,220000
"84","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2013,220000
"85","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2014,404169.0354368
"86","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2015,211958.334366742
"87","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2010,271497.463302288
"88","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2011,146859.022298396
"89","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2012,135348.290539354
"90","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2013,84440.8257623189
"91","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2014,119922.001077155
"92","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2015,112904.749433066
"93","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2010,176148.992474403
"94","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2011,103303.020045535
"95","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2012,203207.777085037
"96","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2013,238229.584760133
"97","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2014,399591.919544985
"98","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2015,408882.781124499
"99","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2010,180176.159718144
"100","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2011,226087.47156937
"101","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2012,301686.325101363
"102","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2013,200271.125169454
"103","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2014,237449.30831912
"104","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2015,426731.709525536
"105","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2010,165507.219974713
