"","sex","geography_name","geography_id","year","weighted_median"
"1","Hombre","Antofagasta","p21",2010,400391.46604032
"2","Hombre","Antofagasta","p21",2011,452174.943138741
"3","Hombre","Antofagasta","p21",2012,500000
"4","Hombre","Antofagasta","p21",2013,500677.812923635
"5","Hombre","Antofagasta","p21",2014,500000
"6","Hombre","Antofagasta","p21",2015,600000
"7","Hombre","Arauco","p82",2010,200084.074932483
"8","Hombre","Arauco","p82",2011,200000
"9","Hombre","Arauco","p82",2012,236465.106771364
"10","Hombre","Arauco","p82",2013,240130.837829748
"11","Hombre","Arauco","p82",2014,250516.206446378
"12","Hombre","Arauco","p82",2015,298424.090087052
"13","Hombre","Arica","p151",2010,250236.013567277
"14","Hombre","Arica","p151",2011,260000
"15","Hombre","Arica","p151",2012,301353.092783505
"16","Hombre","Arica","p151",2013,300406.687754181
"17","Hombre","Arica","p151",2014,327109.976882429
"18","Hombre","Arica","p151",2015,400000
"19","Hombre","Aysén","p112",2010,339767.464582316
"20","Hombre","Aysén","p112",2011,348881.263514149
"21","Hombre","Aysén","p112",2012,402232.875825825
"22","Hombre","Aysén","p112",2013,426296.165809698
"23","Hombre","Aysén","p112",2014,415001.820798345
"24","Hombre","Aysén","p112",2015,455989.204427427
"25","Hombre","Bíobío","p83",2010,200195.73302016
"26","Hombre","Bíobío","p83",2011,229635.149530634
"27","Hombre","Bíobío","p83",2012,237903.810225499
"28","Hombre","Bíobío","p83",2013,274210.575672449
"29","Hombre","Bíobío","p83",2014,302150.394684511
"30","Hombre","Bíobío","p83",2015,318669.382233012
"31","Hombre","Cachapoal","p61",2010,253134.148271368
"32","Hombre","Cachapoal","p61",2011,251208.301743745
"33","Hombre","Cachapoal","p61",2012,280000
"34","Hombre","Cachapoal","p61",2013,300466.151300163
"35","Hombre","Cachapoal","p61",2014,315719.634760817
"36","Hombre","Cachapoal","p61",2015,350094.714053763
"37","Hombre","Capitán Prat","p113",2010,468479.098803323
"38","Hombre","Capitán Prat","p113",2011,437341.842313997
"39","Hombre","Capitán Prat","p113",2012,547018.508725542
"40","Hombre","Capitán Prat","p113",2013,350000
"41","Hombre","Capitán Prat","p113",2014,300000
"42","Hombre","Cardenal Caro","p62",2010,182254.644540508
"43","Hombre","Cardenal Caro","p62",2011,200000
"44","Hombre","Cardenal Caro","p62",2012,218992.11611872
"45","Hombre","Cardenal Caro","p62",2013,250000
"46","Hombre","Cardenal Caro","p62",2014,289958.274353587
"47","Hombre","Cardenal Caro","p62",2015,300081.183474654
"48","Hombre","Cauquenes","p72",2010,160822.16910476
"49","Hombre","Cauquenes","p72",2011,186001.992033835
"50","Hombre","Cauquenes","p72",2012,201004.212953123
"51","Hombre","Cauquenes","p72",2013,225035.487630836
"52","Hombre","Cauquenes","p72",2014,226328.933023791
"53","Hombre","Cauquenes","p72",2015,241006.10806158
"54","Hombre","Cautín","p91",2010,180265.256554202
"55","Hombre","Cautín","p91",2011,219296.794208893
"56","Hombre","Cautín","p91",2012,240000
"57","Hombre","Cautín","p91",2013,249055.92519331
"58","Hombre","Cautín","p91",2014,275384.173641169
"59","Hombre","Cautín","p91",2015,301222.383194496
"60","Hombre","Chacabuco","p133",2010,250000
"61","Hombre","Chacabuco","p133",2011,265771.582327137
"62","Hombre","Chacabuco","p133",2012,298172.277812893
"63","Hombre","Chacabuco","p133",2013,300406.687754181
"64","Hombre","Chacabuco","p133",2014,349934.370898181
"65","Hombre","Chacabuco","p133",2015,371525.312510927
"66","Hombre","Chañaral","p32",2010,324068.336392889
"67","Hombre","Chañaral","p32",2011,403081.205289085
"68","Hombre","Chañaral","p32",2012,455145.107296944
"69","Hombre","Chañaral","p32",2013,453866.670587092
"70","Hombre","Chañaral","p32",2014,454698.163885009
"71","Hombre","Chañaral","p32",2015,448597.286232732
"72","Hombre","Chiloé","p102",2010,178563.792456602
"73","Hombre","Chiloé","p102",2011,219296.794208893
"74","Hombre","Chiloé","p102",2012,250000
"75","Hombre","Chiloé","p102",2013,263402.981086856
"76","Hombre","Chiloé","p102",2014,269949.37183574
"77","Hombre","Chiloé","p102",2015,300081.183474654
"78","Hombre","Choapa","p42",2010,220215.306322176
"79","Hombre","Choapa","p42",2011,240894.189423643
"80","Hombre","Choapa","p42",2012,281573.903427939
"81","Hombre","Choapa","p42",2013,300160.939216841
"82","Hombre","Choapa","p42",2014,304091.168469925
"83","Hombre","Choapa","p42",2015,369025.742540561
"84","Hombre","Colchagua","p63",2010,199883.226283276
"85","Hombre","Colchagua","p63",2011,229359.552155752
"86","Hombre","Colchagua","p63",2012,241082.474226804
"87","Hombre","Colchagua","p63",2013,261762.723318726
"88","Hombre","Colchagua","p63",2014,279974.05445712
"89","Hombre","Colchagua","p63",2015,288103.945985417
"90","Hombre","Concepción","p81",2010,250000
"91","Hombre","Concepción","p81",2011,267372.59503201
"92","Hombre","Concepción","p81",2012,281262.886597938
"93","Hombre","Concepción","p81",2013,306033.639869088
"94","Hombre","Concepción","p81",2014,322838.647256067
"95","Hombre","Concepción","p81",2015,364622.90385192
"96","Hombre","Copiapó","p31",2010,340332.746134272
"97","Hombre","Copiapó","p31",2011,356769.133279678
"98","Hombre","Copiapó","p31",2012,391973.583281867
"99","Hombre","Copiapó","p31",2013,480578.410516405
"100","Hombre","Copiapó","p31",2014,460000
"101","Hombre","Copiapó","p31",2015,528768.59626268
"102","Hombre","Cordillera","p152",2010,287627.141594927
"103","Hombre","Cordillera","p152",2011,300000
"104","Hombre","Cordillera","p152",2012,382136.01179506
