region_id,region_name,comuna_datachile_id,comuna_customs_id,comuna_tax_office_id,comuna_name
1,Tarapacá,226,1401,1204,Pozo Almonte
1,Tarapacá,217,1405,1203,Pica
1,Tarapacá,113,1101,1201,Iquique
1,Tarapacá,108,1404,1206,Huara
1,Tarapacá,58,1403,1210,Colchane
1,Tarapacá,26,1402,1208,Camiña
1,Tarapacá,5,1107,1211,Alto Hospicio
2,Antofagasta,321,2301,2101,Tocopilla
2,Antofagasta,313,2104,2202,Taltal
2,Antofagasta,309,2103,2206,Sierra Gorda
2,Antofagasta,297,2203,2303,San Pedro de Atacama
2,Antofagasta,189,2202,2302,Ollague
2,Antofagasta,170,2102,2203,Mejillones
2,Antofagasta,165,2302,2103,María Elena
2,Antofagasta,19,2201,2301,Calama
2,Antofagasta,9,2101,2201,Antofagasta
3,Atacama,330,3301,3301,Vallenar
3,Atacama,317,3103,3203,Tierra Amarilla
3,Atacama,109,3304,3303,Huasco
3,Atacama,93,3303,3302,Freirina
3,Atacama,81,3202,3102,Diego de Almagro
3,Atacama,68,3101,3201,Copiapó
3,Atacama,39,3201,3101,Chañaral
3,Atacama,21,3102,3202,Caldera
3,Atacama,4,3302,3304,Alto del Carmen
4,Coquimbo,334,4106,4105,Vicuña
4,Coquimbo,278,4204,4302,Salamanca
4,Coquimbo,271,4305,4206,Río Hurtado
4,Coquimbo,237,4304,4204,Punitaqui
4,Coquimbo,195,4105,4106,Paihuano
4,Coquimbo,192,4301,4201,Ovalle
4,Coquimbo,174,4303,4203,Monte Patria
4,Coquimbo,156,4203,4303,Los Vilos
4,Coquimbo,126,4101,4101,La Serena
4,Coquimbo,122,4104,4102,La Higuera
4,Coquimbo,111,4201,4301,Illapel
4,Coquimbo,69,4102,4103,Coquimbo
4,Coquimbo,62,4302,4205,Combarbalá
4,Coquimbo,27,4202,4304,Canela
4,Coquimbo,7,4103,4104,Andacollo
5,Valparaíso,344,5405,5204,Zapallar
5,Valparaíso,339,5109,5302,Viña del Mar
5,Valparaíso,337,5108,5303,Villa Alemana
5,Valparaíso,331,5101,5301,Valparaíso
5,Valparaíso,308,5606,5402,Santo Domingo
5,Valparaíso,306,5706,5605,Santa María
5,Valparaíso,285,5701,5601,San Felipe
5,Valparaíso,283,5304,5703,San Esteban
5,Valparaíso,279,5601,5401,San Antonio
5,Valparaíso,268,5303,5704,Rinconada
5,Valparaíso,257,5107,5306,Quintero
5,Valparaíso,253,5106,5304,Quilpué
5,Valparaíso,252,5501,5501,Quillota
5,Valparaíso,242,5705,5604,Putaendo
5,Valparaíso,229,5105,5307,Puchuncaví
5,Valparaíso,215,5404,5202,Petorca
5,Valparaíso,202,5403,5205,Papudo
5,Valparaíso,201,5704,5602,Panquehue
5,Valparaíso,190,5507,5507,Olmué
5,Valparaíso,183,5506,5502,Nogales
5,Valparaíso,151,5301,5701,Los Andes
5,Valparaíso,142,5703,5606,Llay Llay
5,Valparaíso,138,5505,5506,Limache
5,Valparaíso,123,5401,5201,La Ligua
5,Valparaíso,118,5504,5505,La Cruz
5,Valparaíso,116,5104,5308,Juan Fernández
5,Valparaíso,115,5201,5101,Isla de Pascua
5,Valparaíso,103,5503,5503,Hijuelas
5,Valparaíso,87,5605,5404,El Tabo
5,Valparaíso,86,5604,5405,El Quisco
5,Valparaíso,63,5103,5309,Con Cón
5,Valparaíso,33,5702,5603,Catemu
5,Valparaíso,31,5102,5305,Casablanca
5,Valparaíso,30,5603,5403,Cartagena
5,Valparaíso,24,5302,5702,Calle Larga
5,Valparaíso,22,5502,5504,Calera
5,Valparaíso,16,5402,5203,Cabildo
5,Valparaíso,1,5602,5406,Algarrobo
6,O'Higgins,304,6310,6205,Santa Cruz
6,O'Higgins,302,6117,6110,San Vicente
6,O'Higgins,286,6301,6201,San Fernando
6,O'Higgins,266,6116,6113,Requínoa
6,O'Higgins,265,6115,6112,Rengo
6,O'Higgins,259,6101,6101,Rancagua
6,O'Higgins,255,6114,6117,Quinta de Tilcoco
6,O'Higgins,236,6309,6214,Pumanque
6,O'Higgins,223,6308,6204,Placilla
6,O'Higgins,219,6201,6301,Pichilemu
6,O'Higgins,218,6113,6111,Pichidegua
6,O'Higgins,216,6112,6108,Peumo
6,O'Higgins,213,6307,6208,Peralillo
6,O'Higgins,203,6206,6306,Paredones
6,O'Higgins,199,6306,6207,Palmilla
6,O'Higgins,188,6111,6114,Olivar
6,O'Higgins,180,6205,6302,Navidad
6,O'Higgins,178,6305,6203,Nancagua
6,O'Higgins,175,6110,6104,San Francisco de Mostazal
6,O'Higgins,164,6204,6305,Marchigüe
6,O'Higgins,163,6109,6115,Malloa
6,O'Higgins,159,6108,6102,Machalí
6,O'Higgins,146,6304,6206,Lolol
6,O'Higgins,140,6203,6303,Litueche
6,O'Higgins,133,6107,6109,Las Cabras
6,O'Higgins,119,6202,6304,La Estrella
6,O'Higgins,101,6106,6103,Graneros
6,O'Higgins,82,6105,6105,Doñihue
6,O'Higgins,61,6104,6106,Coltauco
6,O'Higgins,56,6103,6116,Coinco
6,O'Higgins,52,6102,6107,Codegua
6,O'Higgins,45,6303,6202,Chimbarongo
6,O'Higgins,40,6302,6209,Chépica
7,Maule,341,7408,7302,Yerbas Buenas
7,Maule,336,7407,7309,Villa Alegre
7,Maule,332,7309,7106,Vichuquén
7,Maule,315,7308,7102,Teno
7,Maule,311,7101,7201,Talca
7,Maule,299,7110,7210,San Rafael
7,Maule,289,7406,7310,San Javier
7,Maule,282,7109,7202,San Clemente
7,Maule,277,7307,7109,Sagrada Familia
7,Maule,275,7306,7103,Romeral
7,Maule,270,7108,7204,Río Claro
7,Maule,267,7405,7306,Retiro
7,Maule,261,7305,7104,Rauco
7,Maule,209,7107,7205,Pencahue
7,Maule,207,7203,7402,Pelluhue
7,Maule,206,7106,7203,Pelarco
7,Maule,204,7404,7305,Parral
7,Maule,173,7304,7108,Molina
7,Maule,168,7105,7206,Maule
7,Maule,148,7403,7304,Longaví
7,Maule,139,7401,7301,Linares
7,Maule,137,7303,7105,Licantén
7,Maule,105,7302,7107,Hualañé
7,Maule,88,7104,7209,Empedrado
7,Maule,79,7301,7101,Curicó
7,Maule,78,7103,7207,Curepto
7,Maule,66,7102,7208,Constitución
7,Maule,57,7402,7303,Colbún
7,Maule,38,7202,7403,Chanco
7,Maule,34,7201,7401,Cauquenes
8,Bío Bío,343,8421,8116,Yungay
8,Bío Bío,342,8313,8409,Yumbel
8,Bío Bío,328,8312,8412,Tucapel
8,Bío Bío,327,8420,8108,Trehuaco
8,Bío Bío,323,8111,8205,Tomé
8,Bío Bío,320,8207,8307,Tirúa
8,Bío Bío,312,8110,8206,Talcahuano
8,Bío Bío,305,8109,8209,Santa Juana
8,Bío Bío,303,8311,8402,Santa Bárbara
8,Bío Bío,301,8310,8411,San Rosendo
8,Bío Bío,298,8108,8210,San Pedro de la Paz
8,Bío Bío,294,8419,8112,San Nicolás
8,Bío Bío,288,8418,8114,San Ignacio
8,Bío Bío,284,8417,8111,San Fabián
8,Bío Bío,281,8416,8109,San Carlos
8,Bío Bío,260,8415,8119,Ránquil
8,Bío Bío,258,8414,8104,Quirihue
8,Bío Bío,251,8413,8115,Quillón
8,Bío Bío,250,8309,8404,Quilleco
8,Bío Bío,248,8308,8408,Quilaco
8,Bío Bío,224,8412,8106,Portezuelo
8,Bío Bío,220,8411,8102,Pinto
8,Bío Bío,210,8107,8202,Penco
8,Bío Bío,208,8410,8117,Pemuco
