candidato,candidato2,candidato_id
Juan Antonio Coloma Correa,Coloma Correa Juan Antonio,488
Francisco Chahuan Chahuan,Chahuan Chahuan Francisco,529
Fulvio Rossi Ciocca,Rossi Ciocca Fulvio,483
Eduardo Cruces Burgos,Cruces Burgos Eduardo,513
Ricardo Lagos Weber,Lagos Weber Ricardo,530
Isabel Allende Bussi,Allende Bussi Isabel,516
Ignacio Walker Prieto,Walker Prieto Ignacio,523
Ximena Rincon Gonzalez,Rincon Gonzalez Ximena,492
Andres Zaldivar Larrain,Zaldivar Larrain Andres,487
Jaime Quintana Leal,Quintana Leal Jaime,498
Francisco Huenchumilla Jaramillo,Huenchumilla Jaramillo Francisco,507
Jose Garcia Ruminot,Garcia Ruminot Jose,505
Jose Villagran Sandoval,Villagran Sandoval Jose,509
Lily Perez San Martin,Perez San Martin Lily,522
Espinoza Cavieres Daniel,Daniel Espinoza Cavieres,2652
Rossi Ciocca Fulvio,Fulvio Rossi Ciocca,483
Orpis Bouchon Jaime,Jaime Orpiz Bouchon,2653
Lagos Cosgrove Julio,Julio Lagos Cosgrove,2654
Urrutia Cardenas Salvador,Salvador Urrutia Cardenas,2655
Leal Labrin Antonio,Antonio Leal Labrin,2656
Prokurica Prokurica Baldo,Baldo Prokurica Prokurica,2657
Letelier Aguilar Cristian,Cristian Letelier Aguilar,2658
Allende Bussi Isabel,Isabel Allende Bussi,516
Mulet Martinez Jaime,Jaime Mulet Martinez,448
Peña Moraleda Robinson,Robinson Peña Moraleda,521
Ominami Pascual Carlos,Carlos Ominami Pascual,2660
Garcia-Huidobro Lira Cristian,Cristian Garcia-Huidobro Lira,2661
Walker Prieto Ignacio,Ignacio Walker Prieto,523
Velasquez Carrasco Lautaro,Lautaro Velazquez Carrasco,2662
Perez San Martin Lily,Lily Perez San Martin,522
Forni Lobos Marcelo,Marcelo Forni Lobos,2663
Avila Contreras Nelson,Nelson Avila Contreras,2664
Chahuan Chahuan Francisco,Francisco Chahuan Chahuan,529
Pinto Miranda Hernan,Hernan Pinto Miranda,2665
Lavin Infante Joaquin,Joaquin Lavin Infante,1068
Guzman Tapia Juan,Juan Guzman Tapia,2666
Silva Vergara Raul,Raul Silva Vergara,2667
Lagos Weber Ricardo,Ricardo Lagos Weber,530
Zaldivar Larrain Andres,Andres Zaldivar Larrain,487
Gazmuri Mujica Jaime,Jaime Gazmuri Mujica,2668
Coloma Correa Juan Antonio,Juan Antonio Coloma Correa,488
Bravo Valenzuela Mercedes,Mercedes Bravo Valenzuela,2669
Morrison Munro Robert,Robert Morrison Munro,2670
Larrain Fernandez Hernan,Hernan Larrain Fernandez,2671
Naranjo Ortiz Jaime,Jaime Naranjo Ortiz,283
Ariztia Correa Juan,Juan Ariztia Correa,2672
Cabrera Olmos Marilen,Marilen Cabrera Olmos,2673
Rincon Gonzalez Ximena,Ximena Rincon Gonzalez,492
Espina Otero Alberto,Alberto Espina Otero,2674
Villouta Carpinello Cecilia,Cecilia Villouta Carpinello,2675
Sanhueza Burgoa Enrique,Enrique Sanhueza Burgoa,2676
Quintana Leal Jaime,Jaime Leal Quintana,2677
Prieto Urzua Juan Enrique,Juan Enrique Prieto Urzua,2678
Muñoz Barra Roberto,Roberto Muñoz Barra,2679
Jocelyn-Holt Letelier Tomas,Tomas Jocelyn-Holt Letelier,11
Diaz Del Rio Eduardo,Eduardo Diaz del Rio,2680
Von Baer Jahn Ena,Ena Von Baer Jahn,551
Tuma Zedan Eugenio,Eugenio Tuma Zedan,2681
Huenchumilla Jaramillo Francisco,Francisco Huenchumilla Jaramillo,507
Garcia Ruminot Jose,Jose Garcia Ruminot,505
Villagran Sandoval Jose,Jose Villagran Sandoval,509
Vivanco Manriquez Luis Fernando,Luis Fernando Vivanco Manriquez,380
Horvath Kiss Antonio,Antonio Horvath Kiss,2682
Cruces Burgos Eduardo,Eduardo Cruces Burgos,513
Velasco Rodriguez Ernesto,Ernesto Velasco Rodriguez,464
Walker Prieto Patricio,Patricio Walker Prieto,2683
Foitzich Sandoval Paz,Paz Foitzich Sandoval,2684
