preference_id,preference_es,preference_en
1,orden postulaci\u00f3n regular,regular application order
2,orden postulaci\u00f3n regular,regular application order
3,orden postulaci\u00f3n regular,regular application order
4,orden postulaci\u00f3n regular,regular application order
5,orden postulaci\u00f3n regular,regular application order
6,orden postulaci\u00f3n regular,regular application order
7,orden postulaci\u00f3n regular,regular application order
8,orden postulaci\u00f3n regular,regular application order
9,orden postulaci\u00f3n regular,regular application order
10,orden postulaci\u00f3n regular,regular application order
11,repostulaci\u00f3n,re-application
