branch_id,branch_official_code,branch_es,branch_en
0,,NaN,NaN
1,H1,humanista científico diurno,sciences and humanities (day)
2,H2,humanista científico nocturno,sciences and humanities (night)
3,H3,humanista científico (validación de estudios),sciences and humanities (validated studies)
4,H4,humanista científico (reconocimiento de estudios),sciences and humanities (recognized studies)
5,T1,técnico profesional comercial,technical (commerce and trade)
6,T2,técnico profesional industrial,technical (industrial)
7,T3,técnico profesional servicios y técnica,technical (services and technology)
8,T4,técnico profesional agrícola,technical (agricultural)
9,T5,técnico profesional marítima,technical (maritime)
