school_id,school_original_es,school_es
1,LICEO POLITECNICO ARICA,Liceo Polit\u00e9cnico Arica
4,LICEO OCTAVIO PALMA PEREZ,Liceo Octavio Palma P\u00e9rez
5,JOVINA NARANJO FERNANDEZ,Jovina Naranjo Fern\u00e1ndez
7,L. POLI. ANTONIO VARAS DE LA BARRA,Liceo Polit\u00e9cnico Antonio Varas de la Barra
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Colegio Integrado Eduardo Frei Montalva
10,ESCUELA REPUBLICA DE FRANCIA,Escuela Rep\u00fablica de Francia
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,Liceo Art\u00edstico Dr. Juan No\u00e9 Crevani
28,ESCUELA RICARDO SILVA ARRIAGADA,Escuela Ricardo Silva Arriagada
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Liceo Agr\u00edcola Jos\u00e9 Abelardo N\u00fa\u00f1ez M.
72,LICEO VALLE DE CODPA,Liceo Valle de Codpa
78,LICEO GRANADEROS,Liceo Granaderos
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,Instituto Comercial de Iquique Baldomero Wolnitzky
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,Escuela Educaci\u00f3n General B\u00e1sica y Desarrollo Art\u00edstico Violeta Parra
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,Liceo Libertador General Bernardo O'Higgins
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,Liceo Polit\u00e9cnico Jos\u00e9 Guti\u00e9rrez de la Fuente
109,LICEO ELENA DUVAUCHELLE CABEZON,Liceo Elena Duvauchelle Cabez\u00f3n
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,Liceo Bicentenario Domingo Santa Mar\u00eda de Iquique
120,LICEO COM.Y TEC.ARTURO PRAT CHACON,Liceo Comercial y T\u00e9cnico Arturo Prat Chac\u00f3n
124,LICEO LUIS CRUZ MARTINEZ,Liceo Luis Cruz Mart\u00ednez
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Escuela Profesor Manuel Castro Ramos
161,LICEO DE HUARA,Liceo de Huara
178,LICEO TECNICO PROFESIONAL COLCHANE,Liceo T\u00e9cnico Profesional Colchane
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,Liceo Alcalde Sergio Gonz\u00e1lez Guti\u00e9rrez
199,LICEO DOMINGO LATRILLE LASTAUNOU,Liceo Domingo Latrille Lastaunou
200,LICEO POLITECNICO DIEGO PORTALES P.,Liceo Polit\u00e9cnico Diego Portales P.
211,LICEO H.C. T.P. MARIA ELENA,Liceo Humanista-Cient\u00edfico T\u00e9cnico-Profesional Mar\u00eda Elena
