candidato_id,candidato
1,Michelle Bachelet Jeria
2,Evelyn Matthei Fornet
3,Marco Enriquez-Ominami Gumucio
4,Franco Aldo Parisi Fernandez
5,Marcel Claude Reyes
6,Alfredo Sfeir Younis
7,Roxana Miranda Meneses
8,Votos Nulos
9,Votos En Blanco
10,Ricardo Israel Zipper
11,Tomas Jocelyn-Holt Letelier
12,Luis Rocafull Lopez
13,Vlado Mirosevic Verdugo
14,Eduardo Pinones Pinones
15,Nino Baltolu Rasera
16,Ximena Valcarce Becerra
17,Orlando Severo Vargas Pizarro
18,Enrique Lee Flores
19,Anibal Eduardo Diaz Gonzalez
20,Andrea Molina Oliva
21,Christian Urizar Munoz
22,Eduardo Cerda Garcia
23,Hotuiti Teao Drago
24,Luis Soto Perez
25,Luis Alberto Ristempart Soto
26,Leticia Olavarria Carcamo
27,Marco Antonio Nunez Lozano
28,Gaspar Rivas Sanchez
29,Felipe Cuevas Mancilla
30,Miguel Moreno Garcia
31,Hector Christian Perez Meneses
32,Rodrigo Alex Gorigoitia Munoz
33,Gustavo Ristempart Soto
34,Marcelo Schilling Rodriguez
35,Arturo Squella Ovalle
36,Arturo Longton Guerrero
37,Daniel Verdessi Belemmi
38,Ashly Tamara Venegas Clobares
39,Martin Ristempart Soto
40,Aldo Cornejo Gonzalez
41,Joaquin Godoy Ibanez
42,Jaime Barrientos Ramirez
43,Jorge Coulon Larranaga
44,Daniela Lopez Leiva
45,Sebastian Farfan Salinas
46,Jose Andres Gonzalez Neira
47,Jose Andres Otarola Caceres
48,Osvaldo Urrutia Soto
49,Rodrigo Gonzalez Torres
50,Ricardo Bravo Oliva
51,Carlos Gomez Gonzalez
52,Patricio Munoz Castillo
53,Eric Marcial Nahuelpi Villar
54,Jaime Heriberto Sanchez Villegas
55,Victor Alonso Ugarte Duque
56,Victor Torres Jeldes
57,Maria Jose Hoffmann Opazo
58,Fernando Rodriguez Vicuna
59,Omar Morales Marquez
60,Marcela Alejandra Espinoza Vidal
61,Milko Caracciolo Soto
62,Fabiola Reyes Caceres
63,Gabriel Silber Romo
64,Patricio Melero Abaroa
65,Lorena Rojas Mendoza
66,Gonzalo Rene Rovira Soto
67,Ricardo Ivan Maldonado Olivares
68,Juan Enrique Valenzuela Vargas
69,Daniela Reyes Villegas
70,Nelida Torres Salazar
71,Raul Olivares Sepulveda
72,Daniel Alejandro Farcas Guendelman
73,Karla Rubilar Barahona
74,Ruben Carvacho Saez
75,Jose Burmeister Lobato
76,Caroll Andrea Cuellar Godoy
77,Rolando Paul Jimenez Perez
78,Pablo Jofre Rivano
79,Jorge Eduardo Rosales Vargas
80,Andres Eugenio Sepulveda Rojas
81,Marcelo Castillo Duvauchelle
82,Luis Alberto Urzua Arredondo
83,Cristina Girardi Lavin
84,Nicolas Monckeberg Diaz
85,Daniel Escobar Escobar
86,Raul Andres Palacios Auspont
87,Oriele Maria Eugenia Nunez Serrano
88,Ivan Gerardo San Martin Flores
89,Alejandro Torres de la Barra
90,Juan Lopez Baldoma
91,Carlos Edinson Lisperguer Sanchez
92,Karol Cariola Oliva
93,Claudia Nogueira Fernandez
94,Eduardo Cuevas Rosselot
95,Oscar Santelices Altamirano
96,Galvarino Andres Sazo Bolbaran
97,Juan Francisco Valdes Valencia
98,Roberto Cofre Pinto
99,Claudio Mendez Rojas
100,Eduard Patricio Puran Puran
101,Hugo Gutierrez Galvez
102,Renzo Trisotti Martinez
103,Nestor Jofre Nunez
104,Juan Carlos Liendo Salas
105,Marta Isasi Barbieri
106,Cristian Andres Jamett Pizarro
107,Hector Carlos Ticuna Vilca
108,Cristian Fuentes Manriquez
109,Luis Alberto Corrales Villalobos
110,Pepe Auth Stewart
111,Joaquin Lavin Leon
112,Alejandro Almendares Calderon
113,Lorena Pizarro Sierra
114,Camilo Lagos Miranda
115,Maria Teresa Alvarez Aguilar
116,Claudia Mix Jimenez
117,Julio Munoz San Martin
118,Jose Fuentes Soto
119,Natalia Burgos Leon
120,Esteban Infante Alcaino
121,Marcela Sabat Fernandez
122,Maya Fernandez Allende
123,Sebastian Pavlovic Jeldres
124,Jose Labbe Martinez
125,Francisco Figueroa Cerda
126,Cristian Orlando Villarroel Novoa
127,Rodrigo Roman Andone
128,Giorgio Jackson Drago
129,Felipe Kast Sommerhoff
130,Monica Zalaquett Said
131,Mario Tomas Schilling Fuenzalida
132,Rony Esteban Nunez Mesquida
133,Cristian Orellana Alvarez
134,Octavio Gonzalez Ojeda
135,Eduardo Francisco Contreras Marin
136,Cristian Monckeberg Bruner
137,Ernesto Silva Mendez
138,Sebastian Iglesias Sichel Ramirez
139,Enrique Luis Accorsi Opazo
140,Patricia Morales Errazuriz
141,Beatriz Violeta Stager Ruiz
142,Catalina Valenzuela Maureira
143,Atilio Herrera Ortiz
144,Cristian Hormazabal Cepeda
145,Lucas Blaset Perez
146,Jaime Pilowsky Greene
147,Jose Antonio Kast Rist
148,Catalina del Real Mihovilovic
149,Victor Jeame Barrueto
150,Raul Florcita Alarcon Rojas
151,Eduardo Giesen Amtmann
152,Claudio Marcelo Venegas Rojas
153,Gonzalo Gachot Hernandez
154,Virjinia Toro Cepeda
155,Antonio Alfredo Reyes Guasta
156,Ramon Farias Ponce
157,Claudio Arriagada Macaya
158,Felipe Salaberry Soto
159,Gonzalo Diaz del Rio Riesco
160,Gonzalo Eugenio Montoya Riquelme
