candidato_id,candidato
1,MICHELLE BACHELET JERIA
2,EVELYN MATTHEI FORNET
3,MARCO ENRIQUEZ-OMINAMI GUMUCIO
4,FRANCO ALDO PARISI FERNANDEZ
5,MARCEL CLAUDE REYES
6,ALFREDO SFEIR YOUNIS
7,ROXANA MIRANDA MENESES
8,VOTOS NULOS
9,VOTOS EN BLANCO
10,RICARDO ISRAEL ZIPPER
11,TOMAS JOCELYN-HOLT LETELIER
12,LUIS ROCAFULL LOPEZ
13,VLADO MIROSEVIC VERDUGO
14,EDUARDO PINONES PINONES
15,NINO BALTOLU RASERA
16,XIMENA VALCARCE BECERRA
17,ORLANDO SEVERO VARGAS PIZARRO
18,ENRIQUE LEE FLORES
19,ANIBAL EDUARDO DIAZ GONZALEZ
20,ANDREA MOLINA OLIVA
21,CHRISTIAN URIZAR MUNOZ
22,EDUARDO CERDA GARCIA
23,HOTUITI TEAO DRAGO
24,LUIS SOTO PEREZ
25,LUIS ALBERTO RISTEMPART SOTO
26,LETICIA OLAVARRIA CARCAMO
27,MARCO ANTONIO NUNEZ LOZANO
28,GASPAR RIVAS SANCHEZ
29,FELIPE CUEVAS MANCILLA
30,MIGUEL MORENO GARCIA
31,HECTOR CHRISTIAN PEREZ MENESES
32,RODRIGO ALEX GORIGOITIA MUNOZ
33,GUSTAVO RISTEMPART SOTO
34,MARCELO SCHILLING RODRIGUEZ
35,ARTURO SQUELLA OVALLE
36,ARTURO LONGTON GUERRERO
37,DANIEL VERDESSI BELEMMI
38,ASHLY TAMARA VENEGAS CLOBARES
39,MARTIN RISTEMPART SOTO
40,ALDO CORNEJO GONZALEZ
41,JOAQUIN GODOY IBANEZ
42,JAIME BARRIENTOS RAMIREZ
43,JORGE COULON LARRANAGA
44,DANIELA LOPEZ LEIVA
45,SEBASTIAN FARFAN SALINAS
46,JOSE ANDRES GONZALEZ NEIRA
47,JOSE ANDRES OTAROLA CACERES
48,OSVALDO URRUTIA SOTO
49,RODRIGO GONZALEZ TORRES
50,RICARDO BRAVO OLIVA
51,CARLOS GOMEZ GONZALEZ
52,PATRICIO MUNOZ CASTILLO
53,ERIC MARCIAL NAHUELPI VILLAR
54,JAIME HERIBERTO SANCHEZ VILLEGAS
55,VICTOR ALONSO UGARTE DUQUE
56,VICTOR TORRES JELDES
57,MARIA JOSE HOFFMANN OPAZO
58,FERNANDO RODRIGUEZ VICUNA
59,OMAR MORALES MARQUEZ
60,MARCELA ALEJANDRA ESPINOZA VIDAL
61,MILKO CARACCIOLO SOTO
62,FABIOLA REYES CACERES
63,GABRIEL SILBER ROMO
64,PATRICIO MELERO ABAROA
65,LORENA ROJAS MENDOZA
66,GONZALO RENE ROVIRA SOTO
67,RICARDO IVAN MALDONADO OLIVARES
68,JUAN ENRIQUE VALENZUELA VARGAS
69,DANIELA REYES VILLEGAS
70,NELIDA TORRES SALAZAR
71,RAUL OLIVARES SEPULVEDA
72,DANIEL ALEJANDRO FARCAS GUENDELMAN
73,KARLA RUBILAR BARAHONA
74,RUBEN CARVACHO SAEZ
75,JOSE BURMEISTER LOBATO
76,CAROLL ANDREA CUELLAR GODOY
77,ROLANDO PAUL JIMENEZ PEREZ
78,PABLO JOFRE RIVANO
79,JORGE EDUARDO ROSALES VARGAS
80,ANDRES EUGENIO SEPULVEDA ROJAS
81,MARCELO CASTILLO DUVAUCHELLE
82,LUIS ALBERTO URZUA ARREDONDO
83,CRISTINA GIRARDI LAVIN
84,NICOLAS MONCKEBERG DIAZ
85,DANIEL ESCOBAR ESCOBAR
86,RAUL ANDRES PALACIOS AUSPONT
87,ORIELE MARIA EUGENIA NUNEZ SERRANO
88,IVAN GERARDO SAN MARTIN FLORES
89,ALEJANDRO TORRES DE LA BARRA
90,JUAN LOPEZ BALDOMA
91,CARLOS EDINSON LISPERGUER SANCHEZ
92,KAROL CARIOLA OLIVA
93,CLAUDIA NOGUEIRA FERNANDEZ
94,EDUARDO CUEVAS ROSSELOT
95,OSCAR SANTELICES ALTAMIRANO
96,GALVARINO ANDRES SAZO BOLBARAN
97,JUAN FRANCISCO VALDES VALENCIA
98,ROBERTO COFRE PINTO
99,CLAUDIO MENDEZ ROJAS
100,EDUARD PATRICIO PURAN PURAN
101,HUGO GUTIERREZ GALVEZ
102,RENZO TRISOTTI MARTINEZ
103,NESTOR JOFRE NUNEZ
104,JUAN CARLOS LIENDO SALAS
105,MARTA ISASI BARBIERI
106,CRISTIAN ANDRES JAMETT PIZARRO
107,HECTOR CARLOS TICUNA VILCA
108,CRISTIAN FUENTES MANRIQUEZ
109,LUIS ALBERTO CORRALES VILLALOBOS
110,PEPE AUTH STEWART
111,JOAQUIN LAVIN LEON
112,ALEJANDRO ALMENDARES CALDERON
113,LORENA PIZARRO SIERRA
114,CAMILO LAGOS MIRANDA
115,MARIA TERESA ALVAREZ AGUILAR
116,CLAUDIA MIX JIMENEZ
117,JULIO MUNOZ SAN MARTIN
118,JOSE FUENTES SOTO
119,NATALIA BURGOS LEON
120,ESTEBAN INFANTE ALCAINO
121,MARCELA SABAT FERNANDEZ
122,MAYA FERNANDEZ ALLENDE
123,SEBASTIAN PAVLOVIC JELDRES
124,JOSE LABBE MARTINEZ
125,FRANCISCO FIGUEROA CERDA
126,CRISTIAN ORLANDO VILLARROEL NOVOA
127,RODRIGO ROMAN ANDONE
128,GIORGIO JACKSON DRAGO
