candidato_id,candidato,candidato_2
100.0,Eduard Patricio Puran Puran,EDUARD PATRICIO PURAN PURAN
99.0,Claudio Mendez Rojas,CLAUDIO  MENDEZ ROJAS
98.0,Roberto Cofre Pinto,ROBERTO  COFRE PINTO
97.0,Juan Francisco Valdes Valencia,JUAN FRANCISCO VALDES VALENCIA
96.0,Galvarino Andres Sazo Bolbaran,GALVARINO ANDRES SAZO BOLBARAN
95.0,Oscar Santelices Altamirano,OSCAR SANTELICES ALTAMIRANO
94.0,Eduardo Cuevas Rosselot,EDUARDO  CUEVAS ROSSELOT
93.0,Claudia Nogueira Fernandez,CLAUDIA  NOGUEIRA FERNANDEZ
92.0,Karol Cariola Oliva,KAROL CARIOLA OLIVA
91.0,Carlos Edinson Lisperguer Sanchez,CARLOS EDINSON LISPERGUER SANCHEZ
90.0,Juan Lopez Baldoma,JUAN  LOPEZ BALDOMA
89.0,Alejandro Torres de la Barra,ALEJANDRO  TORRES DE LA BARRA
88.0,Ivan Gerardo San Martin Flores,IVAN GERARDO SAN MARTIN FLORES
86.0,Raul Andres Palacios Auspont,RAUL ANDRES PALACIOS AUSPONT
85.0,Daniel Escobar Escobar,DANIEL  ESCOBAR ESCOBAR
84.0,Nicolas Monckeberg Diaz,NICOLAS MONCKEBERG DIAZ
83.0,Cristina Girardi Lavin,CRISTINA GIRARDI LAVIN
82.0,Luis Alberto Urzua Arredondo,LUIS ALBERTO URZUA ARREDONDO
81.0,Marcelo Castillo Duvauchelle,MARCELO  CASTILLO DUVAUCHELLE
9.0,Votos En Blanco,VOTOS EN BLANCO
80.0,Andres Eugenio Sepulveda Rojas,ANDRES EUGENIO SEPULVEDA ROJAS
79.0,Jorge Eduardo Rosales Vargas,JORGE EDUARDO ROSALES VARGAS
78.0,Pablo Jofre Rivano,PABLO JOFRE RIVANO
77.0,Rolando Paul Jimenez Perez,ROLANDO PAUL JIMENEZ PEREZ
76.0,Caroll Andrea Cuellar Godoy,CAROLL ANDREA CUELLAR GODOY
75.0,Jose Burmeister Lobato,JOSE  BURMEISTER LOBATO
74.0,Ruben Carvacho Saez,RUBEN CARVACHO SAEZ
73.0,Karla Rubilar Barahona,KARLA RUBILAR BARAHONA
72.0,Daniel Alejandro Farcas Guendelman,DANIEL ALEJANDRO FARCAS GUENDELMAN
71.0,Raul Olivares Sepulveda,RAUL OLIVARES SEPULVEDA
8.0,Votos Nulos,VOTOS NULOS
70.0,Nelida Torres Salazar,NELIDA  TORRES SALAZAR
69.0,Daniela Reyes Villegas,DANIELA  REYES VILLEGAS
68.0,Juan Enrique Valenzuela Vargas,JUAN ENRIQUE VALENZUELA VARGAS
67.0,Ricardo Ivan Maldonado Olivares,RICARDO IVAN MALDONADO OLIVARES
66.0,Gonzalo Rene Rovira Soto,GONZALO RENE ROVIRA SOTO
65.0,Lorena Rojas Mendoza,LORENA ROJAS MENDOZA
64.0,Patricio Melero Abaroa,PATRICIO MELERO ABAROA
63.0,Gabriel Silber Romo,GABRIEL SILBER ROMO
62.0,Fabiola Reyes Caceres,FABIOLA  REYES CACERES
61.0,Milko Caracciolo Soto,MILKO  CARACCIOLO SOTO
60.0,Marcela Alejandra Espinoza Vidal,MARCELA ALEJANDRA ESPINOZA VIDAL
59.0,Omar Morales Marquez,OMAR  MORALES MARQUEZ
57.0,Maria Jose Hoffmann Opazo,MARIA JOSE HOFFMANN OPAZO
56.0,Victor Torres Jeldes,VICTOR TORRES JELDES
55.0,Victor Alonso Ugarte Duque,VICTOR ALONSO UGARTE DUQUE
54.0,Jaime Heriberto Sanchez Villegas,JAIME HERIBERTO SANCHEZ VILLEGAS
53.0,Eric Marcial Nahuelpi Villar,ERIC MARCIAL NAHUELPI VILLAR
51.0,Carlos Gomez Gonzalez,CARLOS  GOMEZ GONZALEZ
50.0,Ricardo Bravo Oliva,RICARDO BRAVO OLIVA
481.0,Jose Antonio Salinas Pinto,JOSE ANTONIO SALINAS PINTO
49.0,Rodrigo Gonzalez Torres,RODRIGO GONZALEZ TORRES
480.0,Alberto Chavez Astudillo,ALBERTO CHAVEZ ASTUDILLO
479.0,Fernando Herman Herrera,FERNANDO  HERMAN HERRERA
478.0,Ivan Cisternas Tapia,IVAN  CISTERNAS TAPIA
477.0,Jorge Enrique Insunza Gregorio de Las Heras,JORGE ENRIQUE INSUNZA GREGORIO DE LAS HERAS
476.0,Luis Lemus Aracena,LUIS  LEMUS ARACENA
475.0,Daniella Cortes Bauer,DANIELLA  CORTES BAUER
474.0,Roberto Perez Cristia,ROBERTO  PEREZ CRISTIA
473.0,Elizabeth Pizarro Olivares,ELIZABETH  PIZARRO OLIVARES
472.0,Pedro Antonio Velasquez Seguel,PEDRO ANTONIO VELASQUEZ SEGUEL
471.0,Joyce Llewellyn Tame,JOYCE  LLEWELLYN TAME
48.0,Osvaldo Urrutia Soto,OSVALDO  URRUTIA SOTO
470.0,Susana Verdugo Baraona,SUSANA  VERDUGO BARAONA
468.0,Matias Walker Prieto,MATIAS WALKER PRIETO
467.0,Luz Eliana Rojas Zambra,LUZ ELIANA ROJAS ZAMBRA
466.0,Kenneth Arnaldo Romero Quiroz,KENNETH ARNALDO ROMERO QUIROZ
465.0,Julio Moises Zapata Rodriguez,JULIO MOISES ZAPATA RODRIGUEZ
464.0,Ernesto Velasco Rodriguez,ERNESTO  VELASCO RODRIGUEZ
462.0,Sergio Gahona Salazar,SERGIO  GAHONA SALAZAR
461.0,Raul Saldivar Auger,RAUL  SALDIVAR AUGER
47.0,Jose Andres Otarola Caceres,JOSE ANDRES OTAROLA CACERES
460.0,Jorge Patricio Ivelic Suarez,JORGE PATRICIO IVELIC SUAREZ
459.0,Margarita Novakovic Kalasich,MARGARITA  NOVAKOVIC KALASICH
458.0,Rodrigo Utz Contreras,RODRIGO  UTZ CONTRERAS
457.0,Karim Bianchi Retamales,KARIM  BIANCHI RETAMALES
