comuna_datachile_id,candidato_id,partido_id,votos_candidato,electo,year,election_id
1,8,0,91,0,2016,5
1,9,0,68,0,2016,5
1,602,8,1772,1,2016,5
1,603,8,1592,0,2016,5
1,604,8,1446,0,2016,5
1,605,8,744,0,2016,5
1,606,8,141,0,2016,5
2,8,0,12,0,2016,5
2,9,0,11,0,2016,5
2,607,8,2477,1,2016,5
2,608,4,602,0,2016,5
3,8,0,40,0,2016,5
3,9,0,40,0,2016,5
3,609,11,2036,1,2016,5
3,610,8,1032,0,2016,5
4,8,0,42,0,2016,5
4,9,0,35,0,2016,5
4,611,8,1564,1,2016,5
4,612,10,992,0,2016,5
5,8,0,310,0,2016,5
5,9,0,148,0,2016,5
5,613,9,6158,1,2016,5
5,614,6,4795,0,2016,5
5,615,8,1282,0,2016,5
5,616,8,688,0,2016,5
5,617,37,653,0,2016,5
5,618,8,128,0,2016,5
6,8,0,287,0,2016,5
6,9,0,238,0,2016,5
6,619,8,7242,1,2016,5
6,620,6,4554,0,2016,5
6,621,9,3873,0,2016,5
7,8,0,77,0,2016,5
7,9,0,83,0,2016,5
7,622,10,2807,1,2016,5
7,623,8,1799,0,2016,5
7,624,16,1080,0,2016,5
8,8,0,424,0,2016,5
8,9,0,286,0,2016,5
8,625,8,13318,1,2016,5
8,626,9,4359,0,2016,5
9,8,0,1248,0,2016,5
9,9,0,414,0,2016,5
9,627,8,18157,1,2016,5
9,628,6,14329,0,2016,5
9,629,8,11655,0,2016,5
9,630,8,7475,0,2016,5
9,631,10,5725,0,2016,5
9,632,8,5288,0,2016,5
9,633,8,1442,0,2016,5
9,634,8,468,0,2016,5
10,8,0,11,0,2016,5
10,9,0,14,0,2016,5
10,635,8,985,1,2016,5
10,636,8,783,0,2016,5
10,637,9,659,0,2016,5
10,638,8,63,0,2016,5
11,8,0,277,0,2016,5
11,9,0,253,0,2016,5
11,639,8,9219,1,2016,5
11,640,2,2674,0,2016,5
11,641,8,902,0,2016,5
12,8,0,1166,0,2016,5
12,9,0,655,0,2016,5
12,642,15,11558,1,2016,5
12,643,8,11424,0,2016,5
12,644,6,10056,0,2016,5
12,645,9,6601,0,2016,5
12,646,37,2995,0,2016,5
12,647,8,1248,0,2016,5
12,648,27,998,0,2016,5
12,649,8,799,0,2016,5
12,650,16,497,0,2016,5
12,651,12,484,0,2016,5
12,652,8,477,0,2016,5
13,8,0,127,0,2016,5
13,9,0,116,0,2016,5
13,653,6,4644,1,2016,5
13,654,8,2930,0,2016,5
14,8,0,303,0,2016,5
14,9,0,237,0,2016,5
14,655,6,14185,1,2016,5
14,656,11,8597,0,2016,5
14,657,13,3037,0,2016,5
14,658,8,943,0,2016,5
15,8,0,145,0,2016,5
15,9,0,117,0,2016,5
15,659,8,3459,1,2016,5
15,660,9,2589,0,2016,5
15,661,7,2246,0,2016,5
15,662,8,1555,0,2016,5
16,8,0,100,0,2016,5
16,9,0,93,0,2016,5
16,663,8,5611,1,2016,5
16,664,9,2941,0,2016,5
17,8,0,6,0,2016,5
17,9,0,4,0,2016,5
17,665,9,435,1,2016,5
17,666,8,420,0,2016,5
18,8,0,96,0,2016,5
18,9,0,94,0,2016,5
18,667,8,8679,1,2016,5
18,668,9,3863,0,2016,5
18,669,8,669,0,2016,5
18,670,7,602,0,2016,5
19,8,0,824,0,2016,5
19,9,0,324,0,2016,5
19,206,7,11696,1,2016,5
19,671,2,7764,0,2016,5
19,672,8,7293,0,2016,5
19,673,8,2719,0,2016,5
19,674,16,2088,0,2016,5
19,675,8,1518,0,2016,5
19,676,12,567,0,2016,5
20,8,0,334,0,2016,5
20,9,0,463,0,2016,5
20,677,2,3491,1,2016,5
20,678,8,2968,0,2016,5
20,679,16,2726,0,2016,5
20,680,7,1870,0,2016,5
20,681,17,351,0,2016,5
21,8,0,67,0,2016,5
21,9,0,38,0,2016,5
21,682,11,3906,1,2016,5
21,683,6,1908,0,2016,5
21,684,8,545,0,2016,5
21,685,16,129,0,2016,5
22,8,0,429,0,2016,5
22,9,0,234,0,2016,5
22,686,7,8666,1,2016,5
22,687,9,4889,0,2016,5
22,688,16,1655,0,2016,5
22,689,8,918,0,2016,5
22,690,8,494,0,2016,5
22,691,8,277,0,2016,5
23,8,0,194,0,2016,5
23,9,0,86,0,2016,5
23,692,8,5561,1,2016,5
23,693,7,4205,0,2016,5
24,8,0,142,0,2016,5
24,9,0,62,0,2016,5
24,694,10,3973,1,2016,5
24,695,8,584,0,2016,5
24,696,8,383,0,2016,5
25,8,0,48,0,2016,5
25,9,0,28,0,2016,5
25,16,8,242,0,2016,5
25,697,10,1111,1,2016,5
25,698,8,1046,0,2016,5
