comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
1,1,2577,1,10,2013,2
1,2,2701,0,6,2013,2
1,8,72,0,0,2013,2
1,9,22,0,0,2013,2
2,1,1545,1,10,2013,2
2,2,582,0,6,2013,2
2,8,18,0,0,2013,2
2,9,6,0,0,2013,2
3,1,1051,1,10,2013,2
3,2,649,0,6,2013,2
3,8,96,0,0,2013,2
3,9,17,0,0,2013,2
4,1,1319,1,10,2013,2
4,2,480,0,6,2013,2
4,8,26,0,0,2013,2
4,9,16,0,0,2013,2
5,1,7364,1,10,2013,2
5,2,3859,0,6,2013,2
5,8,154,0,0,2013,2
5,9,51,0,0,2013,2
6,1,8434,1,10,2013,2
6,2,5269,0,6,2013,2
6,8,180,0,0,2013,2
6,9,79,0,0,2013,2
7,1,3807,1,10,2013,2
7,2,1153,0,6,2013,2
7,8,50,0,0,2013,2
7,9,20,0,0,2013,2
8,1,11513,1,10,2013,2
8,2,7896,0,6,2013,2
8,8,192,0,0,2013,2
8,9,80,0,0,2013,2
9,1,45246,1,10,2013,2
9,2,28109,0,6,2013,2
9,8,1472,0,0,2013,2
9,9,405,0,0,2013,2
10,1,1425,1,10,2013,2
10,2,426,0,6,2013,2
10,8,22,0,0,2013,2
10,9,8,0,0,2013,2
11,1,9161,1,10,2013,2
11,2,4042,0,6,2013,2
11,8,193,0,0,2013,2
11,9,87,0,0,2013,2
12,1,31957,1,10,2013,2
12,2,20605,0,6,2013,2
12,8,833,0,0,2013,2
12,9,296,0,0,2013,2
13,1,5263,1,10,2013,2
13,2,2176,0,6,2013,2
13,8,70,0,0,2013,2
13,9,29,0,0,2013,2
14,1,15078,1,10,2013,2
14,2,10918,0,6,2013,2
14,8,370,0,0,2013,2
14,9,164,0,0,2013,2
15,1,6202,1,10,2013,2
15,2,3317,0,6,2013,2
15,8,107,0,0,2013,2
15,9,41,0,0,2013,2
16,1,6135,1,10,2013,2
16,2,1651,0,6,2013,2
16,8,120,0,0,2013,2
16,9,31,0,0,2013,2
17,1,180,1,10,2013,2
17,2,281,0,6,2013,2
17,8,3,0,0,2013,2
17,9,3,0,0,2013,2
18,1,7593,1,10,2013,2
18,2,3054,0,6,2013,2
18,8,144,0,0,2013,2
18,9,62,0,0,2013,2
19,1,23520,1,10,2013,2
19,2,14260,0,6,2013,2
19,8,649,0,0,2013,2
19,9,164,0,0,2013,2
20,1,6054,1,10,2013,2
20,2,4017,0,6,2013,2
20,8,129,0,0,2013,2
20,9,83,0,0,2013,2
21,1,3656,1,10,2013,2
21,2,1480,0,6,2013,2
21,8,63,0,0,2013,2
21,9,32,0,0,2013,2
22,1,12834,1,10,2013,2
22,2,5385,0,6,2013,2
22,8,284,0,0,2013,2
22,9,104,0,0,2013,2
23,1,4894,1,10,2013,2
23,2,4769,0,6,2013,2
23,8,169,0,0,2013,2
23,9,71,0,0,2013,2
24,1,3932,1,10,2013,2
24,2,1184,0,6,2013,2
24,8,45,0,0,2013,2
24,9,18,0,0,2013,2
25,1,346,1,10,2013,2
25,2,265,0,6,2013,2
25,8,9,0,0,2013,2
25,9,4,0,0,2013,2
26,1,257,1,10,2013,2
26,2,455,0,6,2013,2
26,8,7,0,0,2013,2
26,9,2,0,0,2013,2
27,1,3431,1,10,2013,2
27,2,722,0,6,2013,2
27,8,30,0,0,2013,2
27,9,25,0,0,2013,2
28,1,7384,1,10,2013,2
28,2,4182,0,6,2013,2
28,8,163,0,0,2013,2
28,9,67,0,0,2013,2
29,1,6537,1,10,2013,2
29,2,3785,0,6,2013,2
29,8,105,0,0,2013,2
29,9,44,0,0,2013,2
30,1,4535,1,10,2013,2
30,2,3077,0,6,2013,2
30,8,87,0,0,2013,2
30,9,33,0,0,2013,2
31,1,5886,1,10,2013,2
31,2,3264,0,6,2013,2
31,8,136,0,0,2013,2
31,9,51,0,0,2013,2
32,1,9189,1,10,2013,2
32,2,4176,0,6,2013,2
32,8,154,0,0,2013,2
32,9,75,0,0,2013,2
33,1,3939,1,10,2013,2
33,2,1296,0,6,2013,2
33,8,52,0,0,2013,2
33,9,25,0,0,2013,2
34,1,10044,1,10,2013,2
34,2,7341,0,6,2013,2
