year,election_id,comuna_datachile_id,total_electores,total_votacion
2017,1,113,160432,67847
2017,1,5,51451,18775
2017,1,191,140080,63937
2017,1,295,9721,4893
2017,1,244,11114,5549
2017,1,234,8772,3986
2017,1,241,19632,9010
2017,1,273,13154,6291
2017,1,292,7699,3739
2017,1,233,174918,74589
2017,1,235,37759,18254
2017,1,50,4438,1478
2017,1,20,30955,11892
2017,1,169,15154,5910
2017,1,154,15801,7053
2017,1,94,12019,5881
2017,1,141,15642,7591
2017,1,95,15232,7519
2017,1,32,39467,16062
2017,1,6,37998,15484
2017,1,247,8795,2928
2017,1,80,11537,4142
2017,1,75,3636,1371
2017,1,254,9128,2619
2017,1,239,4280,1474
2017,1,47,12354,5348
2017,1,245,5957,2256
2017,1,246,21481,8307
2017,1,37,5124,1437
2017,1,104,8119,3479
2017,1,96,3631,953
2017,1,198,2302,783
2017,1,54,52542,21086
2017,1,129,1196,453
2017,1,13,21890,8785
2017,1,48,4253,1764
2017,1,102,1590,576
2017,1,42,6209,2061
2017,1,272,2886,1464
2017,1,51,3267,1383
2017,1,187,699,237
2017,1,325,546,238
2017,1,179,21392,7589
2017,1,324,1747,558
2017,1,238,121321,48763
2017,1,274,825,236
2017,1,130,944,313
2017,1,287,1072,258
2017,1,225,6183,2043
2017,1,227,1416,289
2017,1,319,974,191
2017,1,17,2270,779
2017,1,59,79070,37562
2017,1,346,49911,23479
2017,1,318,13799,6634
2017,1,307,312750,129631
2017,1,112,78356,33950
2017,1,262,141758,62816
2017,1,90,126168,55102
2017,1,65,120866,55778
2017,1,110,68039,35655
2017,1,249,128414,60417
2017,1,264,115189,49057
2017,1,256,101796,46649
2017,1,231,163680,76011
2017,1,36,116335,50486
2017,1,145,90439,42983
2017,1,162,376042,191878
2017,1,35,67804,32042
2017,1,117,83686,41201
2017,1,144,93275,39605
2017,1,83,139338,62320
2017,1,121,105302,45784
2017,1,124,137423,50751
2017,1,300,82960,37453
2017,1,293,99938,49413
2017,1,205,95614,46720
2017,1,290,83527,40071
2017,1,120,301998,155389
2017,1,186,185175,113010
2017,1,160,99498,50908
2017,1,212,185846,91519
2017,1,125,89772,54660
2017,1,228,164311,89860
2017,1,134,251198,156128
2017,1,340,85041,58751
2017,1,143,74117,46626
2017,1,232,382776,163186
2017,1,221,20881,10651
2017,1,291,14860,7344
2017,1,280,221169,94266
2017,1,23,21303,11812
2017,1,14,67229,31854
2017,1,197,49054,23557
2017,1,172,92804,41721
2017,1,2,5776,2203
2017,1,74,24246,12439
2017,1,166,10440,4869
2017,1,296,7846,3288
2017,1,310,55214,29904
2017,1,211,68024,33949
2017,1,85,26123,13151
2017,1,114,25766,12833
2017,1,193,39404,20069
2017,1,329,132345,65280
2017,1,167,17904,7902
2017,1,132,15702,7263
2017,1,153,18267,8105
2017,1,71,5397,2573
2017,1,161,6854,3109
2017,1,200,33374,13241
2017,1,196,18706,8632
2017,1,97,13949,6067
2017,1,127,35313,16071
2017,1,269,30164,13231
2017,1,128,8982,4064
2017,1,12,172372,71134
2017,1,25,4023,1133
2017,1,243,6246,1953
2017,1,99,2421,598
2017,1,108,9046,1571
2017,1,26,2820,764
2017,1,58,3379,646
2017,1,217,5000,2405
2017,1,226,11215,4322
2017,1,321,21912,8281
2017,1,165,6607,1625
2017,1,19,125030,50620
2017,1,189,2027,265
2017,1,297,5903,2521
2017,1,9,264504,108609
2017,1,170,9058,3679
2017,1,309,3588,722
2017,1,313,10133,3978
2017,1,39,11818,5052
2017,1,81,13938,4793
2017,1,68,117897,51898
2017,1,21,13921,6153
2017,1,317,12577,5443
2017,1,330,44821,19343
2017,1,93,5682,2663
2017,1,109,8030,3601
2017,1,4,4786,1922
2017,1,126,160944,76372
2017,1,122,4162,1822
2017,1,69,156212,68719
2017,1,7,11040,5161
2017,1,334,22062,9965
2017,1,195,4769,2156
2017,1,192,88386,36481
