comuna_datachile_id,candidato_id,partido_id,electo,votos_candidato,year,election_id
1,8,0,0,204,2009,3
1,9,0,0,128,2009,3
1,2569,7,1,1580,2009,3
1,2570,9,0,157,2009,3
1,2571,6,0,2492,2009,3
1,2572,8,0,178,2009,3
1,2573,23,0,50,2009,3
1,2574,11,1,1945,2009,3
4,8,0,0,176,2009,3
4,9,0,0,174,2009,3
4,2556,11,0,290,2009,3
4,2557,7,1,1137,2009,3
4,2558,6,0,106,2009,3
4,2559,10,1,763,2009,3
4,2560,23,0,406,2009,3
4,2561,23,0,24,2009,3
5,8,0,0,913,2009,3
5,9,0,0,509,2009,3
5,483,10,1,6318,2009,3
5,485,8,0,2887,2009,3
5,2553,9,0,721,2009,3
5,2554,6,1,4328,2009,3
5,2555,7,0,1452,2009,3
8,8,0,0,969,2009,3
8,9,0,0,517,2009,3
8,2585,7,1,9033,2009,3
8,2586,8,0,1894,2009,3
8,2587,8,0,5132,2009,3
8,2588,11,1,4097,2009,3
8,2589,4,0,257,2009,3
8,2590,8,0,1198,2009,3
8,2591,9,0,1326,2009,3
12,8,0,0,4946,2009,3
12,9,0,0,1832,2009,3
12,483,10,1,14846,2009,3
12,485,8,0,26891,2009,3
12,2553,9,0,3987,2009,3
12,2554,6,1,22492,2009,3
12,2555,7,0,3034,2009,3
13,8,0,0,355,2009,3
13,9,0,0,230,2009,3
13,2599,7,1,3143,2009,3
13,2600,23,0,1925,2009,3
13,2601,2,0,772,2009,3
13,2602,9,1,3176,2009,3
13,2603,23,0,614,2009,3
16,8,0,0,527,2009,3
16,9,0,0,407,2009,3
16,2562,8,0,1534,2009,3
16,2563,8,0,76,2009,3
16,2564,9,1,3269,2009,3
16,2565,8,0,116,2009,3
16,2566,7,1,1623,2009,3
16,2567,6,0,1016,2009,3
16,2568,2,0,1538,2009,3
21,8,0,0,365,2009,3
21,9,0,0,167,2009,3
21,2556,11,0,1091,2009,3
21,2557,7,1,2144,2009,3
21,2558,6,0,123,2009,3
21,2559,10,1,1839,2009,3
21,2560,23,0,1109,2009,3
21,2561,23,0,81,2009,3
22,8,0,0,1609,2009,3
22,9,0,0,747,2009,3
22,2562,8,0,5435,2009,3
22,2563,8,0,154,2009,3
22,2564,9,1,4875,2009,3
22,2565,8,0,344,2009,3
22,2566,7,1,4678,2009,3
22,2567,6,0,2777,2009,3
22,2568,2,0,3780,2009,3
24,8,0,0,306,2009,3
24,9,0,0,153,2009,3
24,2562,8,0,767,2009,3
24,2563,8,0,23,2009,3
24,2564,9,1,916,2009,3
24,2565,8,0,41,2009,3
24,2566,7,1,803,2009,3
24,2567,6,0,1587,2009,3
24,2568,2,0,1495,2009,3
25,8,0,0,72,2009,3
25,9,0,0,37,2009,3
25,483,10,1,361,2009,3
25,485,8,0,493,2009,3
25,2553,9,0,109,2009,3
25,2554,6,1,414,2009,3
25,2555,7,0,79,2009,3
26,8,0,0,62,2009,3
26,9,0,0,57,2009,3
26,483,10,1,257,2009,3
26,485,8,0,138,2009,3
26,2553,9,0,48,2009,3
26,2554,6,1,410,2009,3
26,2555,7,0,247,2009,3
29,8,0,0,449,2009,3
29,9,0,0,294,2009,3
29,2592,23,0,412,2009,3
29,2593,8,0,1816,2009,3
29,2594,11,1,6204,2009,3
29,2595,9,0,1419,2009,3
29,2596,7,1,2072,2009,3
29,2597,8,0,46,2009,3
29,2598,4,0,102,2009,3
30,8,0,0,440,2009,3
30,9,0,0,205,2009,3
30,2569,7,1,1868,2009,3
30,2570,9,0,466,2009,3
30,2571,6,0,3710,2009,3
30,2572,8,0,228,2009,3
30,2573,23,0,94,2009,3
30,2574,11,1,3560,2009,3
31,8,0,0,556,2009,3
31,9,0,0,363,2009,3
31,2569,7,1,3210,2009,3
31,2570,9,0,416,2009,3
31,2571,6,0,2729,2009,3
31,2572,8,0,218,2009,3
31,2573,23,0,67,2009,3
31,2574,11,1,4019,2009,3
33,8,0,0,330,2009,3
33,9,0,0,241,2009,3
33,2562,8,0,1052,2009,3
33,2563,8,0,56,2009,3
33,2564,9,1,1112,2009,3
33,2565,8,0,60,2009,3
33,2566,7,1,1253,2009,3
33,2567,6,0,1446,2009,3
33,2568,2,0,1439,2009,3
34,8,0,0,955,2009,3
34,9,0,0,554,2009,3
34,2580,6,1,9887,2009,3
34,2581,10,0,3730,2009,3
34,2582,8,0,1158,2009,3
34,2583,4,0,239,2009,3
34,2584,9,1,5939,2009,3
38,8,0,0,258,2009,3
38,9,0,0,221,2009,3
38,2580,6,1,2556,2009,3
