year,comuna_datachile_id,felony_id,cases
2005,1,1,18
2005,1,2,1
2005,1,3,334
2005,1,4,4
2005,1,5,30
2005,1,6,252
2005,1,7,40
2005,1,8,8
2005,1,9,116
2005,1,10,124
2005,1,11,16
2005,1,12,108
2005,1,13,0
2005,1,14,1
2006,1,1,16
2006,1,2,1
2006,1,3,356
2006,1,4,3
2006,1,5,21
2006,1,6,276
2006,1,7,49
2006,1,8,7
2006,1,9,85
2006,1,10,105
2006,1,11,9
2006,1,12,96
2006,1,13,1
2006,1,14,6
2007,1,1,17
2007,1,2,4
2007,1,3,391
2007,1,4,6
2007,1,5,21
2007,1,6,303
2007,1,7,50
2007,1,8,11
2007,1,9,75
2007,1,10,104
2007,1,11,11
2007,1,12,93
2007,1,13,1
2007,1,14,4
2008,1,1,40
2008,1,2,9
2008,1,3,484
2008,1,4,6
2008,1,5,18
2008,1,6,360
2008,1,7,81
2008,1,8,19
2008,1,9,108
2008,1,10,163
2008,1,11,24
2008,1,12,139
2008,1,13,0
2008,1,14,7
2009,1,1,30
2009,1,2,6
2009,1,3,530
2009,1,4,13
2009,1,5,64
2009,1,6,372
2009,1,7,51
2009,1,8,30
2009,1,9,128
2009,1,10,152
2009,1,11,27
2009,1,12,125
2009,1,13,0
2009,1,14,2
2010,1,1,31
2010,1,2,8
2010,1,3,467
2010,1,4,4
2010,1,5,53
2010,1,6,328
2010,1,7,50
2010,1,8,32
2010,1,9,142
2010,1,10,156
2010,1,11,19
2010,1,12,137
2010,1,13,2
2010,1,14,1
2011,1,1,32
2011,1,2,8
2011,1,3,526
2011,1,4,9
2011,1,5,68
2011,1,6,395
2011,1,7,53
2011,1,8,1
2011,1,9,154
2011,1,10,157
2011,1,11,22
2011,1,12,135
2011,1,13,0
2011,1,14,2
2012,1,1,32
2012,1,2,10
2012,1,3,503
2012,1,4,9
2012,1,5,54
2012,1,6,369
2012,1,7,69
2012,1,8,2
2012,1,9,162
2012,1,10,107
2012,1,11,24
2012,1,12,83
2012,1,13,0
2012,1,14,1
2013,1,1,30
2013,1,2,15
2013,1,3,461
2013,1,4,11
2013,1,5,55
2013,1,6,337
2013,1,7,55
2013,1,8,3
2013,1,9,171
2013,1,10,123
2013,1,11,27
2013,1,12,96
2013,1,13,0
2013,1,14,1
2014,1,1,28
2014,1,2,7
2014,1,3,468
2014,1,4,11
2014,1,5,67
2014,1,6,322
2014,1,7,62
2014,1,8,6
2014,1,9,156
2014,1,10,97
2014,1,11,22
2014,1,12,75
2014,1,13,0
2014,1,14,6
2015,1,1,49
2015,1,2,12
2015,1,3,572
2015,1,4,10
2015,1,5,72
2015,1,6,406
2015,1,7,79
2015,1,8,5
2015,1,9,185
2015,1,10,94
2015,1,11,32
2015,1,12,62
2015,1,13,0
2015,1,14,1
2016,1,1,23
2016,1,2,11
2016,1,3,534
2016,1,4,9
2016,1,5,56
2016,1,6,384
2016,1,7,80
2016,1,8,5
2016,1,9,184
2016,1,10,74
2016,1,11,22
2016,1,12,52
2016,1,13,0
2016,1,14,1
2005,2,1,1
2005,2,2,0
2005,2,3,12
2005,2,4,0
2005,2,5,0
2005,2,6,2
2005,2,7,10
2005,2,8,0
2005,2,9,18
2005,2,10,10
2005,2,11,1
2005,2,12,9
2005,2,13,1
2005,2,14,0
2006,2,1,0
2006,2,2,0
2006,2,3,23
2006,2,4,0
2006,2,5,0
2006,2,6,8
2006,2,7,10
2006,2,8,5
2006,2,9,11
2006,2,10,28
2006,2,11,9
2006,2,12,19
2006,2,13,0
2006,2,14,0
2007,2,1,2
2007,2,2,0
2007,2,3,35
2007,2,4,0
2007,2,5,1
2007,2,6,11
2007,2,7,20
2007,2,8,3
2007,2,9,10
2007,2,10,23
2007,2,11,7
2007,2,12,16
2007,2,13,0
2007,2,14,1
2008,2,1,1
2008,2,2,1
2008,2,3,28
2008,2,4,0
2008,2,5,2
2008,2,6,6
2008,2,7,20
2008,2,8,0
2008,2,9,14
2008,2,10,33
2008,2,11,4
2008,2,12,29
2008,2,13,0
2008,2,14,0
2009,2,1,0
2009,2,2,0
2009,2,3,31
2009,2,4,0
2009,2,5,1
2009,2,6,11
2009,2,7,18
2009,2,8,1
2009,2,9,20
2009,2,10,40
2009,2,11,5
2009,2,12,35
2009,2,13,0
2009,2,14,1
2010,2,1,4
2010,2,2,3
2010,2,3,25
2010,2,4,0
2010,2,5,0
2010,2,6,7
2010,2,7,17
2010,2,8,1
2010,2,9,15
2010,2,10,45
2010,2,11,8
2010,2,12,37
2010,2,13,0
2010,2,14,5
2011,2,1,2
2011,2,2,1
2011,2,3,30
2011,2,4,1
2011,2,5,1
2011,2,6,12
2011,2,7,16
2011,2,8,0
2011,2,9,26
2011,2,10,50
2011,2,11,10
2011,2,12,40
2011,2,13,0
2011,2,14,3
2012,2,1,3
2012,2,2,3
2012,2,3,32
2012,2,4,3
2012,2,5,2
2012,2,6,10
2012,2,7,16
2012,2,8,1
2012,2,9,27
2012,2,10,51
2012,2,11,8
2012,2,12,43
2012,2,13,0
2012,2,14,1
2013,2,1,1
2013,2,2,4
2013,2,3,40
2013,2,4,1
2013,2,5,2
2013,2,6,10
2013,2,7,26
2013,2,8,1
2013,2,9,18
2013,2,10,31
2013,2,11,5
2013,2,12,26
2013,2,13,0
2013,2,14,7
2014,2,1,1
2014,2,2,1
2014,2,3,51
2014,2,4,0
2014,2,5,4
2014,2,6,14
2014,2,7,28
2014,2,8,5
2014,2,9,21
2014,2,10,17
2014,2,11,4
2014,2,12,13
2014,2,13,0
2014,2,14,3
2015,2,1,4
2015,2,2,3
2015,2,3,21
2015,2,4,0
2015,2,5,2
2015,2,6,8
2015,2,7,11
2015,2,8,0
2015,2,9,21
2015,2,10,28
2015,2,11,5
2015,2,12,23
2015,2,13,1
2015,2,14,1
2016,2,1,5
2016,2,2,2
2016,2,3,38
2016,2,4,2
2016,2,5,1
2016,2,6,18
2016,2,7,16
2016,2,8,1
2016,2,9,15
2016,2,10,29
2016,2,11,3
2016,2,12,26
2016,2,13,1
2016,2,14,0
2005,3,1,1
2005,3,2,0
2005,3,3,9
2005,3,4,0
2005,3,5,0
2005,3,6,0
2005,3,7,1
2005,3,8,0
2005,3,9,3
2005,3,10,16
2005,3,11,0
2005,3,12,0
2005,3,13,0
2005,3,14,0
2006,3,1,0
2006,3,2,0
2006,3,3,5
2006,3,4,0
2006,3,5,1
2006,3,6,1
2006,3,7,3
2006,3,8,0
2006,3,9,0
2006,3,10,11
2006,3,11,3
2006,3,12,8
2006,3,13,0
2006,3,14,0
2007,3,1,0
2007,3,2,0
2007,3,3,11
